open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2018.01.02 17:30:00,2018.01.02 18:00:00,buy,0.37,1.20324,1.20447,-2.03,0.00,43.48,10 043.48
2018.01.03 17:30:00,2018.01.03 18:00:00,sell,0.37,1.20051,1.20237,-2.03,0.00,-70.85,9 972.63
2018.01.04 17:30:00,2018.01.04 18:00:00,buy,0.37,1.20821,1.20742,-2.03,0.00,-31.26,9 941.37
2018.01.05 17:30:00,2018.01.05 18:00:00,sell,0.37,1.20371,1.20362,-2.03,0.00,1.30,9 942.67
2018.01.08 17:30:00,2018.01.08 18:00:00,buy,0.37,1.19639,1.19753,-2.03,0.00,40.15,9 982.82
2018.01.09 17:30:00,2018.01.09 18:00:00,sell,0.37,1.19235,1.19298,-2.02,0.00,-25.33,9 957.49
2018.01.10 17:30:00,2018.01.10 18:00:00,buy,0.37,1.19882,1.19827,-2.03,0.00,-22.38,9 935.11
2018.01.11 17:30:00,2018.01.11 18:00:00,sell,0.37,1.20409,1.20490,-2.04,0.00,-32.01,9 903.10
2018.01.12 17:30:00,2018.01.12 18:00:00,buy,0.37,1.21364,1.21480,-2.04,0.00,40.88,9 943.98
2018.01.15 17:30:00,2018.01.15 18:00:00,buy,0.37,1.22611,1.22598,-2.06,0.00,-6.87,9 937.11
2018.01.16 17:30:00,2018.01.16 18:00:00,buy,0.37,1.22162,1.22292,-2.06,0.00,46.04,9 983.15
2018.01.17 17:30:00,2018.01.17 18:00:00,buy,0.37,1.22354,1.22426,-2.06,0.00,24.58,10 007.73
2018.01.18 17:30:00,2018.01.18 18:00:00,buy,0.37,1.22496,1.22391,-2.07,0.00,-40.92,9 966.81
2018.01.19 17:30:00,2018.01.19 17:57:43,buy,0.37,1.22404,1.22201,-2.07,0.00,-77.18,9 889.63
2018.01.22 17:30:00,2018.01.22 18:00:00,buy,0.37,1.22489,1.22535,-2.08,0.00,14.94,9 904.57
2018.01.23 17:30:00,2018.01.23 18:00:00,sell,0.37,1.22910,1.22932,-2.07,0.00,-10.21,9 894.36
2018.01.24 17:30:00,2018.01.24 18:00:00,buy,0.37,1.23889,1.23806,-2.09,0.00,-32.80,9 861.56
2018.01.25 17:30:00,2018.01.25 18:00:00,sell,0.36,1.25188,1.25040,-2.04,0.00,51.24,9 912.80
2018.01.26 17:30:00,2018.01.26 18:00:00,sell,0.37,1.24208,1.24329,-2.09,0.00,-46.86,9 865.94
2018.01.29 17:30:00,2018.01.29 18:00:00,sell,0.36,1.23679,1.23568,-2.04,0.00,37.92,9 903.86
2018.01.30 17:30:00,2018.01.30 18:00:00,sell,0.37,1.24231,1.24104,-2.09,0.00,44.90,9 948.76
2018.01.31 17:30:00,2018.01.31 18:00:00,sell,0.37,1.24617,1.24566,-2.10,0.00,16.77,9 965.53
2018.02.01 17:30:00,2018.02.01 18:00:00,buy,0.37,1.24487,1.24692,-2.08,0.00,73.77,10 039.30
2018.02.02 17:30:00,2018.02.02 18:00:00,buy,0.37,1.24237,1.24357,-2.06,0.00,42.34,10 081.64
2018.02.05 17:30:00,2018.02.05 18:00:00,buy,0.37,1.24243,1.24200,-2.06,0.00,-17.97,10 063.67
2018.02.06 17:30:00,2018.02.06 18:00:00,buy,0.37,1.23208,1.23443,-2.04,0.00,84.91,10 148.58
2018.02.07 17:30:00,2018.02.07 18:00:00,sell,0.38,1.23159,1.22931,-2.09,0.00,84.55,10 233.13
2018.02.08 17:30:00,2018.02.08 18:00:00,sell,0.38,1.22543,1.22600,-2.07,0.00,-23.73,10 209.40
2018.02.09 17:30:00,2018.02.09 17:55:28,sell,0.38,1.22393,1.22593,-2.08,0.00,-78.08,10 131.32
2018.02.12 17:30:00,2018.02.12 18:00:00,buy,0.37,1.22578,1.22770,-2.03,0.00,69.01,10 200.33
2018.02.13 17:30:00,2018.02.13 18:00:00,buy,0.38,1.23603,1.23581,-2.09,0.00,-10.45,10 189.88
2018.02.14 17:30:00,2018.02.14 17:40:21,sell,0.38,1.23603,1.23810,-2.09,0.00,-80.75,10 109.13
2018.02.15 17:30:00,2018.02.15 18:00:00,sell,0.37,1.24870,1.24775,-2.05,0.00,33.10,10 142.23
2018.02.16 17:30:00,2018.02.16 18:00:00,buy,0.38,1.24481,1.24476,-2.11,0.00,-4.01,10 138.22
2018.02.19 17:30:00,2018.02.19 18:00:00,sell,0.38,1.23844,1.23970,-2.10,0.00,-49.98,10 088.24
2018.02.20 17:30:00,2018.02.20 18:00:00,buy,0.37,1.23468,1.23409,-2.05,0.00,-23.88,10 064.36
2018.02.21 17:30:00,2018.02.21 18:00:00,sell,0.37,1.23250,1.23197,-2.03,0.00,17.58,10 081.94
2018.02.22 17:30:00,2018.02.22 17:55:20,buy,0.37,1.23451,1.23243,-2.03,0.00,-78.99,10 002.95
2018.02.23 17:30:00,2018.02.23 17:50:16,buy,0.37,1.23104,1.22901,-2.02,0.00,-77.13,9 925.82
2018.02.26 17:30:00,2018.02.26 18:00:00,buy,0.37,1.22949,1.22903,-2.03,0.00,-19.05,9 906.77
2018.02.27 17:30:00,2018.02.27 18:00:00,sell,0.37,1.22664,1.22389,-2.03,0.00,99.72,10 006.49
2018.02.28 17:30:00,2018.02.28 18:00:00,sell,0.37,1.21970,1.21962,-2.02,0.00,0.94,10 007.43
2018.03.01 17:30:00,2018.03.01 18:00:00,buy,0.37,1.21750,1.21765,-2.01,0.00,3.54,10 010.97
2018.03.02 17:30:00,2018.03.02 18:00:00,buy,0.37,1.23256,1.23094,-2.01,0.00,-61.95,9 949.02
2018.03.05 17:30:00,2018.03.05 18:00:00,buy,0.37,1.23191,1.23273,-2.00,0.00,28.34,9 977.36
2018.03.06 17:30:00,2018.03.06 18:00:00,buy,0.37,1.23990,1.23980,-2.03,0.00,-5.73,9 971.63
2018.03.07 17:30:00,2018.03.07 18:00:00,sell,0.37,1.23927,1.24030,-2.02,0.00,-40.13,9 931.50
2018.03.08 17:30:00,2018.03.08 18:00:00,sell,0.37,1.23455,1.23281,-2.02,0.00,62.36,9 993.86
2018.03.09 17:30:00,2018.03.09 18:00:00,sell,0.37,1.23222,1.23187,-2.03,0.00,10.92,10 004.78
2018.03.12 17:30:00,2018.03.12 18:00:00,buy,0.37,1.23077,1.23211,-2.04,0.00,47.54,10 052.32
2018.03.13 17:30:00,2018.03.13 18:00:00,sell,0.37,1.23597,1.23748,-2.04,0.00,-57.91,9 994.41
2018.03.14 17:30:00,2018.03.14 18:00:00,sell,0.37,1.23568,1.23631,-2.04,0.00,-25.35,9 969.06
2018.03.15 17:30:00,2018.03.15 18:00:00,buy,0.37,1.23333,1.23437,-2.03,0.00,36.45,10 005.51
2018.03.16 17:30:00,2018.03.16 18:00:00,sell,0.37,1.22874,1.22615,-2.01,0.00,93.82,10 099.33
2018.03.19 17:30:00,2018.03.19 18:00:00,sell,0.37,1.23153,1.23239,-2.00,0.00,-33.82,10 065.51
2018.03.20 17:30:00,2018.03.20 18:00:00,sell,0.37,1.22702,1.22727,-1.99,0.00,-11.24,10 054.27
2018.03.21 17:30:00,2018.03.21 18:00:00,buy,0.37,1.22862,1.22877,-1.99,0.00,3.56,10 057.83
2018.03.22 17:30:00,2018.03.22 18:00:00,buy,0.37,1.23195,1.23090,-2.00,0.00,-40.85,10 016.98
2018.03.23 17:30:00,2018.03.23 18:00:00,sell,0.37,1.23459,1.23373,-2.00,0.00,29.82,10 046.80
2018.03.26 17:30:00,2018.03.26 18:00:00,buy,0.37,1.24365,1.24416,-2.00,0.00,16.87,10 063.67
2018.03.27 17:30:00,2018.03.27 18:00:00,buy,0.37,1.23996,1.23934,-2.00,0.00,-24.94,10 038.73
2018.03.28 17:30:00,2018.03.28 18:00:00,sell,0.37,1.23429,1.23520,-1.99,0.00,-35.66,10 003.07
2018.03.29 17:30:00,2018.03.29 17:58:28,buy,0.37,1.23207,1.23007,-1.99,0.00,-75.99,9 927.08
2018.03.30 17:30:01,2018.03.30 18:00:00,buy,0.37,1.23196,1.23212,-1.99,0.00,3.93,9 931.01
2018.04.02 17:30:00,2018.04.02 18:00:00,buy,0.37,1.23287,1.23120,-1.99,0.00,-63.78,9 867.23
2018.04.03 17:30:00,2018.04.03 18:00:00,buy,0.37,1.22598,1.22730,-1.99,0.00,46.85,9 914.08
2018.04.04 17:30:00,2018.04.04 18:00:00,sell,0.37,1.23054,1.22985,-1.99,0.00,23.54,9 937.62
2018.04.05 17:30:00,2018.04.05 18:00:00,sell,0.37,1.22383,1.22293,-1.99,0.00,31.31,9 968.93
2018.04.06 17:30:00,2018.04.06 18:00:00,sell,0.37,1.22659,1.22621,-1.99,0.00,12.07,9 981.00
2018.04.09 17:30:00,2018.04.09 18:00:00,sell,0.37,1.23267,1.23113,-1.99,0.00,54.99,10 035.99
2018.04.10 17:30:00,2018.04.10 18:00:00,buy,0.37,1.23572,1.23498,-2.01,0.00,-29.39,10 006.60
2018.04.11 17:30:00,2018.04.11 18:00:00,buy,0.37,1.23761,1.23837,-2.01,0.00,26.11,10 032.71
2018.04.12 17:30:00,2018.04.12 18:00:00,sell,0.37,1.23020,1.23170,-2.01,0.00,-57.51,9 975.20
2018.04.13 17:30:00,2018.04.13 18:00:00,buy,0.37,1.23283,1.23281,-2.01,0.00,-2.75,9 972.45
2018.04.16 17:30:00,2018.04.16 18:00:00,buy,0.37,1.23816,1.23673,-2.01,0.00,-54.92,9 917.53
