open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2021.01.04 11:35:00,2021.01.04 11:46:35,buy,0.37,1.36785,1.36706,-2.00,0.00,-31.23,9 968.77
2021.01.04 11:50:00,2021.01.04 11:52:34,buy,0.32,1.36749,1.36657,-1.73,0.00,-31.17,9 937.60
2021.01.04 11:55:00,2021.01.04 12:13:31,buy,0.39,1.36702,1.36816,-2.11,0.00,42.35,9 979.95
2021.01.04 17:00:00,2021.01.04 17:01:20,buy,0.38,1.36079,1.36002,-2.05,0.00,-31.31,9 948.64
2021.01.04 17:35:00,2021.01.04 18:00:00,buy,0.18,1.35757,1.35779,-0.97,0.00,2.99,9 951.63
2021.01.05 10:55:00,2021.01.05 11:24:52,buy,0.28,1.35627,1.35783,-1.51,0.00,42.17,9 993.80
2021.01.05 12:25:00,2021.01.05 12:27:29,sell,0.5,1.35877,1.35936,-2.70,0.00,-32.20,9 961.60
2021.01.05 12:30:00,2021.01.05 12:39:36,sell,0.59,1.35914,1.35837,-3.19,0.00,42.24,10 003.84
2021.01.05 13:15:00,2021.01.05 13:19:41,sell,0.45,1.36030,1.35930,-2.43,0.00,42.57,10 046.41
2021.01.05 14:35:00,2021.01.05 15:05:00,buy,0.2,1.35818,1.35884,-1.08,0.00,12.12,10 058.53
2021.01.06 10:25:00,2021.01.06 10:55:00,buy,0.33,1.36378,1.36350,-1.80,0.00,-11.04,10 047.49
2021.01.06 12:50:00,2021.01.06 12:58:28,sell,0.43,1.36661,1.36556,-2.35,0.00,42.80,10 090.29
2021.01.06 17:00:00,2021.01.06 17:30:00,sell,0.22,1.35790,1.35780,-1.20,0.00,1.00,10 091.29
2021.01.06 17:45:00,2021.01.06 17:58:31,buy,0.36,1.35607,1.35525,-1.96,0.00,-31.48,10 059.81
2021.01.07 10:20:00,2021.01.07 10:24:28,sell,0.36,1.35861,1.35945,-1.96,0.00,-32.20,10 027.61
2021.01.07 11:55:00,2021.01.07 12:25:00,buy,0.28,1.35987,1.35923,-1.52,0.00,-19.44,10 008.17
2021.01.07 12:40:00,2021.01.07 12:40:36,buy,0.62,1.35827,1.35779,-3.36,0.00,-33.12,9 975.05
2021.01.07 13:40:00,2021.01.07 13:59:40,sell,0.26,1.35825,1.35647,-1.41,0.00,44.87,10 019.92
2021.01.07 15:00:00,2021.01.07 15:14:38,sell,0.41,1.36041,1.36113,-2.22,0.00,-31.74,9 988.18
2021.01.08 10:15:00,2021.01.08 10:18:15,buy,0.46,1.35621,1.35719,-2.50,0.00,42.58,10 030.76
2021.01.08 11:35:00,2021.01.08 11:46:35,sell,0.33,1.35893,1.35983,-1.79,0.00,-31.49,9 999.27
2021.01.08 12:05:00,2021.01.08 12:18:36,sell,0.47,1.36013,1.35919,-2.56,0.00,41.62,10 040.89
2021.01.08 13:00:00,2021.01.08 13:05:38,buy,0.57,1.35839,1.35919,-3.10,0.00,42.50,10 083.39
2021.01.08 14:35:00,2021.01.08 15:05:00,sell,0.33,1.36006,1.36001,-1.80,0.00,-0.15,10 083.24
2021.01.11 11:05:00,2021.01.11 11:09:03,sell,0.34,1.35070,1.35157,-1.84,0.00,-31.42,10 051.82
2021.01.11 11:10:00,2021.01.11 11:14:19,sell,0.53,1.35124,1.35040,-2.86,0.00,41.66,10 093.48
2021.01.11 14:05:00,2021.01.11 14:11:20,buy,0.35,1.34880,1.34794,-1.89,0.00,-31.99,10 061.49
2021.01.11 15:35:00,2021.01.11 16:03:32,buy,0.35,1.34649,1.34780,-1.88,0.00,43.97,10 105.46
2021.01.11 16:10:00,2021.01.11 16:10:38,sell,0.53,1.34817,1.34730,-2.85,0.00,43.26,10 148.72
2021.01.12 13:40:00,2021.01.12 13:55:26,sell,0.51,1.36001,1.35912,-2.76,0.00,42.63,10 191.35
2021.01.12 15:30:00,2021.01.12 15:42:29,buy,0.23,1.35989,1.35858,-1.24,0.00,-31.37,10 159.98
2021.01.12 15:45:00,2021.01.12 15:57:02,buy,0.39,1.35899,1.35821,-2.10,0.00,-32.52,10 127.46
2021.01.12 16:00:00,2021.01.12 16:21:20,buy,0.35,1.35868,1.35996,-1.89,0.00,42.91,10 170.37
2021.01.12 17:35:00,2021.01.12 17:39:38,sell,0.37,1.36256,1.36132,-2.00,0.00,43.88,10 214.25
2021.01.13 10:10:00,2021.01.13 10:40:00,buy,0.17,1.36778,1.36816,-0.92,0.00,5.54,10 219.79
2021.01.13 14:30:00,2021.01.13 14:45:25,sell,0.36,1.36746,1.36829,-1.95,0.00,-31.83,10 187.96
2021.01.14 11:20:00,2021.01.14 11:28:34,buy,0.39,1.36503,1.36425,-2.12,0.00,-32.54,10 155.42
2021.01.14 11:35:00,2021.01.14 12:05:00,buy,0.21,1.36452,1.36515,-1.14,0.00,12.09,10 167.51
