open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2021.01.08 11:35:00,2021.01.08 11:46:35,sell,0.33,1.35893,1.35983,-1.79,0.00,-31.49,9 968.51
2021.01.08 15:35:00,2021.01.08 15:38:39,buy,0.3,1.35823,1.35970,-1.63,0.00,42.47,10 010.98
2021.01.08 16:30:00,2021.01.08 16:39:40,sell,0.24,1.36256,1.36069,-1.31,0.00,43.57,10 054.55
2021.01.11 17:45:00,2021.01.11 17:51:28,sell,0.31,1.34839,1.34936,-1.67,0.00,-31.74,10 022.81
2021.01.15 14:15:00,2021.01.15 14:31:24,buy,0.33,1.36264,1.36173,-1.79,0.00,-31.82,9 990.99
2021.01.15 17:55:00,2021.01.15 18:00:00,buy,0.31,1.35806,1.35839,-1.67,0.00,8.56,9 999.55
2021.01.21 11:05:00,2021.01.21 11:18:12,sell,0.23,1.37275,1.37402,-1.25,0.00,-30.46,9 969.09
2021.01.29 10:15:00,2021.01.29 10:45:00,buy,0.24,1.36820,1.36949,-1.28,0.00,29.68,9 998.77
2021.02.04 14:10:00,2021.02.04 14:17:37,sell,0.16,1.36281,1.36462,-0.85,0.00,-29.81,9 968.96
2021.02.10 16:35:00,2021.02.10 17:05:00,sell,0.21,1.38539,1.38485,-1.14,0.00,10.20,9 979.16
2021.02.17 10:50:00,2021.02.17 11:20:00,sell,0.28,1.38953,1.38929,-1.52,0.00,5.20,9 984.36
2021.03.05 12:55:00,2021.03.05 13:17:36,buy,0.23,1.38025,1.37898,-1.23,0.00,-30.44,9 953.92
2021.03.05 15:35:00,2021.03.05 16:00:39,buy,0.13,1.37982,1.38311,-0.69,0.00,42.08,9 996.00
2021.03.09 17:05:00,2021.03.09 17:35:00,sell,0.26,1.39159,1.39057,-1.40,0.00,25.12,10 021.12
2021.03.16 10:15:00,2021.03.16 10:24:20,buy,0.21,1.38442,1.38301,-1.14,0.00,-30.75,9 990.37
2021.03.18 15:45:00,2021.03.18 15:53:56,buy,0.32,1.39285,1.39422,-1.74,0.00,42.10,10 032.47
2021.03.19 14:20:00,2021.03.19 14:25:02,buy,0.31,1.39187,1.39092,-1.68,0.00,-31.13,10 001.34
2021.03.19 15:05:00,2021.03.19 15:35:00,buy,0.21,1.39133,1.39111,-1.14,0.00,-5.76,9 995.58
2021.03.31 12:10:00,2021.03.31 12:36:03,sell,0.23,1.37785,1.37915,-1.23,0.00,-31.13,9 964.45
2021.04.02 15:35:00,2021.04.02 16:05:00,buy,0.15,1.38269,1.38240,-0.80,0.00,-5.15,9 959.30
2021.04.06 10:10:00,2021.04.06 10:40:00,buy,0.29,1.38768,1.38792,-1.55,0.00,5.41,9 964.71
2021.04.21 10:45:00,2021.04.21 11:00:04,buy,0.25,1.39197,1.39371,-1.35,0.00,42.15,10 006.86
