open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2018.01.02 08:13:13,2018.01.02 10:25:40,buy,0.76,1.20277,1.20409,0.00,0.00,100.32,10 096.15
2018.01.03 09:05:31,2018.01.03 12:23:05,sell,0.79,1.20427,1.20299,0.00,0.00,101.12,10 192.95
2018.01.04 08:09:31,2018.01.04 08:36:39,buy,1.18,1.20263,1.20349,0.00,0.00,101.48,10 287.95
2018.01.05 08:42:37,2018.01.05 08:56:02,sell,1.77,1.20664,1.20606,0.00,0.00,102.66,10 380.90
2018.01.08 09:09:46,2018.01.08 10:44:40,sell,0.49,1.20089,1.19872,0.00,0.00,106.33,10 484.54
2018.01.09 08:09:23,2018.01.09 08:38:27,sell,1.26,1.19611,1.19528,0.00,0.00,104.58,10 582.19
2018.01.10 08:44:42,2018.01.10 09:21:28,sell,0.66,1.19238,1.19396,0.00,0.00,-104.28,10 474.30
2018.01.11 08:46:41,2018.01.11 12:32:40,sell,0.79,1.19382,1.19516,0.00,0.00,-105.86,10 364.09
2018.01.12 09:14:56,2018.01.12 10:34:42,buy,0.6,1.20604,1.20784,0.00,0.00,108.00,10 468.78
2018.01.15 11:13:29,2018.01.15 12:30:32,buy,0.23,1.22438,1.22891,0.00,0.00,104.19,10 571.69
2018.01.16 08:32:13,2018.01.16 09:04:15,buy,0.82,1.22733,1.22605,0.00,0.00,-104.96,10 462.16
2018.01.17 08:52:21,2018.01.17 15:12:41,sell,0.31,1.22334,1.22003,0.00,0.00,102.61,10 563.05
2018.01.18 09:01:06,2018.01.18 13:41:27,buy,0.35,1.22120,1.22420,0.00,0.00,105.00,10 666.10
2018.01.19 09:35:30,2018.01.19 10:54:42,buy,0.76,1.22700,1.22850,0.00,0.00,114.00,10 775.84
2018.01.22 09:41:30,2018.01.22 11:13:31,buy,0.63,1.22372,1.22546,0.00,0.00,109.62,10 881.93
2018.01.23 08:18:27,2018.01.23 08:44:42,buy,0.79,1.22683,1.22540,0.00,0.00,-112.97,10 764.54
2018.01.24 08:33:39,2018.01.24 10:46:29,sell,0.49,1.23107,1.23323,0.00,0.00,-105.84,10 655.95
2018.01.25 08:16:12,2018.01.25 08:53:43,buy,0.47,1.24517,1.24291,0.00,0.00,-106.22,10 547.06
2018.01.26 08:04:26,2018.01.26 09:05:41,buy,0.54,1.24351,1.24548,0.00,0.00,106.38,10 650.40
2018.01.29 08:05:29,2018.01.29 08:40:05,buy,0.64,1.24255,1.24090,0.00,0.00,-105.60,10 541.17
2018.01.30 08:20:42,2018.01.30 10:59:38,sell,0.39,1.23563,1.23828,0.00,0.00,-103.35,10 435.62
2018.01.31 08:15:17,2018.01.31 15:31:39,buy,0.46,1.24406,1.24631,0.00,0.00,103.50,10 536.52
2018.02.01 08:10:41,2018.02.01 08:35:43,sell,0.91,1.24133,1.24005,0.00,0.00,116.48,10 647.88
2018.02.02 08:09:05,2018.02.02 08:20:40,sell,1.08,1.24874,1.24977,0.00,0.00,-111.24,10 530.59
2018.02.05 08:31:29,2018.02.05 09:12:27,sell,0.95,1.24496,1.24606,0.00,0.00,-104.50,10 420.82
2018.02.06 08:01:42,2018.02.06 10:09:05,buy,0.4,1.23796,1.24060,0.00,0.00,105.60,10 524.22
2018.02.07 08:04:41,2018.02.07 08:47:20,sell,1.05,1.23800,1.23900,0.00,0.00,-105.00,10 413.43
2018.02.08 08:04:40,2018.02.08 10:07:42,buy,0.46,1.22800,1.22567,0.00,0.00,-107.18,10 303.73
2018.02.09 08:34:46,2018.02.09 09:46:56,buy,0.72,1.22649,1.22791,0.00,0.00,102.24,10 402.05
2018.02.12 09:47:31,2018.02.12 14:43:42,sell,0.53,1.22747,1.22550,0.00,0.00,104.41,10 503.56
2018.02.13 08:01:31,2018.02.13 12:38:41,buy,0.43,1.23187,1.23428,0.00,0.00,103.63,10 604.82
2018.02.14 08:40:05,2018.02.14 11:57:39,sell,0.55,1.23700,1.23508,0.00,0.00,105.60,10 707.39
2018.02.15 08:48:40,2018.02.15 09:14:39,buy,0.83,1.24713,1.24842,0.00,0.00,107.07,10 809.84
