open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2018.01.02 08:13:13,2018.01.02 10:48:38,buy,0.76,1.20277,1.20474,0.00,0.00,149.72,10 145.55
2018.01.03 09:05:31,2018.01.03 12:32:27,sell,0.79,1.20427,1.20237,0.00,0.00,150.10,10 291.33
2018.01.04 08:09:31,2018.01.04 11:49:21,buy,1.19,1.20263,1.20392,0.00,0.00,153.51,10 438.30
2018.01.05 08:42:37,2018.01.05 08:59:40,sell,1.79,1.20664,1.20577,0.00,0.00,155.73,10 584.21
2018.01.08 09:09:46,2018.01.08 14:42:40,sell,0.5,1.20089,1.19774,0.00,0.00,157.50,10 738.97
2018.01.09 08:09:23,2018.01.09 09:06:42,sell,1.29,1.19611,1.19698,0.00,0.00,-112.23,10 619.65
2018.01.10 08:44:42,2018.01.10 09:21:28,sell,0.67,1.19238,1.19396,0.00,0.00,-105.86,10 510.13
2018.01.11 08:46:41,2018.01.11 12:32:40,sell,0.79,1.19382,1.19516,0.00,0.00,-105.86,10 399.92
2018.01.12 09:14:56,2018.01.12 10:39:16,buy,0.6,1.20604,1.20862,0.00,0.00,154.80,10 551.41
2018.01.15 11:13:29,2018.01.15 20:00:00,buy,0.23,1.22438,1.22716,0.00,0.00,63.94,10 614.07
2018.01.16 08:32:13,2018.01.16 09:04:15,buy,0.82,1.22733,1.22605,0.00,0.00,-104.96,10 504.54
2018.01.17 08:52:21,2018.01.17 20:00:00,sell,0.31,1.22334,1.22518,0.00,0.00,-57.04,10 445.78
2018.01.18 09:01:06,2018.01.18 16:44:32,buy,0.34,1.22120,1.22574,0.00,0.00,154.36,10 598.24
2018.01.19 09:35:30,2018.01.19 11:36:28,buy,0.76,1.22700,1.22909,0.00,0.00,158.84,10 752.82
2018.01.22 09:41:30,2018.01.22 12:25:42,buy,0.63,1.22372,1.22627,0.00,0.00,160.65,10 909.94
2018.01.23 08:18:27,2018.01.23 08:44:42,buy,0.79,1.22683,1.22540,0.00,0.00,-112.97,10 792.55
2018.01.24 08:33:39,2018.01.24 10:46:29,sell,0.49,1.23107,1.23323,0.00,0.00,-105.84,10 683.96
2018.01.25 08:16:12,2018.01.25 08:53:43,buy,0.47,1.24517,1.24291,0.00,0.00,-106.22,10 575.07
2018.01.26 08:04:26,2018.01.26 09:07:28,buy,0.54,1.24351,1.24642,0.00,0.00,157.14,10 729.17
2018.01.29 08:05:29,2018.01.29 08:40:05,buy,0.65,1.24255,1.24090,0.00,0.00,-107.25,10 618.24
2018.01.30 08:20:42,2018.01.30 10:59:38,sell,0.4,1.23563,1.23828,0.00,0.00,-106.00,10 509.98
2018.01.31 08:15:17,2018.01.31 17:38:42,buy,0.46,1.24406,1.24748,0.00,0.00,157.32,10 664.70
2018.02.01 08:10:41,2018.02.01 08:54:40,sell,0.92,1.24133,1.23961,0.00,0.00,158.24,10 817.77
2018.02.02 08:09:05,2018.02.02 08:20:40,sell,1.1,1.24874,1.24977,0.00,0.00,-113.30,10 698.31
2018.02.05 08:31:29,2018.02.05 09:12:27,sell,0.97,1.24496,1.24606,0.00,0.00,-106.70,10 586.22
2018.02.06 08:01:42,2018.02.06 10:09:29,buy,0.41,1.23796,1.24188,0.00,0.00,160.72,10 744.68
2018.02.07 08:04:41,2018.02.07 08:47:20,sell,1.07,1.23800,1.23900,0.00,0.00,-107.00,10 631.78
2018.02.08 08:04:40,2018.02.08 10:07:42,buy,0.47,1.22800,1.22567,0.00,0.00,-109.51,10 519.69
2018.02.09 08:34:46,2018.02.09 09:58:31,buy,0.74,1.22649,1.22862,0.00,0.00,157.62,10 673.28
2018.02.12 09:47:31,2018.02.12 15:22:39,sell,0.55,1.22747,1.22458,0.00,0.00,158.95,10 829.22
2018.02.13 08:01:31,2018.02.13 14:21:31,buy,0.44,1.23187,1.23549,0.00,0.00,159.28,10 986.08
2018.02.14 08:40:05,2018.02.14 14:03:40,sell,0.57,1.23700,1.23413,0.00,0.00,163.59,11 146.53
2018.02.15 08:48:40,2018.02.15 09:32:21,buy,0.86,1.24713,1.24909,0.00,0.00,168.56,11 310.31
2018.02.16 09:45:41,2018.02.16 12:27:43,sell,0.53,1.25313,1.24988,0.00,0.00,172.25,11 479.60
2018.02.19 09:17:24,2018.02.19 12:49:14,sell,0.57,1.24010,1.24208,0.00,0.00,-112.86,11 363.58
2018.02.20 08:15:37,2018.02.20 10:14:42,sell,0.67,1.23769,1.23512,0.00,0.00,172.19,11 532.06
2018.02.21 09:02:29,2018.02.21 09:31:12,buy,0.64,1.23379,1.23201,0.00,0.00,-113.92,11 414.62
2018.02.22 08:40:31,2018.02.22 09:45:42,sell,1.26,1.22684,1.22776,0.00,0.00,-115.92,11 291.81
2018.02.23 08:56:59,2018.02.23 10:24:30,sell,0.77,1.22919,1.23067,0.00,0.00,-113.96,11 173.64
2018.02.26 08:01:28,2018.02.26 15:50:31,buy,0.53,1.23313,1.23104,0.00,0.00,-110.77,11 059.95
2018.02.27 08:27:41,2018.02.27 08:53:22,buy,1.24,1.23334,1.23243,0.00,0.00,-112.84,10 940.29
2018.02.28 08:41:35,2018.02.28 09:56:17,buy,1.45,1.22312,1.22236,0.00,0.00,-110.20,10 822.17
2018.03.01 08:51:25,2018.03.01 09:25:31,buy,1.48,1.22002,1.22118,0.00,0.00,171.68,10 985.84
2018.03.02 08:07:39,2018.03.02 09:45:40,sell,0.82,1.22714,1.22515,0.00,0.00,163.18,11 144.57
2018.03.05 08:27:55,2018.03.05 09:10:29,sell,0.74,1.23094,1.22866,0.00,0.00,168.72,11 309.28
2018.03.06 08:18:38,2018.03.06 08:30:21,buy,1.27,1.23552,1.23462,0.00,0.00,-114.30,11 188.06
2018.03.07 08:11:41,2018.03.07 09:19:05,buy,1.36,1.24259,1.24177,0.00,0.00,-111.52,11 069.11
2018.03.08 08:55:34,2018.03.08 09:36:32,sell,1.72,1.24003,1.24067,0.00,0.00,-110.08,10 949.61
2018.03.09 08:34:39,2018.03.09 10:11:41,buy,1.12,1.23205,1.23108,0.00,0.00,-108.64,10 834.86
2018.03.12 09:47:29,2018.03.12 09:59:26,sell,1.66,1.23161,1.23227,0.00,0.00,-109.56,10 716.15
2018.03.13 10:35:39,2018.03.13 11:45:38,sell,1.14,1.23229,1.23323,0.00,0.00,-107.16,10 602.71
2018.03.14 08:31:59,2018.03.14 08:59:39,buy,1.26,1.24121,1.24037,0.00,0.00,-105.84,10 489.92
2018.03.15 08:51:38,2018.03.15 12:00:39,sell,1.36,1.23721,1.23605,0.00,0.00,157.76,10 640.19
2018.03.16 09:23:05,2018.03.16 11:17:40,buy,1.28,1.23161,1.23078,0.00,0.00,-106.24,10 526.96
2018.03.19 08:43:40,2018.03.19 10:10:03,sell,1.26,1.22615,1.22698,0.00,0.00,-104.58,10 415.60
2018.03.20 10:33:32,2018.03.20 11:29:40,buy,1.02,1.23503,1.23393,0.00,0.00,-112.20,10 297.90
2018.03.21 09:39:39,2018.03.21 11:32:02,buy,0.99,1.22697,1.22852,0.00,0.00,153.45,10 446.01
2018.03.22 08:28:16,2018.03.22 10:10:40,sell,1.01,1.23517,1.23620,0.00,0.00,-104.03,10 336.50
2018.03.23 09:22:39,2018.03.23 09:48:38,buy,1.45,1.23411,1.23340,0.00,0.00,-102.95,10 225.72
2018.03.26 08:20:34,2018.03.26 10:10:40,sell,1.02,1.23682,1.23782,0.00,0.00,-102.00,10 118.21
2018.03.27 08:43:15,2018.03.27 09:04:57,sell,1.14,1.24434,1.24522,0.00,0.00,-100.32,10 011.72
2018.03.28 08:07:28,2018.03.28 10:21:41,sell,0.68,1.24040,1.23815,0.00,0.00,153.00,10 161.06
2018.03.29 08:39:40,2018.03.29 09:20:30,buy,0.9,1.23347,1.23235,0.00,0.00,-100.80,10 055.43
2018.03.30 08:56:29,2018.03.30 09:13:32,sell,1.25,1.23067,1.23147,0.00,0.00,-100.00,9 948.71
2018.04.02 09:23:05,2018.04.02 09:53:34,sell,1.14,1.23118,1.23205,0.00,0.00,-99.18,9 843.41
2018.04.03 09:08:02,2018.04.03 10:04:31,buy,1.36,1.23148,1.23257,0.00,0.00,148.24,9 984.33
2018.04.04 09:01:59,2018.04.04 10:21:43,sell,1.12,1.22721,1.22583,0.00,0.00,154.56,10 132.86
2018.04.05 08:54:02,2018.04.05 10:08:40,sell,0.79,1.22716,1.22523,0.00,0.00,152.47,10 281.08
2018.04.06 09:03:31,2018.04.06 15:30:41,sell,0.47,1.22307,1.22528,0.00,0.00,-103.87,10 174.69
2018.04.09 08:51:02,2018.04.09 10:01:21,buy,1.14,1.22804,1.22710,0.00,0.00,-107.16,10 061.39
2018.04.10 09:01:41,2018.04.10 09:36:41,sell,1.19,1.23068,1.23155,0.00,0.00,-103.53,9 951.42
2018.04.11 08:12:39,2018.04.11 09:51:56,buy,1.4,1.23673,1.23780,0.00,0.00,149.80,10 093.62
2018.04.12 09:01:05,2018.04.12 09:21:39,sell,0.78,1.23536,1.23667,0.00,0.00,-102.18,9 987.21
2018.04.13 09:02:57,2018.04.13 09:32:27,sell,1.72,1.23243,1.23303,0.00,0.00,-103.20,9 874.64
2018.04.16 08:54:59,2018.04.16 09:28:40,sell,0.99,1.23278,1.23377,0.00,0.00,-98.01,9 771.25
2018.04.17 09:01:31,2018.04.17 09:51:30,buy,1.25,1.23895,1.24012,0.00,0.00,146.25,9 910.70
2018.04.18 09:27:40,2018.04.18 10:08:59,sell,0.94,1.23690,1.23531,0.00,0.00,149.46,10 055.05
2018.04.19 08:44:40,2018.04.19 10:00:31,sell,1.18,1.23739,1.23826,0.00,0.00,-102.66,9 945.94
2018.04.20 09:41:31,2018.04.20 10:33:17,buy,1.48,1.23460,1.23393,0.00,0.00,-99.16,9 838.79
2018.04.23 08:34:40,2018.04.23 09:05:39,sell,1.75,1.22667,1.22724,0.00,0.00,-99.75,9 729.64
2018.04.24 08:02:38,2018.04.24 09:52:39,buy,1.28,1.22175,1.22096,0.00,0.00,-101.12,9 621.71
2018.04.25 08:28:41,2018.04.25 10:59:41,sell,0.62,1.22116,1.21885,0.00,0.00,143.22,9 761.64
2018.04.26 09:40:31,2018.04.26 10:18:46,buy,0.91,1.21852,1.21745,0.00,0.00,-97.37,9 659.44
2018.04.27 08:13:31,2018.04.27 09:28:05,sell,1.27,1.21055,1.20939,0.00,0.00,147.32,9 800.05
2018.04.30 08:39:38,2018.04.30 09:13:39,buy,1.46,1.21339,1.21272,0.00,0.00,-97.82,9 694.49
2018.05.01 08:18:04,2018.05.01 10:46:37,sell,1.29,1.20673,1.20561,0.00,0.00,144.48,9 832.16
2018.05.02 08:06:30,2018.05.02 09:37:43,sell,1.08,1.19988,1.20080,0.00,0.00,-99.36,9 727.13
2018.05.03 09:25:31,2018.05.03 09:53:40,buy,0.83,1.19923,1.19807,0.00,0.00,-96.28,9 626.48
2018.05.04 09:00:03,2018.05.04 09:45:29,sell,1,1.19827,1.19683,0.00,0.00,144.00,9 765.20
