buffer_pips,sl_mult,tp_mult,profit_factor,net_profit,max_dd_pct,total_trades,win_rate_long,win_rate_short,expected_payoff,sharpe
3,1,1,0.79,-7 913.81,9 081.15 (82.76%),1297,623 (47.99%),674 (46.14%),-6.10,-5.00
3,1,1.5,0.79,-8 262.69,9 829.56 (85.24%),1297,623 (38.20%),674 (36.80%),-6.37,-5.00
3,1.5,1,0.79,-7 136.84,7 839.12 (74.86%),1297,623 (57.62%),674 (55.19%),-5.50,-5.00
10,1,1,0.83,-6 904.26,7 095.95 (69.63%),1286,632 (48.26%),654 (48.78%),-5.37,-5.00
10,1,1.5,0.84,-7 020.80,7 419.96 (72.08%),1286,632 (37.97%),654 (40.37%),-5.46,-5.00
10,1.5,1,0.82,-6 082.73,6 672.02 (64.05%),1286,632 (58.39%),654 (57.19%),-4.73,-5.00
10,1,2,0.83,-7 204.26,7 911.00 (76.11%),1286,632 (31.96%),654 (34.40%),-5.60,-5.00
20,1,1,0.77,-7 620.37,8 676.10 (78.63%),1142,571 (45.18%),571 (47.81%),-6.67,-5.00
20,1,1.5,0.86,-6 035.00,7 341.21 (64.93%),1142,571 (38.18%),571 (41.16%),-5.28,-5.00
20,1.5,1,0.83,-5 511.03,6 214.49 (58.22%),1143,571 (55.17%),572 (59.62%),-4.82,-5.00
20,1,2,0.82,-7 043.73,8 240.78 (73.60%),1142,571 (32.40%),571 (34.33%),-6.17,-5.00
