open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2021.01.04 15:03:00,2021.01.04 15:05:40,buy,0.6,1.36534,1.36484,-3.24,0.00,-33.24,9 966.76
2021.01.04 15:06:00,2021.01.04 15:06:29,buy,0.44,1.36498,1.36430,-2.38,0.00,-32.30,9 934.46
2021.01.04 15:07:00,2021.01.04 15:18:37,buy,0.19,1.36400,1.36246,-1.03,0.00,-30.29,9 904.17
2021.01.04 15:19:00,2021.01.04 15:34:00,buy,0.14,1.36226,1.36307,-0.76,0.00,10.58,9 914.75
2021.01.04 16:18:00,2021.01.04 16:33:00,buy,0.47,1.36212,1.36271,-2.54,0.00,25.19,9 939.94
2021.01.05 15:28:00,2021.01.05 15:33:05,buy,0.25,1.35722,1.35605,-1.35,0.00,-30.60,9 909.34
2021.01.05 15:34:00,2021.01.05 15:49:00,buy,0.21,1.35640,1.35698,-1.13,0.00,11.05,9 920.39
2021.01.05 16:37:00,2021.01.05 16:38:05,sell,0.32,1.35886,1.35980,-1.73,0.00,-31.81,9 888.58
2021.01.05 16:39:00,2021.01.05 16:54:00,sell,0.2,1.35955,1.35966,-1.08,0.00,-3.28,9 885.30
2021.01.05 17:20:00,2021.01.05 17:35:00,buy,0.27,1.35810,1.35828,-1.46,0.00,3.40,9 888.70
2021.01.06 15:47:00,2021.01.06 15:55:38,buy,0.18,1.35993,1.35836,-0.98,0.00,-29.24,9 859.46
2021.01.06 15:56:00,2021.01.06 16:00:31,buy,0.15,1.35843,1.35646,-0.82,0.00,-30.37,9 829.09
2021.01.06 16:01:00,2021.01.06 16:16:00,buy,0.09,1.35615,1.35565,-0.49,0.00,-4.99,9 824.10
2021.01.06 16:43:00,2021.01.06 16:49:41,sell,0.3,1.35665,1.35760,-1.63,0.00,-30.13,9 793.97
2021.01.06 16:50:00,2021.01.06 16:54:39,sell,0.24,1.35739,1.35862,-1.31,0.00,-30.83,9 763.14
2021.01.07 15:49:00,2021.01.07 15:50:40,buy,0.42,1.35969,1.35900,-2.28,0.00,-31.26,9 731.88
2021.01.07 15:51:00,2021.01.07 16:06:00,buy,0.25,1.35910,1.35980,-1.36,0.00,16.14,9 748.02
2021.01.07 16:28:00,2021.01.07 16:35:04,buy,0.31,1.35882,1.35788,-1.68,0.00,-30.82,9 717.20
2021.01.07 16:40:00,2021.01.07 16:55:00,buy,0.2,1.35736,1.35642,-1.08,0.00,-19.88,9 697.32
2021.01.07 17:14:00,2021.01.07 17:29:00,buy,0.28,1.35546,1.35530,-1.52,0.00,-6.00,9 691.32
2021.01.08 15:31:00,2021.01.08 15:31:42,buy,0.34,1.35837,1.35745,-1.85,0.00,-33.13,9 658.19
2021.01.08 15:32:00,2021.01.08 15:39:42,buy,0.23,1.35791,1.36044,-1.25,0.00,56.94,9 715.13
2021.01.08 15:40:00,2021.01.08 15:45:27,sell,0.23,1.36028,1.36151,-1.25,0.00,-29.54,9 685.59
2021.01.08 15:46:00,2021.01.08 16:01:00,sell,0.12,1.36193,1.36175,-0.65,0.00,1.51,9 687.10
2021.01.08 16:22:00,2021.01.08 16:25:20,sell,0.43,1.36203,1.36271,-2.35,0.00,-31.59,9 655.51
2021.01.11 15:27:00,2021.01.11 15:42:00,buy,0.26,1.34637,1.34633,-1.40,0.00,-2.44,9 653.07
2021.01.11 16:03:00,2021.01.11 16:18:00,sell,0.26,1.34749,1.34669,-1.40,0.00,19.40,9 672.47
2021.01.11 16:51:00,2021.01.11 17:06:00,buy,0.22,1.34606,1.34653,-1.18,0.00,9.16,9 681.63
2021.01.11 17:52:00,2021.01.11 18:00:00,sell,0.22,1.34947,1.34864,-1.18,0.00,17.08,9 698.71
2021.01.12 15:26:00,2021.01.12 15:30:19,buy,0.58,1.35909,1.35992,-3.13,0.00,45.01,9 743.72
2021.01.12 15:31:00,2021.01.12 15:38:04,sell,0.53,1.35995,1.35886,-2.86,0.00,54.91,9 798.63
2021.01.12 15:43:00,2021.01.12 15:57:17,buy,0.5,1.35864,1.35803,-2.70,0.00,-33.20,9 765.43
2021.01.12 15:58:00,2021.01.12 16:13:00,buy,0.46,1.35836,1.35896,-2.48,0.00,25.12,9 790.55
2021.01.12 16:15:00,2021.01.12 16:21:29,sell,0.46,1.35941,1.36005,-2.48,0.00,-31.92,9 758.63
2021.01.13 15:32:00,2021.01.13 15:47:00,sell,0.23,1.36891,1.36866,-1.25,0.00,4.50,9 763.13
2021.01.13 16:13:00,2021.01.13 16:22:39,buy,0.38,1.36716,1.36640,-2.06,0.00,-30.94,9 732.19
2021.01.13 16:23:00,2021.01.13 16:27:41,buy,0.28,1.36640,1.36536,-1.52,0.00,-30.64,9 701.55
