open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2021.01.04 15:03:00,2021.01.04 15:05:40,buy,0.6,1.36534,1.36484,-3.24,0.00,-33.24,9 966.76
2021.01.04 15:06:00,2021.01.04 15:06:29,buy,0.44,1.36498,1.36430,-2.38,0.00,-32.30,9 934.46
2021.01.04 15:07:00,2021.01.04 15:18:37,buy,0.19,1.36400,1.36246,-1.03,0.00,-30.29,9 904.17
2021.01.04 16:36:00,2021.01.04 17:00:42,buy,0.24,1.36129,1.36009,-1.30,0.00,-30.10,9 874.07
2021.01.05 16:38:00,2021.01.05 17:38:00,sell,0.18,1.35965,1.35884,-0.97,0.00,13.61,9 887.68
2021.01.06 17:40:00,2021.01.06 17:43:28,buy,0.24,1.35694,1.35573,-1.31,0.00,-30.35,9 857.33
2021.01.06 17:44:00,2021.01.06 18:00:00,buy,0.13,1.35557,1.35507,-0.71,0.00,-7.21,9 850.12
2021.01.07 15:50:00,2021.01.07 16:30:00,buy,0.29,1.35932,1.35833,-1.57,0.00,-30.28,9 819.84
2021.01.08 15:41:00,2021.01.08 16:25:41,sell,0.14,1.36113,1.36317,-0.76,0.00,-29.32,9 790.52
2021.01.08 16:26:00,2021.01.08 16:43:41,sell,0.2,1.36299,1.36013,-1.09,0.00,56.11,9 846.63
2021.01.11 16:04:00,2021.01.11 16:55:42,sell,0.21,1.34784,1.34508,-1.13,0.00,56.83,9 903.46
2021.01.12 17:23:00,2021.01.12 18:00:00,sell,0.16,1.36162,1.36177,-0.86,0.00,-3.26,9 900.20
2021.01.14 16:28:00,2021.01.14 16:39:41,sell,0.24,1.36408,1.36531,-1.30,0.00,-30.82,9 869.38
2021.01.18 17:58:00,2021.01.18 18:00:00,sell,0.34,1.35781,1.35747,-1.83,0.00,9.73,9 879.11
2021.01.25 16:49:00,2021.01.25 17:49:00,buy,0.2,1.36640,1.36603,-1.08,0.00,-8.48,9 870.63
2021.01.28 15:51:00,2021.01.28 15:59:31,sell,0.18,1.36677,1.36836,-0.96,0.00,-29.58,9 841.05
2021.02.03 15:24:00,2021.02.03 15:36:33,sell,0.39,1.36362,1.36438,-2.08,0.00,-31.72,9 809.33
2021.02.04 15:00:00,2021.02.04 15:14:28,sell,0.19,1.36649,1.36799,-1.01,0.00,-29.51,9 779.82
2021.02.05 15:31:00,2021.02.05 16:31:00,sell,0.18,1.37062,1.37148,-0.96,0.00,-16.44,9 763.38
2021.02.09 16:35:00,2021.02.09 17:35:00,sell,0.24,1.37906,1.37951,-1.30,0.00,-12.10,9 751.28
2021.02.15 17:26:00,2021.02.15 18:00:00,sell,0.38,1.39099,1.39127,-2.07,0.00,-12.71,9 738.57
2021.02.16 15:00:00,2021.02.16 15:09:42,buy,0.52,1.39118,1.39061,-2.83,0.00,-32.47,9 706.10
2021.03.01 17:22:00,2021.03.01 18:00:00,sell,0.16,1.39438,1.39367,-0.87,0.00,10.49,9 716.59
2021.03.02 17:52:00,2021.03.02 17:55:37,sell,0.29,1.39291,1.39388,-1.58,0.00,-29.71,9 686.88
2021.03.02 17:56:00,2021.03.02 18:00:00,sell,0.18,1.39380,1.39481,-0.98,0.00,-19.16,9 667.72
2021.03.03 17:12:00,2021.03.03 17:20:38,buy,0.2,1.39383,1.39241,-1.09,0.00,-29.49,9 638.23
2021.03.03 17:56:00,2021.03.03 18:00:00,sell,0.13,1.39603,1.39746,-0.71,0.00,-19.30,9 618.93
2021.03.04 15:41:00,2021.03.04 15:49:40,sell,0.35,1.39585,1.39668,-1.91,0.00,-30.96,9 587.97
2021.03.05 15:32:00,2021.03.05 16:16:31,buy,0.09,1.37949,1.38589,-0.48,0.00,57.12,9 645.09
2021.03.08 16:33:00,2021.03.08 17:33:00,buy,0.22,1.38302,1.38294,-1.18,0.00,-2.94,9 642.15
2021.03.09 16:27:00,2021.03.09 17:01:21,sell,0.2,1.39059,1.39204,-1.08,0.00,-30.08,9 612.07
2021.03.09 17:50:00,2021.03.09 18:00:00,buy,0.16,1.38860,1.38929,-0.86,0.00,10.18,9 622.25
2021.03.18 17:39:00,2021.03.18 18:00:00,sell,0.16,1.39308,1.39265,-0.87,0.00,6.01,9 628.26
2021.03.19 15:48:00,2021.03.19 16:00:39,buy,0.16,1.38900,1.38730,-0.87,0.00,-28.07,9 600.19
2021.03.22 15:40:00,2021.03.22 15:55:14,buy,0.27,1.38512,1.38407,-1.46,0.00,-29.81,9 570.38
2021.03.29 16:18:00,2021.03.29 16:46:29,sell,0.24,1.38317,1.38083,-1.28,0.00,54.88,9 625.26
2021.04.02 15:37:00,2021.04.02 16:37:00,sell,0.22,1.38390,1.38233,-1.17,0.00,33.37,9 658.63
