open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2021.01.04 15:00:00,2021.01.04 15:05:40,buy,0.5,1.36544,1.36484,-2.70,0.00,-32.70,9 967.30
2021.01.04 15:10:00,2021.01.04 15:17:04,buy,0.2,1.36424,1.36277,-1.08,0.00,-30.48,9 936.82
2021.01.04 15:20:00,2021.01.04 15:50:00,buy,0.12,1.36279,1.36325,-0.65,0.00,4.87,9 941.69
2021.01.04 16:40:00,2021.01.04 17:01:38,buy,0.19,1.36098,1.35948,-1.03,0.00,-29.53,9 912.16
2021.01.04 17:05:00,2021.01.04 17:35:00,buy,0.1,1.35881,1.35755,-0.54,0.00,-13.14,9 899.02
2021.01.05 16:40:00,2021.01.05 17:10:00,sell,0.16,1.35957,1.35870,-0.86,0.00,13.06,9 912.08
2021.01.06 15:05:00,2021.01.06 15:35:00,buy,0.15,1.36082,1.36139,-0.82,0.00,7.73,9 919.81
2021.01.06 15:50:00,2021.01.06 15:56:35,buy,0.17,1.35977,1.35807,-0.93,0.00,-29.83,9 889.98
2021.01.06 16:00:00,2021.01.06 16:30:00,buy,0.07,1.35657,1.35536,-0.38,0.00,-8.85,9 881.13
2021.01.07 16:30:00,2021.01.07 16:39:43,buy,0.24,1.35838,1.35719,-1.30,0.00,-29.86,9 851.27
2021.01.07 16:40:00,2021.01.07 17:10:00,buy,0.16,1.35736,1.35616,-0.87,0.00,-20.07,9 831.20
2021.01.08 15:35:00,2021.01.08 15:40:21,buy,0.25,1.35823,1.36058,-1.36,0.00,57.39,9 888.59
2021.01.08 15:45:00,2021.01.08 15:46:42,sell,0.22,1.36092,1.36226,-1.20,0.00,-30.68,9 857.91
2021.01.08 15:50:00,2021.01.08 16:20:00,sell,0.11,1.36237,1.36166,-0.60,0.00,7.21,9 865.12
2021.01.08 16:55:00,2021.01.08 17:22:41,buy,0.1,1.35823,1.35540,-0.54,0.00,-28.84,9 836.28
2021.01.08 17:25:00,2021.01.08 17:55:00,buy,0.08,1.35507,1.35736,-0.43,0.00,17.89,9 854.17
2021.01.11 16:10:00,2021.01.11 16:40:00,sell,0.21,1.34817,1.34734,-1.13,0.00,16.30,9 870.47
2021.01.11 16:55:00,2021.01.11 17:24:40,buy,0.22,1.34577,1.34837,-1.18,0.00,56.02,9 926.49
2021.01.11 17:25:00,2021.01.11 17:55:00,sell,0.2,1.34838,1.34794,-1.08,0.00,7.72,9 934.21
2021.01.12 16:00:00,2021.01.12 16:20:40,buy,0.48,1.35868,1.35992,-2.59,0.00,56.93,9 991.14
2021.01.12 16:25:00,2021.01.12 16:55:00,sell,0.4,1.35992,1.36000,-2.16,0.00,-5.36,9 985.78
2021.01.12 17:25:00,2021.01.12 17:55:00,sell,0.15,1.36193,1.36172,-0.81,0.00,2.34,9 988.12
2021.01.13 16:20:00,2021.01.13 16:27:28,buy,0.25,1.36702,1.36582,-1.35,0.00,-31.35,9 956.77
2021.01.13 16:30:00,2021.01.13 17:00:00,buy,0.11,1.36495,1.36472,-0.59,0.00,-3.12,9 953.65
2021.01.14 16:30:00,2021.01.14 17:00:00,sell,0.2,1.36454,1.36511,-1.09,0.00,-12.49,9 941.16
2021.01.15 16:00:00,2021.01.15 16:30:00,buy,0.17,1.36061,1.36113,-0.92,0.00,7.92,9 949.08
2021.01.15 17:10:00,2021.01.15 17:40:00,buy,0.13,1.35816,1.35920,-0.70,0.00,12.82,9 961.90
2021.01.18 16:55:00,2021.01.18 17:25:00,sell,0.29,1.35623,1.35677,-1.56,0.00,-17.22,9 944.68
2021.01.19 16:35:00,2021.01.19 17:05:00,buy,0.49,1.36110,1.36185,-2.65,0.00,34.10,9 978.78
2021.01.20 16:05:00,2021.01.20 16:35:00,sell,0.32,1.36773,1.36672,-1.73,0.00,30.59,10 009.37
2021.01.20 16:55:00,2021.01.20 17:25:00,buy,0.18,1.36485,1.36447,-0.97,0.00,-7.81,10 001.56
2021.01.20 17:55:00,2021.01.20 18:00:00,buy,0.14,1.36294,1.36320,-0.76,0.00,2.88,10 004.44
2021.01.22 15:20:00,2021.01.22 15:50:00,buy,0.19,1.36457,1.36513,-1.03,0.00,9.61,10 014.05
2021.01.22 17:00:00,2021.01.22 17:06:40,sell,0.37,1.36618,1.36700,-2.00,0.00,-32.34,9 981.71
2021.01.22 17:10:00,2021.01.22 17:40:00,sell,0.22,1.36702,1.36632,-1.19,0.00,14.21,9 995.92
2021.01.25 16:50:00,2021.01.25 17:20:00,buy,0.2,1.36645,1.36589,-1.08,0.00,-12.28,9 983.64
2021.01.26 15:40:00,2021.01.26 16:10:00,sell,0.25,1.37075,1.37150,-1.35,0.00,-20.10,9 963.54
2021.01.27 15:35:00,2021.01.27 16:05:00,buy,0.27,1.36897,1.36924,-1.45,0.00,5.84,9 969.38
2021.01.27 16:40:00,2021.01.27 17:10:00,buy,0.18,1.36707,1.36891,-0.97,0.00,32.15,10 001.53
2021.01.28 15:50:00,2021.01.28 15:54:38,sell,0.26,1.36603,1.36715,-1.39,0.00,-30.51,9 971.02
2021.01.28 15:55:00,2021.01.28 16:00:40,sell,0.16,1.36701,1.36887,-0.85,0.00,-30.61,9 940.41
2021.01.28 16:05:00,2021.01.28 16:35:00,sell,0.09,1.36904,1.36983,-0.48,0.00,-7.59,9 932.82
2021.01.29 15:40:00,2021.01.29 16:02:30,sell,0.3,1.37401,1.37499,-1.61,0.00,-31.01,9 901.81
2021.01.29 16:05:00,2021.01.29 16:35:00,sell,0.24,1.37504,1.37305,-1.29,0.00,46.47,9 948.28
2021.01.29 16:45:00,2021.01.29 17:15:00,buy,0.14,1.37173,1.37210,-0.75,0.00,4.43,9 952.71
2021.01.29 17:45:00,2021.01.29 18:00:00,buy,0.17,1.37030,1.37276,-0.91,0.00,40.91,9 993.62
2021.02.01 15:30:00,2021.02.01 16:00:00,buy,0.15,1.36809,1.36781,-0.80,0.00,-5.00,9 988.62
2021.02.01 16:50:00,2021.02.01 17:20:00,buy,0.25,1.36724,1.36836,-1.33,0.00,26.67,10 015.29
2021.02.01 17:50:00,2021.02.01 18:00:00,buy,0.28,1.36663,1.36631,-1.49,0.00,-10.45,10 004.84
2021.02.02 16:15:00,2021.02.02 16:42:29,buy,0.2,1.36425,1.36278,-1.06,0.00,-30.46,9 974.38
2021.02.02 16:45:00,2021.02.02 17:15:00,buy,0.13,1.36216,1.36228,-0.69,0.00,0.87,9 975.25
2021.02.03 15:40:00,2021.02.03 16:10:00,sell,0.23,1.36455,1.36391,-1.23,0.00,13.49,9 988.74
2021.02.03 16:35:00,2021.02.03 17:05:00,sell,0.18,1.36641,1.36633,-0.96,0.00,0.48,9 989.22
2021.02.04 15:00:00,2021.02.04 15:30:00,sell,0.15,1.36649,1.36762,-0.80,0.00,-17.75,9 971.47
2021.02.05 15:35:00,2021.02.05 16:05:00,sell,0.22,1.37066,1.37103,-1.17,0.00,-9.31,9 962.16
2021.02.05 17:10:00,2021.02.05 17:40:00,sell,0.22,1.37328,1.37344,-1.18,0.00,-4.70,9 957.46
2021.02.08 16:10:00,2021.02.08 16:10:36,sell,0.45,1.37001,1.37067,-2.42,0.00,-32.12,9 925.34
2021.02.08 16:15:00,2021.02.08 16:32:20,sell,0.26,1.37063,1.37175,-1.40,0.00,-30.52,9 894.82
2021.02.08 16:35:00,2021.02.08 17:04:29,sell,0.16,1.37210,1.37387,-0.86,0.00,-29.18,9 865.64
2021.02.09 16:35:00,2021.02.09 17:05:00,sell,0.24,1.37906,1.37841,-1.30,0.00,14.30,9 879.94
2021.02.10 15:35:00,2021.02.10 16:05:00,sell,0.28,1.38472,1.38484,-1.52,0.00,-4.88,9 875.06
2021.02.10 17:55:00,2021.02.10 18:00:00,buy,0.26,1.38383,1.38452,-1.41,0.00,16.53,9 891.59
2021.02.11 16:15:00,2021.02.11 16:45:00,buy,0.26,1.38237,1.38285,-1.41,0.00,11.07,9 902.66
2021.02.12 15:40:00,2021.02.12 16:10:00,buy,0.28,1.37891,1.38029,-1.51,0.00,37.13,9 939.79
2021.02.12 16:45:00,2021.02.12 17:15:00,sell,0.14,1.38234,1.38226,-0.76,0.00,0.36,9 940.15
2021.02.15 17:25:00,2021.02.15 17:55:00,sell,0.49,1.39073,1.39084,-2.67,0.00,-8.06,9 932.09
2021.02.16 15:00:00,2021.02.16 15:21:40,buy,0.24,1.39118,1.38994,-1.31,0.00,-31.07,9 901.02
2021.02.16 16:50:00,2021.02.16 17:20:00,buy,0.22,1.38713,1.38790,-1.19,0.00,15.75,9 916.77
2021.02.16 17:25:00,2021.02.16 17:55:00,sell,0.23,1.38916,1.38961,-1.25,0.00,-11.60,9 905.17
2021.02.17 15:50:00,2021.02.17 16:20:00,buy,0.21,1.38546,1.38512,-1.14,0.00,-8.28,9 896.89
2021.02.17 17:25:00,2021.02.17 17:55:00,buy,0.34,1.38444,1.38449,-1.84,0.00,-0.14,9 896.75
2021.02.18 15:15:00,2021.02.18 15:40:28,sell,0.24,1.39641,1.39765,-1.31,0.00,-31.07,9 865.68
2021.02.18 17:20:00,2021.02.18 17:50:00,buy,0.19,1.39359,1.39583,-1.03,0.00,41.53,9 907.21
2021.02.19 15:10:00,2021.02.19 15:40:00,sell,0.14,1.40274,1.40274,-0.77,0.00,-0.77,9 906.44
2021.02.19 17:50:00,2021.02.19 17:55:41,sell,0.42,1.40254,1.40114,-2.31,0.00,56.49,9 962.93
2021.02.22 15:45:00,2021.02.22 15:54:13,sell,0.43,1.40325,1.40396,-2.38,0.00,-32.91,9 930.02
2021.02.22 15:55:00,2021.02.22 16:25:00,sell,0.19,1.40428,1.40332,-1.05,0.00,17.19,9 947.21
2021.02.22 17:15:00,2021.02.22 17:45:00,sell,0.12,1.40656,1.40586,-0.66,0.00,7.74,9 954.95
2021.02.23 16:50:00,2021.02.23 17:20:00,buy,0.16,1.40566,1.40848,-0.88,0.00,44.24,9 999.19
2021.02.23 17:25:00,2021.02.23 17:55:00,sell,0.13,1.40961,1.41044,-0.72,0.00,-11.51,9 987.68
2021.02.24 17:15:00,2021.02.24 17:45:00,buy,0.24,1.40998,1.41125,-1.33,0.00,29.15,10 016.83
2021.02.25 15:35:00,2021.02.25 15:48:39,buy,0.32,1.41347,1.41530,-1.79,0.00,56.77,10 073.60
2021.02.25 16:30:00,2021.02.25 16:42:01,sell,0.24,1.41583,1.41708,-1.34,0.00,-31.34,10 042.26
2021.02.25 16:45:00,2021.02.25 17:15:00,sell,0.12,1.41777,1.41546,-0.67,0.00,27.05,10 069.31
2021.02.26 15:10:00,2021.02.26 15:40:00,buy,0.11,1.39170,1.39319,-0.60,0.00,15.79,10 085.10
