open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2021.01.04 10:00:00,2021.01.04 10:00:38,buy,0.5,1.36876,1.36816,-2.70,0.00,-32.70,9 967.30
2021.01.04 10:10:00,2021.01.04 10:14:26,buy,0.45,1.36847,1.36782,-2.43,0.00,-31.68,9 935.62
2021.01.04 10:15:00,2021.01.04 10:45:00,buy,0.23,1.36770,1.36896,-1.24,0.00,27.74,9 963.36
2021.01.04 15:25:00,2021.01.04 15:55:00,buy,0.1,1.36166,1.36270,-0.54,0.00,9.86,9 973.22
2021.01.04 17:05:00,2021.01.04 17:35:00,buy,0.1,1.35881,1.35755,-0.54,0.00,-13.14,9 960.08
2021.01.06 12:05:00,2021.01.06 12:35:00,sell,0.2,1.36529,1.36625,-1.09,0.00,-20.29,9 939.79
2021.01.06 14:45:00,2021.01.06 15:15:00,buy,0.13,1.36197,1.36106,-0.71,0.00,-12.54,9 927.25
2021.01.06 16:05:00,2021.01.06 16:35:00,buy,0.06,1.35550,1.35520,-0.33,0.00,-2.13,9 925.12
2021.01.08 15:50:00,2021.01.08 16:20:00,sell,0.11,1.36237,1.36166,-0.60,0.00,7.21,9 932.33
2021.01.11 14:15:00,2021.01.11 14:45:00,buy,0.15,1.34714,1.34841,-0.81,0.00,18.24,9 950.57
2021.01.12 11:20:00,2021.01.12 11:22:56,sell,0.14,1.35709,1.35908,-0.76,0.00,-28.62,9 921.95
2021.01.12 11:25:00,2021.01.12 11:55:00,sell,0.09,1.35879,1.36042,-0.49,0.00,-15.16,9 906.79
2021.01.12 17:25:00,2021.01.12 17:55:00,sell,0.14,1.36193,1.36172,-0.76,0.00,2.18,9 908.97
2021.01.13 11:25:00,2021.01.13 11:55:00,sell,0.3,1.36922,1.36939,-1.63,0.00,-6.73,9 902.24
2021.01.13 16:30:00,2021.01.13 17:00:00,buy,0.11,1.36495,1.36472,-0.59,0.00,-3.12,9 899.12
2021.01.14 11:30:00,2021.01.14 12:00:00,buy,0.15,1.36356,1.36519,-0.81,0.00,23.64,9 922.76
2021.01.14 15:00:00,2021.01.14 15:29:00,buy,0.2,1.36360,1.36214,-1.09,0.00,-30.29,9 892.47
2021.01.14 16:30:00,2021.01.14 17:00:00,sell,0.2,1.36454,1.36511,-1.09,0.00,-12.49,9 879.98
2021.01.18 12:20:00,2021.01.18 12:50:00,sell,0.22,1.35419,1.35388,-1.18,0.00,5.64,9 885.62
2021.01.19 14:05:00,2021.01.19 14:35:00,buy,0.29,1.36061,1.36110,-1.56,0.00,12.65,9 898.27
2021.01.20 11:05:00,2021.01.20 11:35:00,sell,0.17,1.36893,1.36865,-0.92,0.00,3.84,9 902.11
2021.01.20 12:45:00,2021.01.20 12:45:40,sell,0.27,1.37053,1.37162,-1.46,0.00,-30.89,9 871.22
2021.01.20 16:55:00,2021.01.20 17:25:00,buy,0.18,1.36485,1.36447,-0.97,0.00,-7.81,9 863.41
2021.01.22 13:10:00,2021.01.22 13:40:00,sell,0.31,1.36695,1.36653,-1.67,0.00,11.35,9 874.76
2021.01.22 15:20:00,2021.01.22 15:50:00,buy,0.19,1.36457,1.36513,-1.03,0.00,9.61,9 884.37
2021.01.22 17:10:00,2021.01.22 17:40:00,sell,0.22,1.36702,1.36632,-1.19,0.00,14.21,9 898.58
2021.01.25 16:50:00,2021.01.25 17:20:00,buy,0.19,1.36645,1.36589,-1.03,0.00,-11.67,9 886.91
2021.01.26 13:20:00,2021.01.26 13:50:00,sell,0.19,1.36698,1.36721,-1.02,0.00,-5.39,9 881.52
2021.01.27 13:40:00,2021.01.27 13:42:28,buy,0.27,1.37246,1.37138,-1.46,0.00,-30.62,9 850.90
2021.01.27 13:45:00,2021.01.27 14:15:00,buy,0.15,1.37133,1.37070,-0.81,0.00,-10.26,9 840.64
2021.01.28 12:50:00,2021.01.28 13:20:00,sell,0.2,1.36626,1.36691,-1.07,0.00,-14.07,9 826.57
2021.01.28 15:55:00,2021.01.28 16:00:40,sell,0.15,1.36701,1.36887,-0.80,0.00,-28.70,9 797.87
2021.01.28 16:05:00,2021.01.28 16:35:00,sell,0.09,1.36904,1.36983,-0.48,0.00,-7.59,9 790.28
2021.02.03 15:40:00,2021.02.03 16:10:00,sell,0.23,1.36455,1.36391,-1.23,0.00,13.49,9 803.77
2021.02.04 14:05:00,2021.02.04 14:35:00,sell,0.05,1.36338,1.36343,-0.27,0.00,-0.52,9 803.25
2021.02.05 13:05:00,2021.02.05 13:35:00,buy,0.21,1.36777,1.36819,-1.12,0.00,7.70,9 810.95
2021.02.05 15:35:00,2021.02.05 16:05:00,sell,0.22,1.37066,1.37103,-1.17,0.00,-9.31,9 801.64
2021.02.08 12:30:00,2021.02.08 13:00:00,buy,0.22,1.36911,1.36912,-1.18,0.00,-0.96,9 800.68
2021.02.08 16:15:00,2021.02.08 16:32:20,sell,0.26,1.37063,1.37175,-1.40,0.00,-30.52,9 770.16
2021.02.09 16:35:00,2021.02.09 17:05:00,sell,0.24,1.37906,1.37841,-1.30,0.00,14.30,9 784.46
2021.02.10 14:05:00,2021.02.10 14:35:00,buy,0.34,1.38327,1.38337,-1.84,0.00,1.56,9 786.02
2021.02.10 15:35:00,2021.02.10 16:05:00,sell,0.28,1.38472,1.38484,-1.52,0.00,-4.88,9 781.14
2021.02.11 15:10:00,2021.02.11 15:40:00,sell,0.3,1.38401,1.38372,-1.63,0.00,7.07,9 788.21
2021.02.12 10:55:00,2021.02.12 11:25:00,buy,0.24,1.37809,1.37859,-1.30,0.00,10.70,9 798.91
2021.02.12 14:30:00,2021.02.12 14:44:14,sell,0.26,1.37986,1.38097,-1.41,0.00,-30.27,9 768.64
2021.02.12 16:45:00,2021.02.12 17:15:00,sell,0.14,1.38234,1.38226,-0.76,0.00,0.36,9 769.00
2021.02.16 10:00:00,2021.02.16 10:30:00,buy,0.3,1.39114,1.39269,-1.63,0.00,44.87,9 813.87
2021.02.18 13:15:00,2021.02.18 13:45:00,sell,0.23,1.39395,1.39402,-1.25,0.00,-2.86,9 811.01
2021.02.18 14:50:00,2021.02.18 15:20:00,sell,0.11,1.39661,1.39589,-0.60,0.00,7.32,9 818.33
2021.02.19 15:00:00,2021.02.19 15:11:26,sell,0.21,1.40161,1.40301,-1.16,0.00,-30.56,9 787.77
2021.02.19 15:15:00,2021.02.19 15:45:00,sell,0.13,1.40311,1.40322,-0.72,0.00,-2.15,9 785.62
2021.02.22 10:10:00,2021.02.22 10:40:00,sell,0.21,1.40035,1.39956,-1.16,0.00,15.43,9 801.05
2021.02.22 13:20:00,2021.02.22 13:50:00,sell,0.22,1.40404,1.40392,-1.21,0.00,1.43,9 802.48
2021.02.22 15:50:00,2021.02.22 16:20:00,sell,0.26,1.40377,1.40259,-1.44,0.00,29.24,9 831.72
2021.02.22 17:15:00,2021.02.22 17:45:00,sell,0.12,1.40656,1.40586,-0.66,0.00,7.74,9 839.46
2021.02.23 11:55:00,2021.02.23 12:25:00,sell,0.19,1.40907,1.40834,-1.05,0.00,12.82,9 852.28
2021.02.25 16:45:00,2021.02.25 17:15:00,sell,0.12,1.41777,1.41546,-0.67,0.00,27.05,9 879.33
2021.03.02 10:40:00,2021.03.02 11:08:40,sell,0.15,1.39018,1.38629,-0.81,0.00,57.54,9 936.87
2021.03.02 11:10:00,2021.03.02 11:40:00,buy,0.12,1.38599,1.38715,-0.65,0.00,13.27,9 950.14
2021.03.03 11:25:00,2021.03.03 11:55:00,sell,0.15,1.39914,1.39886,-0.82,0.00,3.38,9 953.52
2021.03.03 13:35:00,2021.03.03 13:39:35,buy,0.2,1.39614,1.39467,-1.09,0.00,-30.49,9 923.03
2021.03.03 13:40:00,2021.03.03 14:10:00,buy,0.11,1.39473,1.39498,-0.60,0.00,2.15,9 925.18
2021.03.03 17:15:00,2021.03.03 17:45:00,buy,0.14,1.39325,1.39304,-0.76,0.00,-3.70,9 921.48
2021.03.04 15:45:00,2021.03.04 15:50:40,sell,0.26,1.39612,1.39725,-1.42,0.00,-30.80,9 890.68
2021.03.04 15:55:00,2021.03.04 16:25:00,sell,0.22,1.39671,1.39689,-1.20,0.00,-5.16,9 885.52
2021.03.05 15:35:00,2021.03.05 16:05:00,buy,0.11,1.37982,1.38408,-0.59,0.00,46.27,9 931.79
2021.03.08 14:55:00,2021.03.08 15:14:39,buy,0.24,1.38174,1.38419,-1.28,0.00,57.52,9 989.31
2021.03.08 15:20:00,2021.03.08 15:50:00,sell,0.18,1.38461,1.38456,-0.97,0.00,-0.07,9 989.24
2021.03.09 12:20:00,2021.03.09 12:50:00,buy,0.15,1.38685,1.38675,-0.81,0.00,-2.31,9 986.93
2021.03.10 15:35:00,2021.03.10 16:05:00,sell,0.12,1.39038,1.39140,-0.65,0.00,-12.89,9 974.04
2021.03.11 16:35:00,2021.03.11 17:05:00,buy,0.24,1.39501,1.39593,-1.30,0.00,20.78,9 994.82
2021.03.12 13:45:00,2021.03.12 14:15:00,buy,0.12,1.38933,1.39003,-0.65,0.00,7.75,10 002.57
2021.03.12 15:50:00,2021.03.12 16:20:00,buy,0.2,1.38825,1.38765,-1.08,0.00,-13.08,9 989.49
2021.03.15 13:20:00,2021.03.15 13:50:00,buy,0.3,1.39248,1.39304,-1.63,0.00,15.17,10 004.66
2021.03.15 17:25:00,2021.03.15 17:39:40,buy,0.25,1.38966,1.38848,-1.35,0.00,-30.85,9 973.81
2021.03.15 17:40:00,2021.03.15 18:00:00,buy,0.18,1.38855,1.38900,-0.97,0.00,7.13,9 980.94
2021.03.17 10:00:00,2021.03.17 10:30:00,sell,0.2,1.39125,1.39066,-1.08,0.00,10.72,9 991.66
2021.03.17 12:00:00,2021.03.17 12:30:00,buy,0.19,1.38981,1.39033,-1.03,0.00,8.85,10 000.51
2021.03.17 13:30:00,2021.03.17 13:48:37,sell,0.27,1.39115,1.39227,-1.46,0.00,-31.70,9 968.81
2021.03.17 17:55:00,2021.03.17 18:00:00,buy,0.14,1.38771,1.38813,-0.76,0.00,5.12,9 973.93
2021.03.18 10:05:00,2021.03.18 10:35:00,sell,0.14,1.39984,1.39665,-0.77,0.00,43.89,10 017.82
2021.03.18 13:35:00,2021.03.18 13:58:39,sell,0.24,1.39747,1.39870,-1.31,0.00,-30.83,9 986.99
2021.03.22 11:35:00,2021.03.22 12:05:00,sell,0.18,1.38685,1.38674,-0.97,0.00,1.01,9 988.00
2021.03.22 16:05:00,2021.03.22 16:35:00,buy,0.12,1.38269,1.38388,-0.65,0.00,13.63,10 001.63
2021.03.22 17:50:00,2021.03.22 18:00:00,sell,0.27,1.38436,1.38375,-1.46,0.00,15.01,10 016.64
2021.03.23 11:10:00,2021.03.23 11:29:40,buy,0.16,1.38240,1.38057,-0.86,0.00,-30.14,9 986.50
2021.03.23 11:30:00,2021.03.23 12:00:00,buy,0.12,1.38091,1.38108,-0.65,0.00,1.39,9 987.89
2021.03.24 10:25:00,2021.03.24 10:55:00,buy,0.12,1.36874,1.36837,-0.64,0.00,-5.08,9 982.81
2021.03.25 11:20:00,2021.03.25 11:50:00,sell,0.18,1.36962,1.36881,-0.96,0.00,13.62,9 996.43
2021.03.25 16:20:00,2021.03.25 16:50:00,sell,0.21,1.37230,1.37133,-1.12,0.00,19.25,10 015.68
2021.03.30 11:45:00,2021.03.30 12:15:00,sell,0.21,1.37752,1.37765,-1.12,0.00,-3.85,10 011.83
2021.03.30 14:40:00,2021.03.30 15:10:00,buy,0.2,1.37359,1.37385,-1.06,0.00,4.14,10 015.97
2021.03.31 17:05:00,2021.03.31 17:35:00,sell,0.16,1.37928,1.38047,-0.85,0.00,-19.89,9 996.08
2021.04.02 14:30:00,2021.04.02 15:00:00,buy,0.49,1.38323,1.38298,-2.61,0.00,-14.86,9 981.22
2021.04.05 11:15:00,2021.04.05 11:45:00,sell,0.18,1.38571,1.38626,-0.96,0.00,-10.86,9 970.36
2021.04.05 15:40:00,2021.04.05 16:10:00,sell,0.35,1.38744,1.38748,-1.87,0.00,-3.27,9 967.09
2021.04.06 14:50:00,2021.04.06 15:11:14,buy,0.42,1.38240,1.38380,-2.24,0.00,56.56,10 023.65
2021.04.07 11:35:00,2021.04.07 12:05:00,sell,0.15,1.38254,1.38246,-0.80,0.00,0.40,10 024.05
2021.04.07 14:00:00,2021.04.07 14:30:00,buy,0.21,1.38125,1.38234,-1.12,0.00,21.77,10 045.82
2021.04.08 14:40:00,2021.04.08 14:53:17,sell,0.26,1.37561,1.37678,-1.39,0.00,-31.81,10 014.01
2021.04.08 16:35:00,2021.04.08 17:05:00,buy,0.19,1.37458,1.37624,-1.02,0.00,30.52,10 044.53
2021.04.09 15:25:00,2021.04.09 15:55:00,buy,0.18,1.37019,1.37048,-0.96,0.00,4.26,10 048.79
2021.04.12 10:10:00,2021.04.12 10:40:00,sell,0.21,1.37223,1.37282,-1.12,0.00,-13.51,10 035.28
2021.04.12 15:25:00,2021.04.12 15:40:39,buy,0.39,1.37543,1.37696,-2.08,0.00,57.59,10 092.87
2021.04.12 15:45:00,2021.04.12 16:15:00,sell,0.3,1.37715,1.37562,-1.60,0.00,44.30,10 137.17
2021.04.13 10:30:00,2021.04.13 11:00:00,sell,0.23,1.37628,1.37501,-1.23,0.00,27.98,10 165.15
2021.04.13 15:40:00,2021.04.13 16:08:28,sell,0.17,1.37410,1.37055,-0.91,0.00,59.44,10 224.59
2021.04.13 16:10:00,2021.04.13 16:40:00,buy,0.12,1.37029,1.37396,-0.64,0.00,43.40,10 267.99
2021.04.14 10:55:00,2021.04.14 11:25:00,buy,0.22,1.37799,1.37949,-1.18,0.00,31.82,10 299.81
2021.04.14 16:30:00,2021.04.14 16:41:25,sell,0.21,1.37760,1.37905,-1.13,0.00,-31.58,10 268.23
2021.04.14 16:45:00,2021.04.14 17:15:00,sell,0.13,1.37910,1.37778,-0.70,0.00,16.46,10 284.69
2021.04.15 12:25:00,2021.04.15 12:55:00,sell,0.19,1.38026,1.37924,-1.03,0.00,18.35,10 303.04
2021.04.15 14:00:00,2021.04.15 14:30:00,buy,0.17,1.37651,1.37785,-0.92,0.00,21.86,10 324.90
2021.04.16 10:00:00,2021.04.16 10:30:00,buy,0.19,1.37239,1.37399,-1.03,0.00,29.37,10 354.27
2021.04.19 14:00:00,2021.04.19 14:30:00,sell,0.15,1.39185,1.39076,-0.82,0.00,15.53,10 369.80
2021.04.20 17:05:00,2021.04.20 17:17:05,buy,0.5,1.39515,1.39637,-2.72,0.00,58.28,10 428.08
2021.04.20 17:20:00,2021.04.20 17:50:00,sell,0.38,1.39662,1.39580,-2.07,0.00,29.09,10 457.17
2021.04.21 15:40:00,2021.04.21 16:06:59,buy,0.33,1.39116,1.39023,-1.78,0.00,-32.47,10 424.70
2021.04.21 16:15:00,2021.04.21 16:45:00,buy,0.17,1.38918,1.38957,-0.92,0.00,5.71,10 430.41
2021.04.22 11:05:00,2021.04.22 11:35:00,buy,0.22,1.39217,1.39118,-1.19,0.00,-22.97,10 407.44
2021.04.22 15:05:00,2021.04.22 15:17:39,buy,0.16,1.38839,1.38649,-0.87,0.00,-31.27,10 376.17
2021.04.23 16:25:00,2021.04.23 16:55:00,buy,0.18,1.38616,1.38612,-0.97,0.00,-1.69,10 374.48
2021.04.26 11:40:00,2021.04.26 12:10:00,buy,0.2,1.39072,1.39077,-1.09,0.00,-0.09,10 374.39
2021.04.26 14:05:00,2021.04.26 14:35:00,buy,0.18,1.38892,1.39001,-0.98,0.00,18.64,10 393.03
2021.04.27 15:35:00,2021.04.27 16:05:00,buy,0.32,1.39003,1.38953,-1.74,0.00,-17.74,10 375.29
2021.04.28 11:35:00,2021.04.28 12:05:00,sell,0.26,1.38884,1.38816,-1.41,0.00,16.27,10 391.56
2021.04.29 11:35:00,2021.04.29 12:05:00,buy,0.16,1.39390,1.39397,-0.87,0.00,0.25,10 391.81
2021.04.30 10:10:00,2021.04.30 10:40:00,buy,0.18,1.39202,1.39172,-0.98,0.00,-6.38,10 385.43
2021.04.30 13:20:00,2021.04.30 13:50:00,sell,0.22,1.39222,1.39046,-1.20,0.00,37.52,10 422.95
2021.04.30 17:15:00,2021.04.30 17:45:00,buy,0.13,1.38459,1.38724,-0.70,0.00,33.75,10 456.70
2021.05.03 15:25:00,2021.05.03 15:31:27,sell,0.41,1.38809,1.38886,-2.22,0.00,-33.79,10 422.91
2021.05.04 17:55:00,2021.05.04 18:00:00,sell,0.2,1.38801,1.38836,-1.08,0.00,-8.08,10 414.83
2021.05.05 12:15:00,2021.05.05 12:45:00,buy,0.32,1.38798,1.38905,-1.73,0.00,32.51,10 447.34
2021.05.05 13:25:00,2021.05.05 13:55:00,sell,0.13,1.39232,1.39178,-0.70,0.00,6.32,10 453.66
2021.05.05 15:30:00,2021.05.05 16:00:00,buy,0.25,1.39002,1.39064,-1.35,0.00,14.15,10 467.81
2021.05.06 12:30:00,2021.05.06 13:00:00,sell,0.25,1.39165,1.39171,-1.36,0.00,-2.86,10 464.95
2021.05.06 14:00:00,2021.05.06 14:00:31,buy,0.21,1.38949,1.38799,-1.14,0.00,-32.64,10 432.31
2021.05.06 14:10:00,2021.05.06 14:40:00,sell,0.13,1.39355,1.39135,-0.71,0.00,27.89,10 460.20
2021.05.06 17:10:00,2021.05.06 17:40:00,buy,0.12,1.38714,1.38767,-0.65,0.00,5.71,10 465.91
2021.05.07 12:05:00,2021.05.07 12:35:00,buy,0.38,1.39154,1.39147,-2.07,0.00,-4.73,10 461.18
2021.05.07 15:35:00,2021.05.07 16:05:00,sell,0.05,1.39643,1.39371,-0.27,0.00,13.33,10 474.51
