open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2021.01.04 15:25:00,2021.01.04 15:34:35,sell,0.75,1.22886,1.22927,-4.05,0.00,-34.80,9 965.20
2021.01.04 15:37:00,2021.01.04 15:44:59,buy,0.74,1.22961,1.23000,-4.00,0.00,24.86,9 990.06
2021.01.04 15:47:00,2021.01.04 15:49:36,buy,0.73,1.23020,1.22978,-3.95,0.00,-34.61,9 955.45
2021.01.04 15:50:00,2021.01.04 15:55:05,sell,0.64,1.22969,1.22923,-3.46,0.00,25.98,9 981.43
2021.01.04 16:03:00,2021.01.04 16:06:33,sell,0.74,1.22983,1.22942,-4.00,0.00,26.34,10 007.77
2021.01.05 15:29:00,2021.01.05 15:30:59,buy,0.75,1.22693,1.22651,-4.04,0.00,-35.54,9 972.23
2021.01.05 15:31:00,2021.01.05 15:35:42,sell,0.74,1.22651,1.22693,-3.99,0.00,-35.07,9 937.16
2021.01.05 15:46:00,2021.01.05 15:54:28,sell,0.74,1.22670,1.22634,-3.99,0.00,22.65,9 959.81
2021.01.05 15:57:00,2021.01.05 16:05:34,buy,0.74,1.22641,1.22677,-3.99,0.00,22.65,9 982.46
2021.01.05 16:15:00,2021.01.05 16:25:00,buy,0.74,1.22713,1.22723,-3.99,0.00,3.41,9 985.87
2021.01.06 15:01:00,2021.01.06 15:09:00,sell,0.51,1.23341,1.23399,-2.78,0.00,-32.36,9 953.51
2021.01.06 15:47:00,2021.01.06 15:57:00,sell,0.37,1.23281,1.23213,-2.02,0.00,23.14,9 976.65
2021.01.06 15:57:00,2021.01.06 15:57:43,sell,0.72,1.23212,1.23167,-3.92,0.00,28.48,10 005.13
2021.01.06 16:07:00,2021.01.06 16:07:28,sell,0.51,1.23059,1.23001,-2.78,0.00,26.80,10 031.93
2021.01.06 16:08:00,2021.01.06 16:12:29,sell,0.24,1.22936,1.23059,-1.30,0.00,-30.82,10 001.11
2021.01.07 15:33:00,2021.01.07 15:35:41,buy,0.75,1.22721,1.22680,-4.07,0.00,-34.82,9 966.29
2021.01.07 15:51:00,2021.01.07 15:51:40,sell,0.74,1.22656,1.22624,-4.01,0.00,19.67,9 985.96
2021.01.07 16:28:00,2021.01.07 16:38:00,sell,0.36,1.22698,1.22751,-1.95,0.00,-21.03,9 964.93
2021.01.07 16:39:00,2021.01.07 16:39:31,sell,0.59,1.22700,1.22650,-3.20,0.00,26.30,9 991.23
2021.01.07 16:40:00,2021.01.07 16:44:32,sell,0.46,1.22636,1.22571,-2.49,0.00,27.41,10 018.64
2021.01.08 15:32:00,2021.01.08 15:32:17,sell,0.48,1.22377,1.22439,-2.61,0.00,-32.37,9 986.27
2021.01.08 15:33:00,2021.01.08 15:40:29,buy,0.26,1.22490,1.22602,-1.42,0.00,27.70,10 013.97
2021.01.08 15:41:00,2021.01.08 15:45:41,buy,0.25,1.22661,1.22777,-1.36,0.00,27.64,10 041.61
