open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2021.01.04 15:00:00,2021.01.04 15:15:00,sell,0.49,1.23034,1.22956,-2.65,0.00,35.57,10 035.57
2021.01.08 15:41:00,2021.01.08 15:46:40,sell,0.17,1.22660,1.22832,-0.93,0.00,-30.17,10 005.40
2021.03.05 15:31:00,2021.03.05 15:46:00,buy,0.12,1.19127,1.19206,-0.64,0.00,8.84,10 014.24
2021.04.22 17:16:00,2021.04.22 17:31:00,buy,0.17,1.20078,1.20054,-0.92,0.00,-5.00,10 009.24
2021.05.07 15:31:00,2021.05.07 15:46:00,sell,0.06,1.21107,1.21277,-0.33,0.00,-10.53,9 998.71
2021.05.12 15:31:00,2021.05.12 15:46:00,buy,0.08,1.20823,1.21124,-0.44,0.00,23.64,10 022.35
2021.05.13 15:32:00,2021.05.13 15:47:00,sell,0.43,1.20879,1.20883,-2.32,0.00,-4.04,10 018.31
2021.05.21 15:00:00,2021.05.21 15:15:00,buy,0.12,1.21864,1.21879,-0.65,0.00,1.15,10 019.46
2021.06.04 15:31:00,2021.06.04 15:46:00,sell,0.1,1.21460,1.21514,-0.54,0.00,-5.94,10 013.52
2021.07.02 15:33:00,2021.07.02 15:35:43,sell,0.18,1.18406,1.18573,-0.94,0.00,-31.00,9 982.52
2021.07.13 15:31:00,2021.07.13 15:46:00,buy,0.1,1.18166,1.18148,-0.52,0.00,-2.32,9 980.20
2021.08.04 17:02:00,2021.08.04 17:03:41,buy,0.2,1.18783,1.18632,-1.04,0.00,-31.24,9 948.96
2021.08.04 17:04:00,2021.08.04 17:19:00,buy,0.12,1.18669,1.18552,-0.62,0.00,-14.66,9 934.30
2021.08.06 15:31:00,2021.08.06 15:46:00,buy,0.19,1.17895,1.17890,-0.98,0.00,-1.93,9 932.37
2021.08.11 15:31:00,2021.08.11 15:35:17,sell,0.3,1.17284,1.17382,-1.54,0.00,-30.94,9 901.43
2021.09.03 15:31:00,2021.09.03 15:46:00,sell,0.11,1.18993,1.18755,-0.57,0.00,25.61,9 927.04
2021.09.07 15:51:00,2021.09.07 16:06:00,buy,0.38,1.18540,1.18518,-1.97,0.00,-10.33,9 916.71
2021.09.14 15:31:00,2021.09.14 15:46:00,sell,0.19,1.18281,1.18330,-0.98,0.00,-10.29,9 906.42
2021.09.23 15:33:00,2021.09.23 15:48:00,sell,0.38,1.17255,1.17306,-1.94,0.00,-21.32,9 885.10
2021.10.05 16:09:00,2021.10.05 16:24:00,buy,0.26,1.15889,1.15915,-1.32,0.00,5.44,9 890.54
2021.11.05 15:31:00,2021.11.05 15:46:00,buy,0.19,1.15206,1.15233,-0.98,0.00,4.15,9 894.69
2021.11.10 15:31:00,2021.11.10 15:46:00,buy,0.14,1.15356,1.15471,-0.72,0.00,15.38,9 910.07
2021.11.22 16:02:00,2021.11.22 16:05:15,buy,0.32,1.12667,1.12570,-1.63,0.00,-32.67,9 877.40
2021.12.03 15:31:00,2021.12.03 15:46:00,sell,0.07,1.13319,1.13140,-0.35,0.00,12.18,9 889.58
2021.12.10 15:33:00,2021.12.10 15:48:00,sell,0.12,1.12975,1.12828,-0.60,0.00,17.04,9 906.62
2022.01.07 15:31:00,2022.01.07 15:46:00,sell,0.15,1.13211,1.13021,-0.75,0.00,27.75,9 934.37
2022.02.10 15:31:00,2022.02.10 15:46:00,buy,0.11,1.14080,1.13972,-0.55,0.00,-12.43,9 921.94
