open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2021.01.04 15:00:00,2021.01.04 15:08:05,sell,0.66,1.23034,1.22972,-3.56,0.00,37.36,10 037.36
2021.01.04 15:25:00,2021.01.04 15:36:42,buy,0.51,1.22887,1.22966,-2.75,0.00,37.54,10 074.90
2021.01.04 16:21:00,2021.01.04 16:22:41,sell,1,1.23002,1.23032,-5.40,0.00,-35.40,10 039.50
2021.01.04 16:23:00,2021.01.04 16:26:28,sell,0.68,1.23030,1.23075,-3.67,0.00,-34.27,10 005.23
2021.01.04 16:27:00,2021.01.04 16:33:37,sell,0.44,1.23078,1.22989,-2.38,0.00,36.78,10 042.01
2021.01.05 15:27:00,2021.01.05 15:27:37,buy,1,1.22686,1.22656,-5.39,0.00,-35.39,10 006.62
2021.01.05 15:28:00,2021.01.05 15:36:41,buy,0.69,1.22660,1.22718,-3.72,0.00,36.30,10 042.92
2021.01.05 15:55:00,2021.01.05 16:10:00,buy,0.7,1.22626,1.22655,-3.77,0.00,16.53,10 059.45
2021.01.05 16:15:00,2021.01.05 16:30:00,sell,0.76,1.22712,1.22734,-4.10,0.00,-20.82,10 038.63
2021.01.05 16:38:00,2021.01.05 16:38:38,sell,0.71,1.22780,1.22723,-3.83,0.00,36.64,10 075.27
2021.01.06 15:41:00,2021.01.06 15:46:40,buy,0.61,1.23333,1.23283,-3.33,0.00,-33.83,10 041.44
2021.01.06 15:47:00,2021.01.06 15:56:41,buy,0.41,1.23282,1.23209,-2.24,0.00,-32.17,10 009.27
2021.01.06 15:58:00,2021.01.06 16:05:39,buy,0.35,1.23177,1.23093,-1.91,0.00,-31.31,9 977.96
2021.01.06 16:08:00,2021.01.06 16:23:00,buy,0.15,1.22937,1.23019,-0.82,0.00,11.48,9 989.44
2021.01.06 16:53:00,2021.01.06 17:06:43,sell,0.42,1.23143,1.23045,-2.29,0.00,38.87,10 028.31
2021.01.07 15:32:00,2021.01.07 15:33:14,buy,1,1.22690,1.22730,-5.42,0.00,34.58,10 062.89
2021.01.07 15:36:00,2021.01.07 15:37:39,buy,1,1.22688,1.22726,-5.42,0.00,32.58,10 095.47
2021.01.07 15:40:00,2021.01.07 15:46:27,sell,0.98,1.22764,1.22723,-5.32,0.00,34.86,10 130.33
2021.01.07 15:50:00,2021.01.07 15:50:59,buy,1.01,1.22689,1.22656,-5.48,0.00,-38.81,10 091.52
2021.01.07 15:51:00,2021.01.07 16:01:39,buy,0.6,1.22657,1.22724,-3.25,0.00,36.95,10 128.47
2021.01.08 15:31:00,2021.01.08 15:31:28,buy,0.85,1.22440,1.22405,-4.62,0.00,-34.37,10 094.10
2021.01.08 15:32:00,2021.01.08 15:32:29,buy,0.38,1.22378,1.22501,-2.07,0.00,44.67,10 138.77
2021.01.08 15:35:00,2021.01.08 15:35:38,buy,0.95,1.22435,1.22477,-5.17,0.00,34.73,10 173.50
2021.01.08 15:39:00,2021.01.08 15:40:27,sell,0.65,1.22540,1.22588,-3.54,0.00,-34.74,10 138.76
2021.01.08 15:41:00,2021.01.08 15:45:41,sell,0.23,1.22660,1.22794,-1.25,0.00,-32.07,10 106.69
2021.01.11 15:41:00,2021.01.11 15:44:39,buy,0.51,1.21458,1.21537,-2.74,0.00,37.55,10 144.24
2021.01.11 15:53:00,2021.01.11 16:02:29,buy,0.56,1.21427,1.21499,-3.01,0.00,37.31,10 181.55
2021.01.11 16:08:00,2021.01.11 16:14:35,sell,0.48,1.21561,1.21476,-2.58,0.00,38.22,10 219.77
2021.01.11 16:19:00,2021.01.11 16:27:31,buy,0.37,1.21384,1.21493,-1.99,0.00,38.34,10 258.11
2021.01.11 16:33:00,2021.01.11 16:48:00,sell,0.38,1.21568,1.21506,-2.04,0.00,21.52,10 279.63
2021.01.12 15:09:00,2021.01.12 15:09:39,sell,0.86,1.21604,1.21640,-4.65,0.00,-35.61,10 244.02
2021.01.12 15:10:00,2021.01.12 15:18:39,sell,0.55,1.21635,1.21561,-2.98,0.00,37.72,10 281.74
2021.01.12 15:23:00,2021.01.12 15:38:00,buy,0.58,1.21509,1.21478,-3.13,0.00,-21.11,10 260.63
2021.01.12 16:07:00,2021.01.12 16:09:16,buy,0.59,1.21386,1.21455,-3.18,0.00,37.53,10 298.16
2021.01.12 16:15:00,2021.01.12 16:18:28,sell,0.82,1.21494,1.21533,-4.42,0.00,-36.40,10 261.76
2021.01.13 15:09:00,2021.01.13 15:24:00,buy,0.63,1.21655,1.21660,-3.41,0.00,-0.26,10 261.50
2021.01.13 15:38:00,2021.01.13 15:40:19,sell,0.5,1.21782,1.21701,-2.71,0.00,37.79,10 299.29
2021.01.13 15:48:00,2021.01.13 16:03:00,buy,0.38,1.21591,1.21616,-2.06,0.00,7.44,10 306.73
2021.01.13 16:15:00,2021.01.13 16:27:29,sell,0.49,1.21724,1.21640,-2.66,0.00,38.50,10 345.23
2021.01.13 16:28:00,2021.01.13 16:28:42,buy,0.55,1.21618,1.21557,-2.98,0.00,-36.53,10 308.70
2021.01.14 15:00:00,2021.01.14 15:03:29,buy,0.29,1.21297,1.21190,-1.57,0.00,-32.60,10 276.10
2021.01.14 15:04:00,2021.01.14 15:19:00,buy,0.21,1.21202,1.21206,-1.14,0.00,-0.30,10 275.80
2021.01.14 16:09:00,2021.01.14 16:11:31,sell,0.56,1.21283,1.21210,-3.04,0.00,37.84,10 313.64
2021.01.14 17:11:00,2021.01.14 17:17:41,buy,1.01,1.21152,1.21122,-5.48,0.00,-35.78,10 277.86
2021.01.14 17:18:00,2021.01.14 17:19:04,buy,0.84,1.21122,1.21171,-4.55,0.00,36.61,10 314.47
2021.01.15 15:51:00,2021.01.15 16:00:37,buy,0.52,1.21195,1.21136,-2.81,0.00,-33.49,10 280.98
2021.01.15 16:02:00,2021.01.15 16:17:00,buy,0.32,1.21077,1.21086,-1.73,0.00,1.15,10 282.13
2021.01.15 16:37:00,2021.01.15 16:40:27,sell,0.71,1.21176,1.21119,-3.84,0.00,36.63,10 318.76
2021.01.15 16:50:00,2021.01.15 16:55:01,buy,0.83,1.21089,1.21052,-4.48,0.00,-35.19,10 283.57
2021.01.15 16:56:00,2021.01.15 17:06:20,buy,0.32,1.20986,1.20892,-1.73,0.00,-31.81,10 251.76
2021.01.18 15:20:00,2021.01.18 15:35:00,sell,0.87,1.20654,1.20667,-4.67,0.00,-15.98,10 235.78
2021.01.18 16:10:00,2021.01.18 16:11:26,sell,1.02,1.20691,1.20655,-5.49,0.00,31.23,10 267.01
2021.01.18 16:50:00,2021.01.18 17:05:00,sell,0.86,1.20717,1.20716,-4.63,0.00,-3.77,10 263.24
2021.01.18 17:37:00,2021.01.18 17:45:31,sell,0.91,1.20758,1.20712,-4.90,0.00,36.96,10 300.20
2021.01.18 17:54:00,2021.01.18 17:55:05,buy,1.03,1.20688,1.20728,-5.54,0.00,35.66,10 335.86
2021.01.19 15:13:00,2021.01.19 15:28:00,sell,1.03,1.21305,1.21325,-5.56,0.00,-26.16,10 309.70
2021.01.19 15:34:00,2021.01.19 15:35:31,sell,0.97,1.21356,1.21390,-5.24,0.00,-38.22,10 271.48
2021.01.19 15:36:00,2021.01.19 15:51:00,sell,0.55,1.21395,1.21376,-2.97,0.00,7.48,10 278.96
2021.01.19 16:15:00,2021.01.19 16:30:00,sell,0.63,1.21446,1.21409,-3.41,0.00,19.90,10 298.86
2021.01.19 16:32:00,2021.01.19 16:36:42,buy,0.79,1.21368,1.21329,-4.27,0.00,-35.08,10 263.78
2021.01.20 15:18:00,2021.01.20 15:25:33,sell,0.7,1.21042,1.21086,-3.79,0.00,-34.59,10 229.19
2021.01.20 16:02:00,2021.01.20 16:04:43,sell,1.02,1.21094,1.21125,-5.53,0.00,-37.15,10 192.04
2021.01.20 16:05:00,2021.01.20 16:13:20,sell,0.61,1.21129,1.21062,-3.30,0.00,37.57,10 229.61
2021.01.20 16:25:00,2021.01.20 16:40:00,buy,0.5,1.20972,1.21026,-2.71,0.00,24.29,10 253.90
2021.01.20 16:52:00,2021.01.20 16:52:39,buy,0.44,1.20905,1.20835,-2.38,0.00,-33.18,10 220.72
2021.01.21 15:13:00,2021.01.21 15:28:00,sell,0.3,1.21620,1.21620,-1.63,0.00,-1.63,10 219.09
2021.01.21 15:51:00,2021.01.21 15:53:05,sell,0.48,1.21696,1.21607,-2.61,0.00,40.11,10 259.20
2021.01.21 15:58:00,2021.01.21 16:01:30,buy,0.5,1.21536,1.21475,-2.72,0.00,-33.22,10 225.98
2021.01.21 16:02:00,2021.01.21 16:17:00,buy,0.32,1.21471,1.21474,-1.74,0.00,-0.78,10 225.20
2021.01.21 16:57:00,2021.01.21 17:02:05,sell,0.61,1.21479,1.21529,-3.31,0.00,-33.81,10 191.39
2021.01.22 15:31:00,2021.01.22 15:46:00,sell,0.89,1.21638,1.21646,-4.80,0.00,-11.92,10 179.47
2021.01.22 16:07:00,2021.01.22 16:10:04,buy,0.81,1.21622,1.21583,-4.37,0.00,-35.96,10 143.51
2021.01.22 16:11:00,2021.01.22 16:26:00,buy,0.59,1.21591,1.21593,-3.18,0.00,-2.00,10 141.51
2021.01.22 16:47:00,2021.01.22 16:58:39,sell,0.71,1.21671,1.21715,-3.84,0.00,-35.08,10 106.43
2021.01.22 16:59:00,2021.01.22 17:01:05,sell,0.7,1.21713,1.21756,-3.78,0.00,-33.88,10 072.55
2021.01.25 15:33:00,2021.01.25 15:34:39,buy,1,1.21484,1.21515,-5.41,0.00,25.59,10 098.14
2021.01.25 15:40:00,2021.01.25 15:42:40,buy,0.94,1.21467,1.21435,-5.08,0.00,-35.16,10 062.98
2021.01.25 15:43:00,2021.01.25 15:52:28,buy,0.69,1.21442,1.21500,-3.73,0.00,36.29,10 099.27
2021.01.25 16:21:00,2021.01.25 16:31:37,buy,0.72,1.21436,1.21492,-3.89,0.00,36.43,10 135.70
2021.01.25 16:41:00,2021.01.25 16:46:31,buy,0.82,1.21395,1.21358,-4.44,0.00,-34.78,10 100.92
2021.01.26 15:11:00,2021.01.26 15:24:24,buy,0.92,1.21407,1.21452,-4.98,0.00,36.42,10 137.34
