open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2018.01.02 17:59:00,2018.01.02 18:01:00,buy,0.45,1.35813,1.35767,-2.47,0.00,-23.17,9 976.83
2018.01.05 17:59:00,2018.01.05 18:01:00,buy,0.8,1.35626,1.35618,-4.40,0.00,-10.80,9 966.03
2018.01.08 17:59:00,2018.01.08 18:01:00,buy,0.55,1.35791,1.35810,-3.02,0.00,7.43,9 973.46
2018.01.10 17:59:00,2018.01.10 18:01:00,buy,0.9,1.35327,1.35289,-4.94,0.00,-39.14,9 934.32
2018.01.11 17:59:00,2018.01.11 18:01:00,sell,0.73,1.35350,1.35341,-4.02,0.00,2.55,9 936.87
2018.01.15 17:59:00,2018.01.15 18:01:00,buy,0.55,1.37995,1.38064,-3.07,0.00,34.88,9 971.75
2018.01.17 17:59:00,2018.01.17 18:01:00,buy,0.45,1.38318,1.38354,-2.51,0.00,13.69,9 985.44
2018.01.19 17:59:00,2018.01.19 18:01:00,sell,0.47,1.38425,1.38484,-2.63,0.00,-30.36,9 955.08
2018.01.22 17:59:00,2018.01.22 18:01:00,buy,0.52,1.39680,1.39648,-2.92,0.00,-19.56,9 935.52
2018.01.24 17:59:00,2018.01.24 18:01:00,sell,0.69,1.42229,1.42215,-3.90,0.00,5.76,9 941.28
2018.01.26 17:59:00,2018.01.26 18:01:00,sell,0.6,1.41789,1.41821,-3.40,0.00,-22.60,9 918.68
2018.01.31 17:59:00,2018.01.31 18:01:00,buy,0.28,1.42170,1.42266,-1.59,0.00,25.29,9 943.97
2018.02.27 17:59:00,2018.02.27 18:01:00,buy,0.26,1.38806,1.38785,-1.42,0.00,-6.88,9 937.09
2018.03.29 17:59:00,2018.03.29 18:01:00,sell,0.29,1.40277,1.40225,-1.56,0.00,13.52,9 950.61
2018.05.23 17:59:00,2018.05.23 18:01:00,sell,0.84,1.33422,1.33386,-4.44,0.00,25.80,9 976.41
2018.05.24 17:59:00,2018.05.24 18:01:00,buy,0.7,1.33746,1.33721,-3.71,0.00,-21.21,9 955.20
2018.05.31 17:59:00,2018.05.31 18:01:00,sell,0.76,1.33059,1.33032,-4.02,0.00,16.50,9 971.70
2018.06.04 17:59:00,2018.06.04 18:01:00,sell,0.75,1.33306,1.33343,-4.01,0.00,-31.76,9 939.94
2018.06.06 17:59:00,2018.06.06 17:59:40,buy,0.47,1.34391,1.34287,-2.52,0.00,-51.40,9 888.54
2018.06.07 17:59:00,2018.06.07 18:01:00,buy,0.59,1.34170,1.34203,-3.16,0.00,16.31,9 904.85
2018.06.08 17:59:00,2018.06.08 18:01:00,buy,0.42,1.33972,1.34053,-2.23,0.00,31.79,9 936.64
2018.06.14 17:59:00,2018.06.14 18:01:00,buy,0.45,1.33317,1.33324,-2.37,0.00,0.78,9 937.42
2018.06.29 17:59:00,2018.06.29 18:01:00,buy,0.44,1.32072,1.31995,-2.28,0.00,-36.16,9 901.26
2018.07.02 17:59:00,2018.07.02 18:01:00,sell,0.43,1.31271,1.31253,-2.21,0.00,5.53,9 906.79
2018.08.28 17:59:00,2018.08.28 18:01:00,buy,0.53,1.28801,1.28782,-2.73,0.00,-12.80,9 893.99
2018.09.07 17:59:00,2018.09.07 18:01:00,sell,0.24,1.29535,1.29476,-1.20,0.00,12.96,9 906.95
2018.09.26 17:59:00,2018.09.26 18:01:00,sell,0.43,1.31836,1.31821,-2.18,0.00,4.27,9 911.22
2018.10.01 17:59:00,2018.10.01 18:01:00,sell,0.36,1.30403,1.30427,-1.82,0.00,-10.46,9 900.76
2018.10.05 17:59:00,2018.10.05 18:01:00,sell,0.1,1.30749,1.30720,-0.49,0.00,2.41,9 903.17
2018.11.07 17:59:00,2018.11.07 18:01:00,sell,0.2,1.31342,1.31349,-1.02,0.00,-2.42,9 900.75
2018.11.12 17:59:00,2018.11.12 18:01:00,sell,0.43,1.28677,1.28672,-2.17,0.00,-0.02,9 900.73
2018.11.13 17:59:00,2018.11.13 18:01:00,buy,0.15,1.29934,1.29929,-0.76,0.00,-1.51,9 899.22
2018.12.10 17:59:00,2018.12.10 18:01:00,sell,0.19,1.25247,1.25317,-0.96,0.00,-14.26,9 884.96
2018.12.26 17:59:00,2018.12.26 18:01:00,sell,0.35,1.26719,1.26729,-1.73,0.00,-5.23,9 879.73
2018.12.31 17:59:00,2018.12.31 18:00:40,sell,0.22,1.27455,1.27233,-1.08,0.00,47.76,9 927.49
2019.01.04 17:59:00,2019.01.04 18:01:00,buy,0.29,1.27165,1.27188,-1.44,0.00,5.23,9 932.72
2019.01.17 17:59:00,2019.01.17 18:01:00,buy,0.35,1.29091,1.29061,-1.75,0.00,-12.25,9 920.47
2019.01.21 17:59:00,2019.01.21 18:01:00,buy,0.29,1.28913,1.28968,-1.45,0.00,14.50,9 934.97
2019.02.26 17:59:00,2019.02.26 18:01:00,buy,0.21,1.32376,1.32428,-1.05,0.00,9.87,9 944.84
2019.02.27 17:59:00,2019.02.27 18:01:00,sell,0.33,1.33318,1.33374,-1.65,0.00,-20.13,9 924.71
2019.03.07 17:59:00,2019.03.07 18:01:00,sell,0.46,1.31187,1.31174,-2.26,0.00,3.72,9 928.43
2019.03.08 17:59:00,2019.03.08 18:01:00,sell,0.13,1.30202,1.30165,-0.64,0.00,4.17,9 932.60
2019.03.25 17:59:00,2019.03.25 18:01:00,sell,0.29,1.32056,1.32033,-1.44,0.00,5.23,9 937.83
2019.04.17 17:59:00,2019.04.17 18:01:00,buy,0.5,1.30481,1.30473,-2.51,0.00,-6.51,9 931.32
2019.05.24 17:59:00,2019.05.24 18:01:00,sell,0.54,1.26908,1.26940,-2.61,0.00,-19.89,9 911.43
2019.05.29 17:59:00,2019.05.29 18:01:00,sell,0.36,1.26343,1.26309,-1.74,0.00,10.50,9 921.93
2019.06.03 17:59:00,2019.06.03 18:01:00,sell,0.43,1.26299,1.26318,-2.09,0.00,-10.26,9 911.67
2019.06.04 17:59:00,2019.06.04 18:01:00,sell,0.33,1.26726,1.26735,-1.61,0.00,-4.58,9 907.09
2019.06.17 17:59:00,2019.06.17 18:01:00,sell,0.27,1.25575,1.25577,-1.30,0.00,-1.84,9 905.25
2019.07.31 17:59:00,2019.07.31 18:01:00,buy,0.42,1.22435,1.22483,-2.03,0.00,18.13,9 923.38
2019.08.01 17:59:00,2019.08.01 18:01:00,buy,0.46,1.21548,1.21464,-2.21,0.00,-40.85,9 882.53
2019.08.05 17:59:00,2019.08.05 18:01:00,sell,0.23,1.21416,1.21403,-1.09,0.00,1.90,9 884.43
2019.09.16 17:59:00,2019.09.16 18:01:00,buy,0.34,1.24204,1.24181,-1.63,0.00,-9.45,9 874.98
2019.09.19 17:59:00,2019.09.19 18:01:00,buy,0.49,1.24912,1.24904,-2.33,0.00,-6.25,9 868.73
2019.09.20 17:59:00,2019.09.20 18:01:00,buy,0.33,1.25071,1.24965,-1.57,0.00,-36.55,9 832.18
2019.09.27 17:59:00,2019.09.27 18:01:00,buy,0.36,1.23145,1.23105,-1.71,0.00,-16.11,9 816.07
2019.10.01 17:59:00,2019.10.01 18:01:00,sell,0.38,1.22212,1.22225,-1.78,0.00,-6.72,9 809.35
2019.10.11 17:59:00,2019.10.11 18:01:00,buy,0.25,1.26833,1.26866,-1.19,0.00,7.06,9 816.41
2019.10.14 17:59:00,2019.10.14 18:01:00,sell,0.25,1.25770,1.25869,-1.18,0.00,-25.93,9 790.48
2019.10.15 17:59:00,2019.10.15 18:01:00,sell,0.27,1.27743,1.27798,-1.28,0.00,-16.13,9 774.35
2019.11.18 17:59:00,2019.11.18 18:01:00,buy,0.46,1.29658,1.29665,-2.19,0.00,1.03,9 775.38
2019.11.26 17:59:00,2019.11.26 18:01:00,sell,0.5,1.28395,1.28399,-2.37,0.00,-4.37,9 771.01
2019.11.29 17:59:00,2019.11.29 18:01:00,buy,0.48,1.29350,1.29362,-2.27,0.00,3.49,9 774.50
2019.12.03 17:59:00,2019.12.03 18:01:00,buy,0.42,1.29942,1.29967,-2.01,0.00,8.49,9 782.99
2019.12.12 17:59:00,2019.12.12 18:01:00,sell,0.39,1.31179,1.31234,-1.88,0.00,-23.33,9 759.66
2019.12.18 17:59:00,2019.12.18 18:01:00,sell,0.38,1.30668,1.30749,-1.83,0.00,-32.61,9 727.05
2020.01.07 17:59:00,2020.01.07 18:01:00,buy,0.42,1.31226,1.31194,-2.02,0.00,-15.46,9 711.59
2020.01.20 17:59:00,2020.01.20 18:01:00,buy,0.4,1.29986,1.29978,-1.92,0.00,-5.12,9 706.47
2020.01.23 17:59:00,2020.01.23 18:00:37,buy,0.52,1.31206,1.31113,-2.49,0.00,-50.85,9 655.62
2020.02.06 17:59:00,2020.02.06 18:01:00,buy,0.53,1.29321,1.29313,-2.50,0.00,-6.74,9 648.88
2020.03.02 17:59:00,2020.03.02 18:01:00,sell,0.46,1.27448,1.27459,-2.10,0.00,-7.16,9 641.72
2020.03.17 17:59:00,2020.03.17 18:01:00,buy,0.28,1.20487,1.20485,-1.17,0.00,-1.73,9 639.99
2020.03.18 17:59:00,2020.03.18 18:01:00,sell,0.3,1.17834,1.17900,-1.23,0.00,-21.03,9 618.96
2020.03.23 17:59:00,2020.03.23 18:01:00,sell,0.21,1.16135,1.16161,-0.85,0.00,-6.31,9 612.65
2020.03.26 17:59:00,2020.03.26 17:59:39,buy,0.26,1.20431,1.20616,-1.10,0.00,47.00,9 659.65
2020.03.30 17:59:00,2020.03.30 18:01:00,sell,0.21,1.24089,1.24179,-0.90,0.00,-19.80,9 639.85
2020.03.31 17:59:00,2020.03.31 18:01:00,sell,0.18,1.24038,1.23896,-0.77,0.00,24.79,9 664.64
2020.04.30 17:59:00,2020.04.30 18:01:00,buy,0.2,1.26093,1.26157,-0.92,0.00,11.88,9 676.52
2020.06.12 17:59:00,2020.06.12 18:01:00,sell,0.24,1.25392,1.25423,-1.15,0.00,-8.59,9 667.93
2020.06.16 17:59:00,2020.06.16 18:01:00,buy,0.35,1.25709,1.25641,-1.68,0.00,-25.48,9 642.45
2020.06.22 17:59:00,2020.06.22 18:01:00,buy,0.29,1.24461,1.24491,-1.40,0.00,7.30,9 649.75
2020.07.28 17:59:00,2020.07.28 18:01:00,buy,0.49,1.29434,1.29458,-2.46,0.00,9.30,9 659.05
2020.07.29 17:59:00,2020.07.29 18:00:30,buy,0.66,1.29679,1.29606,-3.31,0.00,-51.49,9 607.56
2020.07.31 17:59:00,2020.07.31 17:59:41,sell,0.55,1.31207,1.31295,-2.76,0.00,-51.16,9 556.40
2020.08.12 17:59:00,2020.08.12 18:01:00,buy,0.37,1.30574,1.30501,-1.86,0.00,-28.87,9 527.53
2020.08.21 17:59:00,2020.08.21 18:01:00,sell,0.33,1.30743,1.30740,-1.65,0.00,-0.66,9 526.87
2020.09.10 17:59:00,2020.09.10 18:01:00,sell,0.2,1.28613,1.28625,-1.02,0.00,-3.42,9 523.45
2020.09.30 17:59:00,2020.09.30 18:00:43,buy,0.32,1.29315,1.29160,-1.61,0.00,-51.21,9 472.24
2020.11.06 17:59:00,2020.11.06 17:59:38,sell,0.52,1.31364,1.31455,-2.65,0.00,-49.97,9 422.27
2020.11.09 17:59:00,2020.11.09 18:01:00,buy,0.26,1.31497,1.31478,-1.33,0.00,-6.27,9 416.00
2020.11.23 17:59:00,2020.11.23 18:01:00,sell,0.29,1.32964,1.32986,-1.48,0.00,-7.86,9 408.14
2020.11.30 17:59:00,2020.11.30 18:01:00,buy,0.39,1.33518,1.33463,-2.01,0.00,-23.46,9 384.68
2020.12.08 17:59:00,2020.12.08 18:01:00,buy,0.26,1.33625,1.33702,-1.35,0.00,18.67,9 403.35
2020.12.10 17:59:00,2020.12.10 18:01:00,sell,0.22,1.32717,1.32715,-1.16,0.00,-0.72,9 402.63
2020.12.22 17:59:00,2020.12.22 18:01:00,sell,0.16,1.33129,1.33217,-0.84,0.00,-14.92,9 387.71
2020.12.31 17:59:00,2020.12.31 18:01:00,buy,0.2,1.36687,1.36687,-1.08,0.00,-1.08,9 386.63
2021.02.10 17:59:00,2021.02.10 18:01:00,buy,0.79,1.38445,1.38450,-4.28,0.00,-0.33,9 386.30
2021.02.16 17:59:00,2021.02.16 18:01:00,buy,0.18,1.39301,1.39302,-0.98,0.00,-0.80,9 385.50
2021.02.25 17:59:00,2021.02.25 18:01:00,sell,0.45,1.41335,1.41324,-2.51,0.00,2.44,9 387.94
2021.03.02 17:59:00,2021.03.02 18:01:00,buy,0.42,1.39492,1.39515,-2.30,0.00,7.36,9 395.30
2021.03.03 17:59:00,2021.03.03 18:01:00,buy,0.4,1.39720,1.39759,-2.18,0.00,13.42,9 408.72
2021.03.31 17:59:00,2021.03.31 18:01:00,sell,0.37,1.37951,1.37947,-1.97,0.00,-0.49,9 408.23
2021.04.08 17:59:00,2021.04.08 18:00:25,sell,0.54,1.37256,1.37343,-2.89,0.00,-49.87,9 358.36
2021.04.23 17:59:00,2021.04.23 18:01:00,sell,0.58,1.38387,1.38366,-3.14,0.00,9.04,9 367.40
2021.05.26 17:59:00,2021.05.26 18:01:00,sell,0.38,1.41246,1.41244,-2.06,0.00,-1.30,9 366.10
2021.05.28 17:59:00,2021.05.28 18:01:00,buy,0.38,1.41788,1.41775,-2.05,0.00,-6.99,9 359.11
2021.05.31 17:59:00,2021.05.31 18:01:00,buy,0.29,1.42137,1.42137,-1.57,0.00,-1.57,9 357.54
2021.06.28 17:59:00,2021.06.28 18:01:00,sell,0.38,1.38846,1.38918,-2.01,0.00,-29.37,9 328.17
2021.06.30 17:59:00,2021.06.30 18:01:00,sell,0.44,1.38106,1.38136,-2.31,0.00,-15.51,9 312.66
