open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2018.01.18 17:59:00,2018.01.18 18:01:00,sell,0.97,110.945,110.956,0.00,0.00,-9.62,9 990.38
2018.01.31 17:59:00,2018.01.31 18:01:00,buy,0.46,109.147,109.147,0.00,0.00,0.00,9 990.38
2018.02.07 17:59:00,2018.02.07 18:01:00,sell,0.73,109.262,109.267,0.00,0.00,-3.34,9 987.04
2018.02.13 17:59:00,2018.02.13 18:01:00,sell,0.61,107.487,107.462,0.00,0.00,14.19,10 001.23
2018.02.14 17:59:00,2018.02.14 17:59:43,buy,0.66,106.895,106.802,0.00,0.00,-57.47,9 943.76
2018.03.26 17:59:00,2018.03.26 18:01:00,sell,0.85,105.049,105.059,0.00,0.00,-8.09,9 935.67
2018.04.09 17:59:00,2018.04.09 18:01:00,sell,0.89,107.021,107.040,0.00,0.00,-15.80,9 919.87
2018.04.27 17:59:00,2018.04.27 18:01:00,buy,0.55,109.108,109.067,0.00,0.00,-20.68,9 899.19
2018.05.31 17:59:00,2018.05.31 18:01:00,buy,0.38,108.620,108.626,0.00,0.00,2.10,9 901.29
2018.06.08 17:59:00,2018.06.08 18:01:00,sell,0.61,109.346,109.352,0.00,0.00,-3.35,9 897.94
2018.06.28 17:59:00,2018.06.28 18:01:00,buy,0.91,110.381,110.360,0.00,0.00,-17.32,9 880.62
2018.07.12 17:59:00,2018.07.12 18:01:00,sell,1.06,112.417,112.422,0.00,0.00,-4.71,9 875.91
2018.07.20 17:59:00,2018.07.20 18:01:00,buy,0.89,111.852,111.820,0.00,0.00,-25.47,9 850.44
2018.07.25 17:59:00,2018.07.25 18:01:00,sell,0.5,110.947,110.914,0.00,0.00,14.88,9 865.32
2018.08.13 17:59:00,2018.08.13 18:01:00,sell,0.86,110.747,110.746,0.00,0.00,0.78,9 866.10
2018.08.29 17:59:00,2018.08.29 18:01:00,buy,0.41,111.690,111.665,0.00,0.00,-9.18,9 856.92
2018.09.04 17:59:00,2018.09.04 18:01:00,sell,0.79,111.325,111.344,0.00,0.00,-13.48,9 843.44
2018.09.24 17:59:00,2018.09.24 18:01:00,buy,0.71,112.531,112.535,0.00,0.00,2.52,9 845.96
2018.09.26 17:59:00,2018.09.26 18:01:00,buy,0.92,113.040,113.036,0.00,0.00,-3.26,9 842.70
2018.10.10 17:59:00,2018.10.10 18:01:00,sell,1.04,112.706,112.712,0.00,0.00,-5.54,9 837.16
2018.10.16 17:59:00,2018.10.16 18:01:00,buy,1,112.222,112.228,0.00,0.00,5.35,9 842.51
2018.11.19 17:59:00,2018.11.19 18:01:00,buy,1.06,112.577,112.571,0.00,0.00,-5.65,9 836.86
2018.11.26 17:59:00,2018.11.26 18:01:00,buy,0.95,113.600,113.582,0.00,0.00,-15.06,9 821.80
2018.12.03 17:59:00,2018.12.03 18:01:00,buy,0.89,113.590,113.606,0.00,0.00,12.53,9 834.33
2019.01.16 17:59:00,2019.01.16 18:01:00,buy,0.57,108.856,108.831,0.00,0.00,-13.09,9 821.24
2019.01.31 17:59:00,2019.01.31 18:01:00,buy,0.56,108.832,108.829,0.00,0.00,-1.54,9 819.70
2019.02.06 17:59:00,2019.02.06 18:01:00,buy,0.67,109.840,109.804,0.00,0.00,-21.97,9 797.73
2019.03.05 17:59:00,2019.03.05 18:01:00,sell,0.97,111.867,111.896,0.00,0.00,-25.14,9 772.59
2019.04.05 17:59:00,2019.04.05 18:01:00,buy,1.07,111.753,111.746,0.00,0.00,-6.70,9 765.89
2019.04.26 17:59:00,2019.04.26 18:01:00,buy,0.94,111.547,111.549,0.00,0.00,1.69,9 767.58
2019.05.23 17:59:00,2019.05.23 18:01:00,sell,0.72,109.712,109.734,0.00,0.00,-14.43,9 753.15
2019.07.12 17:59:00,2019.07.12 18:01:00,sell,0.7,108.005,108.020,0.00,0.00,-9.72,9 743.43
2019.07.19 17:59:00,2019.07.19 18:01:00,buy,0.9,107.737,107.726,0.00,0.00,-9.19,9 734.24
2019.07.25 17:59:00,2019.07.25 18:01:00,buy,0.9,108.558,108.541,0.00,0.00,-14.10,9 720.14
2019.07.29 17:59:00,2019.07.29 18:01:00,buy,0.65,108.816,108.840,0.00,0.00,14.33,9 734.47
2019.08.27 17:59:00,2019.08.27 18:01:00,sell,0.8,105.917,105.920,0.00,0.00,-2.27,9 732.20
2019.09.12 17:59:00,2019.09.12 18:01:00,buy,0.93,107.888,107.881,0.00,0.00,-6.03,9 726.17
2019.09.20 17:59:00,2019.09.20 18:01:00,sell,0.86,107.881,107.888,0.00,0.00,-5.58,9 720.59
2019.10.04 17:59:00,2019.10.04 18:01:00,sell,1.02,106.872,106.913,0.00,0.00,-39.12,9 681.47
2019.10.15 17:59:00,2019.10.15 18:01:00,buy,0.43,108.803,108.826,0.00,0.00,9.09,9 690.56
2019.11.18 17:59:00,2019.11.18 18:01:00,sell,0.75,108.544,108.563,0.00,0.00,-13.13,9 677.43
2019.12.12 17:59:00,2019.12.12 18:01:00,buy,0.61,109.298,109.278,0.00,0.00,-11.16,9 666.27
2020.01.17 17:59:00,2020.01.17 18:01:00,buy,0.66,110.174,110.178,0.00,0.00,2.40,9 668.67
2020.01.31 17:59:00,2020.01.31 18:01:00,sell,0.41,108.380,108.388,0.00,0.00,-3.03,9 665.64
2020.02.21 17:59:00,2020.02.21 18:01:00,buy,0.81,111.722,111.687,0.00,0.00,-25.38,9 640.26
2020.02.24 17:59:00,2020.02.24 18:01:00,buy,0.81,110.658,110.652,0.00,0.00,-4.39,9 635.87
2020.02.27 17:59:00,2020.02.27 18:01:00,buy,0.62,109.977,109.991,0.00,0.00,7.89,9 643.76
2020.02.28 17:59:00,2020.02.28 18:00:15,sell,0.34,107.841,107.998,0.00,0.00,-49.43,9 594.33
2020.03.06 17:59:00,2020.03.06 18:01:00,sell,0.5,105.301,105.355,0.00,0.00,-25.63,9 568.70
2020.03.18 17:59:00,2020.03.18 18:01:00,buy,0.44,108.084,108.037,0.00,0.00,-19.14,9 549.56
2020.03.30 17:59:00,2020.03.30 18:01:00,buy,0.44,108.088,108.067,0.00,0.00,-8.55,9 541.01
2020.03.31 17:59:00,2020.03.31 18:00:15,buy,0.47,107.989,107.869,0.00,0.00,-52.29,9 488.72
2020.04.01 17:59:00,2020.04.01 18:01:00,sell,0.43,107.080,107.137,0.00,0.00,-22.88,9 465.84
2020.05.27 17:59:00,2020.05.27 18:01:00,buy,0.65,107.831,107.832,0.00,0.00,0.60,9 466.44
2020.06.09 17:59:00,2020.06.09 18:01:00,sell,0.44,107.709,107.695,0.00,0.00,5.72,9 472.16
2020.06.15 17:59:00,2020.06.15 18:01:00,buy,0.83,107.398,107.410,0.00,0.00,9.27,9 481.43
2020.06.23 17:59:00,2020.06.23 18:01:00,buy,0.64,106.251,106.233,0.00,0.00,-10.84,9 470.59
2020.06.26 17:59:00,2020.06.26 18:01:00,buy,0.73,107.347,107.320,0.00,0.00,-18.37,9 452.22
2020.06.29 17:59:00,2020.06.29 18:01:00,sell,0.58,107.696,107.715,0.00,0.00,-10.23,9 441.99
2020.06.30 17:59:00,2020.06.30 18:01:00,buy,0.39,107.897,107.898,0.00,0.00,0.36,9 442.35
2020.07.20 17:59:00,2020.07.20 18:01:00,buy,0.63,107.207,107.180,0.00,0.00,-15.87,9 426.48
2020.07.31 17:59:00,2020.07.31 18:01:00,buy,0.26,105.739,105.744,0.00,0.00,1.23,9 427.71
2020.08.28 17:59:00,2020.08.28 18:01:00,buy,0.8,105.331,105.295,0.00,0.00,-27.35,9 400.36
2020.09.17 17:59:00,2020.09.17 18:01:00,buy,0.97,104.717,104.704,0.00,0.00,-12.04,9 388.32
2020.09.29 17:59:00,2020.09.29 18:01:00,buy,0.96,105.698,105.679,0.00,0.00,-17.26,9 371.06
2020.09.30 17:59:00,2020.09.30 18:01:00,sell,0.93,105.523,105.527,0.00,0.00,-3.53,9 367.53
2020.10.16 17:59:00,2020.10.16 18:01:00,buy,0.68,105.405,105.419,0.00,0.00,9.03,9 376.56
2020.11.03 17:59:00,2020.11.03 18:01:00,buy,0.73,104.564,104.577,0.00,0.00,9.07,9 385.63
2020.11.10 17:59:00,2020.11.10 18:01:00,sell,0.54,105.198,105.199,0.00,0.00,-0.51,9 385.12
2020.11.23 17:59:00,2020.11.23 18:01:00,buy,0.54,104.466,104.460,0.00,0.00,-3.10,9 382.02
2020.11.25 17:59:00,2020.11.25 18:01:00,buy,0.62,104.429,104.389,0.00,0.00,-23.76,9 358.26
2020.12.02 17:59:00,2020.12.02 18:01:00,buy,0.82,104.602,104.567,0.00,0.00,-27.45,9 330.81
2021.01.08 17:59:00,2021.01.08 18:01:00,sell,0.52,103.786,103.772,0.00,0.00,7.02,9 337.83
2021.02.16 17:59:00,2021.02.16 18:01:00,sell,0.71,105.688,105.722,0.00,0.00,-22.83,9 315.00
2021.02.24 17:59:00,2021.02.24 18:01:00,sell,0.63,105.957,105.931,0.00,0.00,15.46,9 330.46
2021.02.25 17:59:00,2021.02.25 18:01:00,buy,0.61,106.272,106.270,0.00,0.00,-1.15,9 329.31
2021.03.31 17:59:00,2021.03.31 18:00:15,sell,0.84,110.481,110.541,0.00,0.00,-45.59,9 283.72
