open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2017.07.25 03:45:00,2017.07.25 04:20:00,sell,0.27,129.497,129.520,-1.50,0.00,-7.08,9 992.92
2017.08.10 03:45:00,2017.08.10 04:20:00,sell,0.27,129.452,129.500,-1.49,0.00,-13.26,9 979.66
2017.08.15 03:45:00,2017.08.15 04:20:00,sell,0.27,129.789,129.866,-1.49,0.00,-20.36,9 959.30
2017.08.25 03:45:00,2017.08.25 03:53:42,sell,0.27,129.242,129.445,-1.49,0.00,-51.45,9 907.85
2017.08.30 03:45:00,2017.08.30 04:20:00,sell,0.27,131.544,131.440,-1.50,0.00,24.08,9 931.93
2017.09.05 03:45:00,2017.09.05 04:20:00,sell,0.27,130.527,130.365,-1.50,0.00,38.43,9 970.36
2017.09.15 03:45:00,2017.09.15 04:20:00,sell,0.27,131.237,131.204,-1.51,0.00,6.57,9 976.93
2017.09.20 03:45:00,2017.09.20 04:20:00,sell,0.27,133.811,133.807,-1.51,0.00,-0.54,9 976.39
2017.09.25 03:45:00,2017.09.25 04:20:00,sell,0.28,134.180,134.005,-1.56,0.00,42.05,10 018.44
2017.10.05 03:45:00,2017.10.05 04:20:00,sell,0.28,132.649,132.546,-1.54,0.00,24.03,10 042.47
2017.10.10 03:45:00,2017.10.10 04:20:00,sell,0.28,132.494,132.596,-1.52,0.00,-26.86,10 015.61
2017.10.20 03:45:00,2017.10.20 04:20:00,sell,0.28,133.469,133.582,-1.54,0.00,-29.60,9 986.01
2017.10.25 03:45:00,2017.10.25 04:20:00,sell,0.28,133.833,133.822,-1.52,0.00,1.19,9 987.20
2017.10.30 03:45:00,2017.10.30 04:20:00,sell,0.28,132.003,131.956,-1.50,0.00,10.07,9 997.27
2017.11.10 02:45:00,2017.11.10 03:20:00,sell,0.28,132.000,132.142,-1.50,0.00,-36.55,9 960.72
2017.11.15 02:45:00,2017.11.15 03:20:00,sell,0.28,133.742,133.647,-1.49,0.00,21.98,9 982.70
2017.11.20 02:45:00,2017.11.20 03:20:00,sell,0.27,131.661,131.683,-1.43,0.00,-6.73,9 975.97
2017.11.30 02:45:00,2017.11.30 03:20:00,sell,0.27,132.872,132.860,-1.43,0.00,1.46,9 977.43
2017.12.05 02:45:00,2017.12.05 03:20:00,sell,0.28,133.535,133.475,-1.49,0.00,13.45,9 990.88
2017.12.15 02:45:00,2017.12.15 03:20:00,sell,0.28,132.370,132.313,-1.50,0.00,12.72,10 003.60
2017.12.20 02:45:00,2017.12.20 03:20:00,sell,0.28,133.790,133.777,-1.50,0.00,1.72,10 005.32
2018.01.05 02:45:00,2018.01.05 03:20:00,sell,0.28,136.181,136.151,-1.54,0.00,5.91,10 011.23
2018.01.10 02:45:00,2018.01.10 03:20:00,sell,0.28,134.361,134.128,-1.53,0.00,56.52,10 067.75
2018.01.15 02:45:00,2018.01.15 03:20:00,sell,0.27,135.129,135.139,-1.50,0.00,-3.94,10 063.81
2018.01.25 02:45:00,2018.01.25 03:20:00,sell,0.27,135.534,135.546,-1.52,0.00,-4.48,10 059.33
2018.01.30 02:45:00,2018.01.30 03:20:00,sell,0.27,134.873,134.754,-1.53,0.00,27.98,10 087.31
2018.02.05 02:45:00,2018.02.05 03:20:00,sell,0.27,136.808,136.778,-1.50,0.00,5.88,10 093.19
2018.02.15 02:45:00,2018.02.15 03:12:34,sell,0.26,132.890,133.090,-1.44,0.00,-50.11,10 043.08
2018.02.20 02:45:00,2018.02.20 03:20:00,sell,0.26,132.453,132.242,-1.44,0.00,49.99,10 093.07
2018.02.28 02:45:00,2018.02.28 03:20:00,sell,0.27,131.440,131.086,-1.47,0.00,87.71,10 180.78
2018.03.05 03:45:00,2018.03.05 04:20:00,sell,0.26,130.167,130.012,-1.41,0.00,36.79,10 217.57
2018.03.15 03:45:00,2018.03.15 04:20:00,sell,0.27,131.115,131.086,-1.49,0.00,5.90,10 223.47
2018.03.20 03:45:00,2018.03.20 04:20:00,sell,0.27,130.954,130.902,-1.46,0.00,11.78,10 235.25
2018.03.30 03:45:00,2018.03.30 04:20:00,sell,0.27,130.909,130.856,-1.45,0.00,12.01,10 247.26
2018.04.05 03:45:00,2018.04.05 04:20:00,sell,0.27,131.155,131.225,-1.46,0.00,-19.15,10 228.11
2018.04.10 03:45:00,2018.04.10 04:20:00,sell,0.27,131.519,131.606,-1.45,0.00,-23.45,10 204.66
2018.04.20 03:45:00,2018.04.20 04:20:00,sell,0.27,132.677,132.680,-1.46,0.00,-2.21,10 202.45
2018.04.25 03:45:00,2018.04.25 04:20:00,sell,0.27,133.200,133.255,-1.44,0.00,-15.06,10 187.39
2018.04.30 03:45:00,2018.04.30 04:20:00,sell,0.27,132.292,132.266,-1.43,0.00,5.00,10 192.39
2018.05.10 03:45:00,2018.05.10 04:20:00,sell,0.27,130.148,130.133,-1.41,0.00,2.28,10 194.67
2018.05.15 03:45:00,2018.05.15 04:20:00,sell,0.27,130.933,130.980,-1.42,0.00,-12.98,10 181.69
2018.05.25 03:45:00,2018.05.25 04:20:00,sell,0.27,128.323,128.299,-1.43,0.00,4.48,10 186.17
2018.05.30 03:45:00,2018.05.30 04:20:00,sell,0.27,125.149,125.140,-1.42,0.00,0.82,10 186.99
2018.06.05 03:45:00,2018.06.05 04:20:00,sell,0.27,128.495,128.420,-1.44,0.00,16.99,10 203.98
2018.06.15 03:45:00,2018.06.15 04:20:00,sell,0.28,127.864,127.756,-1.46,0.00,25.91,10 229.89
2018.06.20 03:45:00,2018.06.20 04:20:00,sell,0.28,127.393,127.284,-1.45,0.00,26.32,10 256.21
2018.06.25 03:45:00,2018.06.25 04:20:00,sell,0.28,127.833,127.610,-1.46,0.00,55.54,10 311.75
