metric,value
Total Net Profit,1 077.85
Balance Drawdown Absolute,93.65
Equity Drawdown Absolute,116.99
Balance Drawdown Maximal,177.81 (1.59%)
Equity Drawdown Maximal,211.23 (1.88%)
Balance Drawdown Relative,1.59% (177.81)
Equity Drawdown Relative,1.88% (211.23)
Profit Factor,1.42
Expected Payoff,3.96
Recovery Factor,5.10
Sharpe Ratio,13.86
Total Trades,272
Short Trades (won %),272 (60.29%)
Long Trades (won %),0 (0.00%)
Total Deals,544
Profit Trades (% of total),164 (60.29%)
Loss Trades (% of total),108 (39.71%)
Largest profit trade,164.89
Largest loss trade,-57.90
Average profit trade,22.35
Average loss trade,-20.25
Maximum consecutive wins ($),9 (183.75)
Maximum consecutive losses ($),6 (-140.53)
Maximal consecutive profit (count),233.75 (7)
Maximal consecutive loss (count),-140.53 (6)
Average consecutive wins,3
Average consecutive losses,2
