open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2017.07.25 03:45:00,2017.07.25 04:20:00,sell,0.27,144.895,144.907,-1.50,0.00,-4.41,9 995.59
2017.08.10 03:45:00,2017.08.10 04:20:00,sell,0.27,143.279,143.285,-1.49,0.00,-2.96,9 992.63
2017.08.15 03:45:00,2017.08.15 04:20:00,sell,0.27,142.782,142.803,-1.49,0.00,-6.64,9 985.99
2017.08.25 03:45:00,2017.08.25 03:53:21,sell,0.27,140.210,140.423,-1.49,0.00,-53.93,9 932.06
2017.08.30 03:45:00,2017.08.30 04:20:00,sell,0.27,141.917,141.855,-1.50,0.00,13.75,9 945.81
2017.09.05 03:45:00,2017.09.05 04:20:00,sell,0.27,141.824,141.584,-1.50,0.00,57.65,10 003.46
2017.09.15 03:45:00,2017.09.15 04:20:00,sell,0.27,147.450,147.567,-1.51,0.00,-30.17,9 973.29
2017.09.20 03:45:00,2017.09.20 04:20:00,sell,0.27,150.879,150.829,-1.51,0.00,10.59,9 983.88
2017.09.25 03:45:00,2017.09.25 04:20:00,sell,0.28,152.082,151.977,-1.56,0.00,24.60,10 008.48
2017.10.05 03:45:00,2017.10.05 04:20:00,sell,0.28,149.340,149.206,-1.54,0.00,31.73,10 040.21
2017.10.10 03:45:00,2017.10.10 04:20:00,sell,0.28,148.288,148.309,-1.52,0.00,-6.74,10 033.47
2017.10.20 03:45:00,2017.10.20 04:20:00,sell,0.28,148.136,148.266,-1.54,0.00,-33.82,9 999.65
2017.10.25 03:45:00,2017.10.25 04:20:00,sell,0.28,149.411,149.423,-1.52,0.00,-4.47,9 995.18
2017.10.30 03:45:00,2017.10.30 04:20:00,sell,0.28,149.457,149.367,-1.50,0.00,20.66,10 015.84
2017.11.10 02:45:00,2017.11.10 03:17:39,sell,0.28,148.905,149.105,-1.50,0.00,-50.87,9 964.97
2017.11.15 02:45:00,2017.11.15 03:20:00,sell,0.28,149.251,148.973,-1.49,0.00,67.20,10 032.17
2017.11.20 02:45:00,2017.11.20 03:20:00,sell,0.28,148.014,147.992,-1.48,0.00,4.01,10 036.18
2017.11.30 02:45:00,2017.11.30 03:20:00,sell,0.28,150.342,150.433,-1.48,0.00,-24.21,10 011.97
2017.12.05 02:45:00,2017.12.05 03:20:00,sell,0.28,151.580,151.463,-1.49,0.00,27.65,10 039.62
2017.12.15 02:45:00,2017.12.15 03:20:00,sell,0.28,150.924,150.800,-1.50,0.00,29.43,10 069.05
2017.12.20 02:45:00,2017.12.20 03:20:00,sell,0.28,151.291,151.260,-1.50,0.00,6.19,10 075.24
2018.01.05 02:45:00,2018.01.05 03:20:00,sell,0.28,152.881,152.904,-1.54,0.00,-7.25,10 067.99
2018.01.10 02:45:00,2018.01.10 03:20:00,sell,0.28,152.353,152.041,-1.53,0.00,76.20,10 144.19
2018.01.15 02:45:00,2018.01.15 03:20:00,sell,0.28,152.228,152.196,-1.55,0.00,6.54,10 150.73
2018.01.25 02:45:00,2018.01.25 02:55:15,sell,0.27,155.534,155.738,-1.52,0.00,-51.84,10 098.89
2018.01.30 02:45:00,2018.01.30 03:20:00,sell,0.27,153.303,153.074,-1.53,0.00,55.26,10 154.15
2018.02.05 02:45:00,2018.02.05 03:20:00,sell,0.27,155.105,154.976,-1.50,0.00,30.21,10 184.36
2018.02.15 02:45:00,2018.02.15 03:07:38,sell,0.27,149.424,149.624,-1.50,0.00,-52.07,10 132.29
2018.02.20 02:45:00,2018.02.20 03:20:00,sell,0.27,149.447,149.213,-1.50,0.00,57.73,10 190.02
2018.02.28 02:45:00,2018.02.28 03:20:00,sell,0.27,149.433,149.018,-1.47,0.00,103.08,10 293.10
2018.03.05 03:45:00,2018.03.05 04:20:00,sell,0.27,145.647,145.455,-1.47,0.00,47.67,10 340.77
2018.03.15 03:45:00,2018.03.15 04:20:00,sell,0.27,148.021,147.929,-1.49,0.00,21.97,10 362.74
2018.03.20 03:45:00,2018.03.20 04:20:00,sell,0.27,148.869,148.852,-1.46,0.00,2.87,10 365.61
2018.03.30 03:45:00,2018.03.30 04:20:00,sell,0.27,149.249,149.047,-1.45,0.00,49.85,10 415.46
