open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2019.01.10 02:45:00,2019.01.10 03:20:00,sell,0.27,124.980,124.695,-1.36,0.00,69.92,10 069.92
2019.01.15 02:45:00,2019.01.15 03:20:00,sell,0.27,124.359,124.390,-1.36,0.00,-9.08,10 060.84
2019.01.25 02:45:00,2019.01.25 03:20:00,sell,0.27,124.002,124.057,-1.34,0.00,-14.88,10 045.96
2019.01.30 02:45:00,2019.01.30 03:20:00,sell,0.27,125.105,125.065,-1.36,0.00,8.51,10 054.47
2019.02.05 02:45:00,2019.02.05 03:20:00,sell,0.27,125.768,125.789,-1.36,0.00,-6.51,10 047.96
2019.02.15 02:45:00,2019.02.15 03:20:00,sell,0.27,124.682,124.648,-1.34,0.00,6.97,10 054.93
2019.02.20 02:45:00,2019.02.20 03:11:05,sell,0.27,125.542,125.743,-1.35,0.00,-50.33,10 004.60
2019.02.25 02:45:00,2019.02.25 03:20:00,sell,0.27,125.761,125.673,-1.35,0.00,20.10,10 024.70
2019.02.28 02:45:00,2019.02.28 03:20:00,sell,0.27,126.190,126.089,-1.35,0.00,23.24,10 047.94
2019.03.05 03:45:00,2019.03.05 04:20:00,sell,0.28,126.836,126.743,-1.39,0.00,21.89,10 069.83
2019.03.15 03:45:00,2019.03.15 04:20:00,sell,0.28,126.472,126.482,-1.39,0.00,-3.89,10 065.94
2019.03.20 03:45:00,2019.03.20 04:20:00,sell,0.28,126.593,126.717,-1.39,0.00,-32.49,10 033.45
2019.03.25 03:45:00,2019.03.25 04:20:00,sell,0.27,124.164,124.001,-1.34,0.00,38.75,10 072.20
2019.04.05 03:45:00,2019.04.05 04:20:00,sell,0.28,125.456,125.366,-1.39,0.00,21.17,10 093.37
2019.04.10 03:45:00,2019.04.10 04:20:00,sell,0.28,125.203,125.210,-1.40,0.00,-3.16,10 090.21
2019.04.15 03:45:00,2019.04.15 04:20:00,sell,0.28,126.629,126.565,-1.41,0.00,14.59,10 104.80
2019.04.25 03:45:00,2019.04.25 04:20:00,sell,0.28,125.199,125.024,-1.37,0.00,42.35,10 147.15
2019.04.30 03:45:00,2019.04.30 04:20:00,sell,0.28,124.955,124.847,-1.38,0.00,25.72,10 172.87
2019.05.10 03:45:00,2019.05.10 04:20:00,sell,0.27,123.377,123.389,-1.32,0.00,-4.27,10 168.60
2019.05.15 03:45:00,2019.05.15 04:20:00,sell,0.27,122.743,122.785,-1.31,0.00,-11.66,10 156.94
2019.05.20 03:45:00,2019.05.20 04:03:32,sell,0.27,122.986,123.186,-1.31,0.00,-50.26,10 106.68
2019.05.30 03:45:00,2019.05.30 04:20:00,sell,0.27,122.066,122.085,-1.31,0.00,-5.99,10 100.69
2019.06.05 03:45:00,2019.06.05 04:20:00,sell,0.27,121.769,121.744,-1.32,0.00,4.92,10 105.61
2019.06.10 03:45:00,2019.06.10 04:20:00,sell,0.27,122.770,122.739,-1.32,0.00,6.40,10 112.01
2019.06.20 03:45:00,2019.06.20 04:20:00,sell,0.27,121.258,121.185,-1.30,0.00,17.01,10 129.02
2019.06.25 03:45:00,2019.06.25 04:20:00,sell,0.27,122.400,122.243,-1.32,0.00,38.22,10 167.24
2019.07.05 03:45:00,2019.07.05 04:20:00,sell,0.27,121.676,121.698,-1.33,0.00,-6.84,10 160.40
2019.07.10 03:45:00,2019.07.10 04:20:00,sell,0.27,122.076,122.071,-1.31,0.00,-0.07,10 160.33
2019.07.15 03:45:00,2019.07.15 04:20:00,sell,0.27,121.548,121.568,-1.33,0.00,-6.34,10 153.99
2019.07.25 03:45:00,2019.07.25 04:20:00,sell,0.27,120.518,120.471,-1.32,0.00,10.41,10 164.40
2019.07.30 03:45:00,2019.07.30 04:20:00,sell,0.27,121.297,121.156,-1.30,0.00,33.70,10 198.10
2019.08.05 03:45:00,2019.08.05 04:20:00,sell,0.27,118.351,118.001,-1.29,0.00,87.82,10 285.92
