metric,value
Total Net Profit,75.24
Balance Drawdown Absolute,69.44
Equity Drawdown Absolute,99.66
Balance Drawdown Maximal,76.73 (0.76%)
Equity Drawdown Maximal,120.49 (1.20%)
Balance Drawdown Relative,0.76% (76.73)
Equity Drawdown Relative,1.20% (120.49)
Profit Factor,1.32
Expected Payoff,3.58
Recovery Factor,0.62
Sharpe Ratio,9.18
Total Trades,21
Short Trades (won %),21 (52.38%)
Long Trades (won %),0 (0.00%)
Total Deals,42
Profit Trades (% of total),11 (52.38%)
Loss Trades (% of total),10 (47.62%)
Largest profit trade,68.69
Largest loss trade,-52.44
Average profit trade,28.18
Average loss trade,-20.32
Maximum consecutive wins ($),3 (71.53)
Maximum consecutive losses ($),4 (-61.97)
Maximal consecutive profit (count),74.40 (2)
Maximal consecutive loss (count),-61.97 (4)
Average consecutive wins,2
Average consecutive losses,2
