open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2019.01.10 02:45:00,2019.01.10 03:20:00,sell,0.27,138.383,138.071,-1.36,0.00,76.68,10 076.68
2019.01.15 02:45:00,2019.01.15 03:20:00,sell,0.27,139.586,139.708,-1.36,0.00,-31.75,10 044.93
2019.01.25 02:45:00,2019.01.25 03:20:00,sell,0.27,143.675,143.710,-1.34,0.00,-9.96,10 034.97
2019.01.30 02:45:00,2019.01.30 03:20:00,sell,0.27,143.125,143.154,-1.36,0.00,-8.52,10 026.45
2019.02.05 02:45:00,2019.02.05 03:20:00,sell,0.27,143.361,143.394,-1.36,0.00,-9.46,10 016.99
2019.02.15 02:45:00,2019.02.15 03:20:00,sell,0.27,141.267,141.240,-1.34,0.00,5.26,10 022.25
2019.02.20 02:45:00,2019.02.20 03:10:59,sell,0.27,144.530,144.730,-1.35,0.00,-50.09,9 972.16
2019.02.25 02:45:00,2019.02.25 03:20:00,sell,0.27,144.838,144.737,-1.35,0.00,23.27,9 995.43
2019.02.28 02:45:00,2019.02.28 03:20:00,sell,0.27,147.699,147.581,-1.35,0.00,27.38,10 022.81
2019.03.05 03:45:00,2019.03.05 04:20:00,sell,0.28,147.406,147.310,-1.39,0.00,22.65,10 045.46
2019.03.15 03:45:00,2019.03.15 04:20:00,sell,0.28,148.159,148.054,-1.39,0.00,24.89,10 070.35
2019.03.20 03:45:00,2019.03.20 04:20:00,sell,0.28,147.878,148.031,-1.39,0.00,-39.76,10 030.59
2019.03.25 03:45:00,2019.03.25 04:20:00,sell,0.27,145.055,144.818,-1.34,0.00,56.94,10 087.53
2019.04.05 03:45:00,2019.04.05 04:20:00,sell,0.28,146.187,146.067,-1.39,0.00,28.69,10 116.22
2019.04.10 03:45:00,2019.04.10 04:20:00,sell,0.28,145.097,145.135,-1.40,0.00,-10.97,10 105.25
2019.04.15 03:45:00,2019.04.15 04:20:00,sell,0.28,146.628,146.547,-1.41,0.00,18.84,10 124.09
2019.04.25 03:45:00,2019.04.25 04:20:00,sell,0.28,144.832,144.656,-1.37,0.00,42.60,10 166.69
2019.04.30 03:45:00,2019.04.30 04:20:00,sell,0.28,144.461,144.324,-1.38,0.00,32.99,10 199.68
2019.05.10 03:45:00,2019.05.10 04:20:00,sell,0.28,143.006,142.975,-1.37,0.00,6.53,10 206.21
2019.05.15 03:45:00,2019.05.15 04:20:00,sell,0.27,141.430,141.464,-1.31,0.00,-9.69,10 196.52
2019.05.20 03:45:00,2019.05.20 04:03:32,sell,0.28,140.332,140.532,-1.35,0.00,-52.11,10 144.41
2019.05.30 03:45:00,2019.05.30 04:20:00,sell,0.27,138.380,138.349,-1.31,0.00,6.33,10 150.74
2019.06.05 03:45:00,2019.06.05 04:20:00,sell,0.27,137.382,137.338,-1.32,0.00,9.67,10 160.41
2019.06.10 03:45:00,2019.06.10 04:20:00,sell,0.27,137.964,137.967,-1.32,0.00,-2.07,10 158.34
2019.06.20 03:45:00,2019.06.20 04:20:00,sell,0.27,136.542,136.454,-1.30,0.00,20.78,10 179.12
2019.06.25 03:45:00,2019.06.25 04:20:00,sell,0.27,136.775,136.591,-1.32,0.00,45.02,10 224.14
2019.07.05 03:45:00,2019.07.05 04:20:00,sell,0.27,135.665,135.689,-1.33,0.00,-7.34,10 216.80
2019.07.10 03:45:00,2019.07.10 04:20:00,sell,0.27,135.752,135.717,-1.31,0.00,7.36,10 224.16
2019.07.15 03:45:00,2019.07.15 04:20:00,sell,0.27,135.533,135.541,-1.33,0.00,-3.33,10 220.83
2019.07.25 03:45:00,2019.07.25 04:20:00,sell,0.27,135.080,135.028,-1.32,0.00,11.66,10 232.49
2019.07.30 03:45:00,2019.07.30 04:20:00,sell,0.27,132.930,132.685,-1.30,0.00,59.52,10 292.01
2019.08.05 03:45:00,2019.08.05 04:20:00,sell,0.27,129.432,129.110,-1.29,0.00,80.69,10 372.70
2019.08.15 03:45:00,2019.08.15 04:20:00,sell,0.27,127.723,127.750,-1.28,0.00,-8.16,10 364.54
2019.08.20 03:45:00,2019.08.20 04:20:00,sell,0.27,129.286,129.342,-1.28,0.00,-15.47,10 349.07
2019.08.30 03:45:00,2019.08.30 04:20:00,sell,0.27,129.720,129.707,-1.27,0.00,2.03,10 351.10
2019.09.05 03:45:00,2019.09.05 04:20:00,sell,0.27,130.458,130.250,-1.28,0.00,51.51,10 402.61
2019.09.10 03:45:00,2019.09.10 04:20:00,sell,0.27,132.556,132.633,-1.30,0.00,-20.65,10 381.96
2019.09.20 03:45:00,2019.09.20 04:20:00,sell,0.28,135.255,135.195,-1.33,0.00,14.24,10 396.20
2019.09.25 03:45:00,2019.09.25 04:20:00,sell,0.27,133.686,133.708,-1.28,0.00,-6.82,10 389.38
2019.09.30 03:45:00,2019.09.30 04:20:00,sell,0.28,132.689,132.682,-1.33,0.00,0.49,10 389.87
2019.10.10 03:45:00,2019.10.10 04:15:30,sell,0.27,130.969,131.170,-1.27,0.00,-51.80,10 338.07
2019.10.15 03:45:00,2019.10.15 04:20:00,sell,0.28,136.628,136.700,-1.33,0.00,-19.93,10 318.14
2019.10.25 03:45:00,2019.10.25 04:20:00,sell,0.28,139.662,139.608,-1.34,0.00,12.57,10 330.71
2019.10.30 03:45:00,2019.10.30 04:20:00,sell,0.28,139.967,140.095,-1.35,0.00,-34.28,10 296.43
2019.11.05 02:45:00,2019.11.05 03:20:00,sell,0.27,140.117,140.063,-1.30,0.00,12.11,10 308.54
2019.11.15 02:45:00,2019.11.15 03:20:00,sell,0.27,139.845,139.905,-1.28,0.00,-16.20,10 292.34
2019.11.20 02:45:00,2019.11.20 03:20:00,sell,0.27,140.267,140.143,-1.29,0.00,29.56,10 321.90
2019.11.25 02:45:00,2019.11.25 03:20:00,sell,0.28,139.768,139.842,-1.33,0.00,-20.38,10 301.52
2019.12.05 02:45:00,2019.12.05 03:20:00,sell,0.28,142.693,142.779,-1.34,0.00,-23.45,10 278.07
2019.12.10 02:45:00,2019.12.10 03:20:00,sell,0.27,142.796,142.782,-1.29,0.00,2.19,10 280.26
2019.12.20 02:45:00,2019.12.20 03:20:00,sell,0.28,142.260,142.267,-1.35,0.00,-3.14,10 277.12
2019.12.30 02:45:00,2019.12.30 03:20:00,sell,0.28,143.292,143.327,-1.37,0.00,-10.33,10 266.79
