symbol,year,profit_factor,net_profit,max_dd_pct,total_trades,win_rate,expected_payoff,sharpe
USDJPY,2017,1.48,187.40,166.22 (1.65%),46,31 (67.39%),4.07,14.96
USDJPY,2018,1.27,105.79,143.18 (1.40%),51,28 (54.90%),2.07,8.24
USDJPY,2019,1.17,55.76,113.56 (1.12%),50,24 (48.00%),1.12,5.75
USDJPY,2020,1.45,170.13,103.85 (1.02%),50,27 (54.00%),3.40,16.07
USDJPY,2021,1.07,19.60,105.89 (1.06%),51,30 (58.82%),0.38,2.36
USDJPY,2022,2.00,574.24,104.54 (0.99%),50,31 (62.00%),11.48,30.76
EURJPY.r,2017,1.03,5.32,93.65 (0.94%),21,13 (61.90%),0.25,0.83
EURJPY.r,2018,1.65,251.39,147.24 (1.42%),51,36 (70.59%),4.93,16.33
EURJPY.r,2019,1.50,207.54,107.04 (1.04%),52,30 (57.69%),3.99,17.62
EURJPY.r,2020,1.18,84.07,95.45 (0.95%),50,26 (52.00%),1.68,6.82
EURJPY.r,2021,1.51,159.73,75.71 (0.75%),51,31 (60.78%),3.13,16.69
EURJPY.r,2022,1.49,334.53,163.76 (1.57%),47,28 (59.57%),7.12,18.94
GBPJPY.r,2017,1.32,75.24,76.73 (0.76%),21,11 (52.38%),3.58,9.18
GBPJPY.r,2018,1.50,269.48,163.74 (1.58%),51,30 (58.82%),5.28,15.67
GBPJPY.r,2019,1.53,266.79,135.82 (1.31%),52,28 (53.85%),5.13,17.78
GBPJPY.r,2020,1.41,205.19,100.35 (1.00%),50,29 (58.00%),4.10,12.70
GBPJPY.r,2021,1.79,233.06,62.90 (0.63%),51,33 (64.71%),4.57,18.34
GBPJPY.r,2022,1.25,220.40,273.71 (2.62%),47,26 (55.32%),4.69,10.77
