metric,value
Total Net Profit,3 573.55
Balance Drawdown Absolute,355.41
Equity Drawdown Absolute,375.75
Balance Drawdown Maximal,683.11 (4.85%)
Equity Drawdown Maximal,774.07 (5.48%)
Balance Drawdown Relative,6.13% (630.12)
Equity Drawdown Relative,6.36% (653.77)
Profit Factor,1.36
Expected Payoff,3.98
Recovery Factor,4.62
Sharpe Ratio,12.90
Total Trades,898
Short Trades (won %),898 (57.46%)
Long Trades (won %),0 (0.00%)
Total Deals,1796
Profit Trades (% of total),516 (57.46%)
Loss Trades (% of total),382 (42.54%)
Largest profit trade,259.73
Largest loss trade,-75.54
Average profit trade,25.98
Average loss trade,-23.22
Maximum consecutive wins ($),18 (775.30)
Maximum consecutive losses ($),14 (-334.15)
Maximal consecutive profit (count),906.31 (9)
Maximal consecutive loss (count),-406.65 (6)
Average consecutive wins,4
Average consecutive losses,3
