open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2017.01.17 13:00:00,2017.01.17 18:00:00,buy,0.19,1.06799,1.06945,-1.00,0.00,26.74,10 026.74
2017.01.18 13:00:00,2017.01.18 15:00:01,sell,0.36,1.06858,1.06580,-1.90,0.00,98.18,10 124.92
2017.03.02 14:00:00,2017.03.02 16:00:14,sell,0.44,1.05223,1.04990,-2.34,0.00,100.18,10 225.10
2017.03.07 14:00:00,2017.03.07 18:00:00,sell,0.67,1.05746,1.05797,-3.56,0.00,-37.73,10 187.37
2017.03.23 13:00:00,2017.03.23 13:00:21,sell,0.29,1.07712,1.07883,-1.55,0.00,-51.14,10 136.23
2017.05.11 14:00:00,2017.05.11 14:00:10,buy,0.79,1.08705,1.08627,-4.08,0.00,-65.70,10 070.53
2017.05.18 12:00:00,2017.05.18 18:00:00,sell,0.23,1.11272,1.11270,-1.20,0.00,-0.74,10 069.79
2017.06.07 14:00:00,2017.06.07 17:00:10,sell,0.08,1.12121,1.12748,-0.42,0.00,-50.58,10 019.21
2017.06.09 13:00:00,2017.06.09 18:00:00,sell,0.28,1.11728,1.11834,-1.48,0.00,-31.16,9 988.05
2017.06.20 13:00:00,2017.06.20 14:00:14,buy,0.45,1.11597,1.11488,-2.40,0.00,-51.45,9 936.60
2017.06.21 13:00:00,2017.06.21 16:00:20,buy,0.48,1.11447,1.11344,-2.54,0.00,-51.98,9 884.62
2017.06.28 13:00:00,2017.06.28 15:00:03,buy,0.47,1.13611,1.13506,-2.50,0.00,-51.85,9 832.77
2017.07.06 13:00:00,2017.07.06 18:00:00,buy,0.21,1.13644,1.14051,-1.12,0.00,84.35,9 917.12
2017.07.17 14:00:00,2017.07.17 14:00:14,sell,0.56,1.14588,1.14675,-3.07,0.00,-51.79,9 865.33
2017.07.19 14:00:00,2017.07.19 18:00:00,sell,0.32,1.15253,1.15179,-1.78,0.00,21.90,9 887.23
2017.07.20 13:00:00,2017.07.20 13:00:21,sell,0.73,1.15036,1.15103,-4.04,0.00,-52.95,9 834.28
2017.07.26 11:00:00,2017.07.26 13:29:21,sell,0.32,1.16298,1.16455,-1.77,0.00,-52.01,9 782.27
2017.07.27 11:30:00,2017.07.27 11:34:40,sell,0.99,1.17212,1.17262,-5.56,0.00,-55.06,9 727.21
2017.08.01 11:30:00,2017.08.01 17:02:30,sell,0.36,1.18169,1.18304,-2.02,0.00,-50.62,9 676.59
2017.08.24 10:45:00,2017.08.24 11:13:31,sell,0.65,1.17904,1.17978,-3.58,0.00,-51.68,9 624.91
2017.08.25 11:45:00,2017.08.25 12:59:16,sell,0.63,1.17967,1.18043,-3.49,0.00,-51.37,9 573.54
2017.09.01 10:45:00,2017.09.01 11:14:32,sell,0.42,1.18816,1.18931,-2.33,0.00,-50.63,9 522.91
2017.09.04 10:45:00,2017.09.04 11:28:29,buy,0.47,1.18916,1.19118,-2.62,0.00,92.32,9 615.23
2017.09.25 10:45:00,2017.09.25 13:55:42,sell,0.27,1.19061,1.18701,-1.50,0.00,95.70,9 710.93
2017.10.03 11:00:00,2017.10.03 17:05:43,buy,0.33,1.17429,1.17735,-1.80,0.00,99.18,9 810.11
2017.10.05 12:30:00,2017.10.05 13:36:39,buy,0.59,1.17676,1.17593,-3.23,0.00,-52.20,9 757.91
2017.10.11 14:00:00,2017.10.11 16:35:30,buy,0.31,1.18226,1.18532,-1.69,0.00,93.17,9 851.08
2017.10.13 11:15:00,2017.10.13 11:46:41,sell,0.96,1.18284,1.18336,-5.27,0.00,-55.19,9 795.89
2017.10.16 10:45:00,2017.10.16 13:26:29,sell,0.4,1.17866,1.17986,-2.21,0.00,-50.21,9 745.68
2017.10.18 10:45:00,2017.10.18 11:44:31,sell,0.57,1.17633,1.17463,-3.13,0.00,93.77,9 839.45
2017.10.19 12:30:00,2017.10.19 12:58:28,sell,0.5,1.18023,1.18123,-2.75,0.00,-52.75,9 786.70
2017.10.20 11:15:00,2017.10.20 12:59:29,sell,0.95,1.18052,1.18109,-5.21,0.00,-59.36,9 727.34
2017.10.26 12:00:00,2017.10.26 14:45:38,sell,0.58,1.18136,1.17970,-3.12,0.00,93.16,9 820.50
2017.10.27 12:15:00,2017.10.27 12:35:42,sell,1.29,1.16269,1.16310,-6.90,0.00,-59.79,9 760.71
2017.11.06 12:00:00,2017.11.06 12:53:28,sell,0.6,1.16026,1.16107,-3.22,0.00,-51.82,9 708.89
