open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2018.01.08 09:15:00,2018.01.08 10:44:40,buy,0.47,1.20088,1.19871,0.00,0.00,-101.99,9 895.43
2018.01.10 10:30:00,2018.01.10 11:54:40,sell,0.62,1.19507,1.19389,0.00,0.00,73.16,9 965.19
2018.01.12 09:15:00,2018.01.12 10:34:42,sell,0.57,1.20608,1.20785,0.00,0.00,-100.89,9 861.15
2018.01.15 11:15:00,2018.01.15 12:30:32,sell,0.22,1.22450,1.22893,0.00,0.00,-97.46,9 762.46
2018.01.17 09:00:00,2018.01.17 12:02:28,buy,0.29,1.22204,1.22452,0.00,0.00,71.92,9 832.77
2018.01.18 10:15:00,2018.01.18 13:41:38,sell,0.32,1.22138,1.22438,0.00,0.00,-96.00,9 734.98
2018.01.22 10:00:00,2018.01.22 11:13:31,sell,0.57,1.22373,1.22547,0.00,0.00,-99.18,9 632.61
2018.01.24 09:00:00,2018.01.24 10:10:05,buy,0.44,1.23094,1.23261,0.00,0.00,73.48,9 703.62
2018.01.25 08:30:00,2018.01.25 08:49:30,sell,0.42,1.24580,1.24411,0.00,0.00,70.98,9 772.21
2018.01.26 08:15:00,2018.01.26 09:05:41,sell,0.5,1.24353,1.24549,0.00,0.00,-98.00,9 671.39
2018.01.29 09:45:00,2018.01.29 11:03:42,buy,0.58,1.23999,1.24126,0.00,0.00,73.66,9 741.77
2018.01.30 08:30:00,2018.01.30 10:58:21,buy,0.36,1.23561,1.23761,0.00,0.00,72.00,9 811.74
2018.01.31 08:45:00,2018.01.31 10:51:27,sell,0.43,1.24458,1.24289,0.00,0.00,72.67,9 881.98
2018.02.06 09:00:00,2018.02.06 10:09:13,sell,0.38,1.23815,1.24072,0.00,0.00,-97.66,9 782.23
2018.02.08 09:15:00,2018.02.08 09:57:27,sell,0.43,1.22868,1.22701,0.00,0.00,71.81,9 851.68
2018.02.12 10:00:00,2018.02.12 15:21:30,buy,0.51,1.22697,1.22503,0.00,0.00,-98.94,9 749.95
2018.02.13 08:30:00,2018.02.13 12:55:40,sell,0.4,1.23227,1.23468,0.00,0.00,-96.40,9 651.35
2018.02.14 09:45:00,2018.02.14 10:04:31,buy,0.5,1.23675,1.23818,0.00,0.00,71.50,9 720.09
2018.02.16 10:00:00,2018.02.16 12:23:29,buy,0.46,1.25294,1.25083,0.00,0.00,-97.06,9 620.46
2018.02.19 09:30:00,2018.02.19 10:00:30,buy,0.48,1.23986,1.24135,0.00,0.00,71.52,9 689.32
2018.02.20 09:15:00,2018.02.20 09:33:41,buy,0.57,1.23746,1.23573,0.00,0.00,-98.61,9 587.55
2018.02.21 10:30:00,2018.02.21 11:53:29,buy,0.53,1.23125,1.23260,0.00,0.00,71.55,9 656.19
2018.02.26 09:45:00,2018.02.26 10:01:42,sell,0.46,1.23321,1.23165,0.00,0.00,71.76,9 725.41
2018.03.05 08:45:00,2018.03.05 09:12:43,buy,0.64,1.22957,1.22800,0.00,0.00,-100.48,9 621.46
2018.04.06 10:15:00,2018.04.06 12:34:39,buy,0.44,1.22294,1.22464,0.00,0.00,74.80,9 693.90
2018.04.25 09:15:00,2018.04.25 09:48:40,buy,0.62,1.22059,1.22176,0.00,0.00,72.54,9 763.16
2018.05.07 08:15:00,2018.05.07 09:41:05,buy,0.52,1.19556,1.19370,0.00,0.00,-96.72,9 663.70
2018.05.08 09:15:00,2018.05.08 10:09:29,sell,0.56,1.19303,1.19174,0.00,0.00,72.24,9 732.99
2018.05.15 14:15:00,2018.05.15 15:00:41,buy,0.43,1.18976,1.18752,0.00,0.00,-96.32,9 634.41
2018.05.17 09:30:00,2018.05.17 10:39:31,buy,0.62,1.18053,1.18172,0.00,0.00,73.78,9 704.92
2018.05.23 10:15:00,2018.05.23 10:28:43,buy,0.55,1.17422,1.17556,0.00,0.00,73.70,9 775.72
2018.05.24 10:00:00,2018.05.24 10:31:15,sell,0.62,1.17173,1.17331,0.00,0.00,-97.96,9 674.48
2018.05.28 10:15:00,2018.05.28 11:27:28,buy,0.53,1.17014,1.16833,0.00,0.00,-95.93,9 575.74
2018.05.30 09:00:00,2018.05.30 09:37:16,sell,0.43,1.15559,1.15782,0.00,0.00,-95.89,9 477.59
2018.05.31 08:45:00,2018.05.31 09:37:59,sell,0.61,1.16829,1.16714,0.00,0.00,70.15,9 544.51
2018.06.19 09:15:00,2018.06.19 09:39:39,buy,0.47,1.16133,1.15930,0.00,0.00,-95.41,9 446.67
2018.06.29 18:00:00,2018.06.29 20:00:00,sell,0.22,1.16756,1.16774,0.00,0.00,-3.96,9 441.57
2018.07.10 09:30:00,2018.07.10 09:56:40,buy,0.59,1.17369,1.17488,0.00,0.00,70.21,9 508.70
2018.07.17 09:30:00,2018.07.17 13:39:17,sell,0.62,1.17308,1.17192,0.00,0.00,71.92,9 577.39
2018.07.18 08:15:00,2018.07.18 10:32:38,buy,0.61,1.16374,1.16219,0.00,0.00,-94.55,9 479.69
2018.07.20 10:30:00,2018.07.20 11:34:36,buy,0.47,1.16379,1.16529,0.00,0.00,70.50,9 547.77
2018.07.24 09:15:00,2018.07.24 10:16:40,buy,0.61,1.16668,1.16784,0.00,0.00,70.76,9 615.38
2018.07.31 10:00:00,2018.07.31 14:14:31,sell,0.51,1.17233,1.17424,0.00,0.00,-97.41,9 515.32
2018.08.08 11:15:00,2018.08.08 15:44:40,buy,0.4,1.15981,1.15745,0.00,0.00,-94.40,9 418.84
