open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2018.01.02 08:15:00,2018.01.02 10:29:28,sell,0.76,1.20291,1.20424,0.00,0.00,-101.08,9 894.75
2018.01.03 09:15:00,2018.01.03 12:31:29,buy,0.77,1.20401,1.20272,0.00,0.00,-99.33,9 791.21
2018.01.08 09:15:00,2018.01.08 10:44:40,buy,0.46,1.20088,1.19871,0.00,0.00,-99.82,9 688.87
2018.01.10 10:30:00,2018.01.10 12:29:03,sell,0.61,1.19507,1.19349,0.00,0.00,96.38,9 781.91
2018.01.11 09:45:00,2018.01.11 11:14:41,buy,0.74,1.19309,1.19441,0.00,0.00,97.68,9 875.52
2018.01.12 09:15:00,2018.01.12 10:34:42,sell,0.57,1.20608,1.20785,0.00,0.00,-100.89,9 771.48
2018.01.15 11:15:00,2018.01.15 12:30:32,sell,0.22,1.22450,1.22893,0.00,0.00,-97.46,9 672.79
2018.01.16 08:45:00,2018.01.16 09:01:40,sell,0.75,1.22744,1.22616,0.00,0.00,96.00,9 764.61
2018.01.17 09:00:00,2018.01.17 20:00:00,buy,0.29,1.22204,1.22517,0.00,0.00,90.77,9 853.77
2018.01.18 10:15:00,2018.01.18 13:41:38,sell,0.32,1.22138,1.22438,0.00,0.00,-96.00,9 755.98
2018.01.19 09:45:00,2018.01.19 10:01:40,sell,0.7,1.22787,1.22648,0.00,0.00,97.30,9 849.35
2018.01.22 10:00:00,2018.01.22 11:13:31,sell,0.57,1.22373,1.22547,0.00,0.00,-99.18,9 746.98
2018.01.23 09:00:00,2018.01.23 10:18:31,buy,0.71,1.22479,1.22342,0.00,0.00,-97.27,9 645.74
2018.01.24 09:00:00,2018.01.24 10:46:27,buy,0.44,1.23094,1.23310,0.00,0.00,95.04,9 738.31
2018.01.25 08:30:00,2018.01.25 08:51:03,sell,0.43,1.24580,1.24354,0.00,0.00,97.18,9 833.05
2018.01.26 08:15:00,2018.01.26 09:05:41,sell,0.5,1.24353,1.24549,0.00,0.00,-98.00,9 732.23
