metric,value
Total Net Profit,244.81
Balance Drawdown Absolute,1 738.58
Equity Drawdown Absolute,1 771.34
Balance Drawdown Maximal,1 738.58 (17.39%)
Equity Drawdown Maximal,1 814.82 (18.07%)
Balance Drawdown Relative,17.39% (1 738.58)
Equity Drawdown Relative,18.07% (1 814.82)
Profit Factor,1.02
Expected Payoff,0.96
Recovery Factor,0.13
Sharpe Ratio,0.75
Total Trades,254
Short Trades (won %),127 (40.94%)
Long Trades (won %),127 (44.09%)
Total Deals,508
Profit Trades (% of total),108 (42.52%)
Loss Trades (% of total),146 (57.48%)
Largest profit trade,157.52
Largest loss trade,-169.50
Average profit trade,130.89
Average loss trade,-91.16
Maximum consecutive wins ($),6 (891.00)
Maximum consecutive losses ($),10 (-827.55)
Maximal consecutive profit (count),891.00 (6)
Maximal consecutive loss (count),-827.55 (10)
Average consecutive wins,2
Average consecutive losses,2
