open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2018.01.08 09:15:00,2018.01.08 14:42:40,buy,0.31,1.20088,1.19773,0.00,0.00,-97.65,9 900.65
2018.01.10 10:30:00,2018.01.10 12:29:03,sell,0.41,1.19507,1.19349,0.00,0.00,64.78,9 963.18
2018.01.12 09:15:00,2018.01.12 10:39:16,sell,0.38,1.20608,1.20867,0.00,0.00,-98.42,9 862.66
2018.01.15 11:15:00,2018.01.15 20:00:00,sell,0.14,1.22450,1.22717,0.00,0.00,-37.38,9 824.50
2018.01.17 09:00:00,2018.01.17 20:00:00,buy,0.19,1.22204,1.22517,0.00,0.00,59.47,9 882.91
2018.01.18 10:15:00,2018.01.18 16:44:42,sell,0.21,1.22138,1.22591,0.00,0.00,-95.13,9 786.61
2018.01.22 10:00:00,2018.01.22 12:25:42,sell,0.38,1.22373,1.22628,0.00,0.00,-96.90,9 687.58
2018.01.24 09:00:00,2018.01.24 10:46:27,buy,0.29,1.23094,1.23310,0.00,0.00,62.64,9 748.59
2018.01.25 08:30:00,2018.01.25 08:51:03,sell,0.28,1.24580,1.24354,0.00,0.00,63.28,9 810.28
2018.01.26 08:15:00,2018.01.26 09:07:29,sell,0.33,1.24353,1.24644,0.00,0.00,-96.03,9 712.39
2018.01.29 09:45:00,2018.01.29 12:03:41,buy,0.39,1.23999,1.24173,0.00,0.00,67.86,9 778.04
2018.01.30 08:30:00,2018.01.30 10:59:37,buy,0.24,1.23561,1.23826,0.00,0.00,63.60,9 840.28
2018.01.31 08:45:00,2018.01.31 19:18:46,sell,0.29,1.24458,1.24233,0.00,0.00,65.25,9 903.89
2018.02.06 09:00:00,2018.02.06 10:09:37,sell,0.25,1.23815,1.24201,0.00,0.00,-96.50,9 806.02
2018.02.08 09:15:00,2018.02.08 10:05:40,sell,0.29,1.22868,1.22645,0.00,0.00,64.67,9 869.10
2018.02.12 10:00:00,2018.02.12 15:34:21,buy,0.34,1.22697,1.22406,0.00,0.00,-98.94,9 768.30
2018.02.13 08:30:00,2018.02.13 16:51:40,sell,0.27,1.23227,1.23589,0.00,0.00,-97.74,9 669.07
2018.02.14 09:45:00,2018.02.14 15:30:19,buy,0.33,1.23675,1.23389,0.00,0.00,-94.38,9 572.87
2018.02.16 10:00:00,2018.02.16 12:49:38,buy,0.3,1.25294,1.24978,0.00,0.00,-94.80,9 476.40
2018.02.19 09:30:00,2018.02.19 10:07:40,buy,0.31,1.23986,1.24184,0.00,0.00,61.38,9 536.06
2018.02.20 09:15:00,2018.02.20 10:15:43,buy,0.37,1.23746,1.23494,0.00,0.00,-93.24,9 440.77
2018.02.21 10:30:00,2018.02.21 11:54:29,buy,0.35,1.23125,1.23303,0.00,0.00,62.30,9 501.15
2018.02.26 09:45:00,2018.02.26 15:49:41,sell,0.3,1.23321,1.23111,0.00,0.00,63.00,9 562.49
2018.03.05 08:45:00,2018.03.05 09:16:32,buy,0.42,1.22957,1.22732,0.00,0.00,-94.50,9 465.71
2018.04.06 10:15:00,2018.04.06 15:30:41,buy,0.29,1.22294,1.22527,0.00,0.00,67.57,9 531.72
2018.04.25 09:15:00,2018.04.25 14:39:29,buy,0.41,1.22059,1.21828,0.00,0.00,-94.71,9 434.84
2018.05.07 08:15:00,2018.05.07 10:04:40,buy,0.33,1.19556,1.19272,0.00,0.00,-93.72,9 339.38
2018.05.08 09:15:00,2018.05.08 10:29:28,sell,0.36,1.19303,1.19127,0.00,0.00,63.36,9 400.85
2018.05.15 14:15:00,2018.05.15 15:36:32,buy,0.27,1.18976,1.18639,0.00,0.00,-90.99,9 308.44
2018.05.17 09:30:00,2018.05.17 10:40:32,buy,0.4,1.18053,1.18210,0.00,0.00,62.80,9 369.13
2018.05.23 10:15:00,2018.05.23 10:31:05,buy,0.35,1.17422,1.17151,0.00,0.00,-94.85,9 272.43
2018.05.24 10:00:00,2018.05.24 11:30:29,sell,0.39,1.17173,1.17412,0.00,0.00,-93.21,9 177.16
2018.05.28 10:15:00,2018.05.28 12:00:31,buy,0.33,1.17014,1.16743,0.00,0.00,-89.43,9 085.98
2018.05.30 09:00:00,2018.05.30 10:43:41,sell,0.27,1.15559,1.15892,0.00,0.00,-89.91,8 994.65
2018.05.31 08:45:00,2018.05.31 09:38:39,sell,0.38,1.16829,1.16675,0.00,0.00,58.52,9 051.16
2018.06.19 09:15:00,2018.06.19 09:59:32,buy,0.29,1.16133,1.15829,0.00,0.00,-88.16,8 961.50
