open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2020.03.11 09:00:00,2020.03.11 10:46:38,sell,0.51,1.13508,1.13312,0.00,0.00,99.96,10 097.64
2020.03.17 10:15:00,2020.03.17 10:32:42,buy,0.58,1.11496,1.11321,0.00,0.00,-101.50,9 993.67
2020.03.18 10:45:00,2020.03.18 10:55:41,buy,0.44,1.09973,1.09734,0.00,0.00,-105.16,9 886.67
2020.03.19 09:30:00,2020.03.19 10:29:31,sell,0.29,1.09255,1.08925,0.00,0.00,95.70,9 981.22
2020.03.23 08:45:00,2020.03.23 09:51:40,sell,0.38,1.07488,1.07229,0.00,0.00,98.42,10 078.11
2020.03.24 10:00:00,2020.03.24 13:04:38,sell,0.33,1.08348,1.08648,0.00,0.00,-99.00,9 977.73
2020.03.25 12:15:00,2020.03.25 13:38:02,sell,0.48,1.08383,1.08178,0.00,0.00,98.40,10 074.09
2020.03.27 09:45:00,2020.03.27 10:33:31,buy,0.35,1.10409,1.10109,0.00,0.00,-105.00,9 967.60
2020.03.30 14:30:00,2020.03.30 15:45:42,buy,0.4,1.10512,1.10266,0.00,0.00,-98.40,9 867.48
2020.03.31 09:45:00,2020.03.31 11:59:42,buy,0.51,1.09984,1.09785,0.00,0.00,-101.49,9 763.78
2020.04.01 09:30:00,2020.04.01 09:59:05,buy,0.62,1.10002,1.09846,0.00,0.00,-96.72,9 664.42
2020.04.03 10:15:00,2020.04.03 10:30:42,buy,0.54,1.08108,1.07923,0.00,0.00,-99.90,9 562.23
2020.04.07 10:00:00,2020.04.07 13:03:30,sell,0.41,1.08590,1.08823,0.00,0.00,-95.53,9 464.93
2020.04.16 09:45:00,2020.04.16 09:58:40,sell,0.48,1.09038,1.08843,0.00,0.00,93.60,9 556.41
2020.04.27 09:30:00,2020.04.27 17:46:17,sell,0.4,1.08545,1.08309,0.00,0.00,94.40,9 649.00
2020.05.22 10:15:00,2020.05.22 11:49:36,buy,0.6,1.09162,1.09002,0.00,0.00,-96.00,9 550.26
2020.05.28 11:30:00,2020.05.28 12:15:30,buy,0.61,1.09930,1.10086,0.00,0.00,95.16,9 642.60
2020.05.29 12:00:00,2020.05.29 12:10:42,sell,0.58,1.11171,1.11335,0.00,0.00,-95.12,9 544.78
2020.06.03 10:30:00,2020.06.03 11:09:28,sell,0.55,1.12233,1.12060,0.00,0.00,95.15,9 637.26
2020.06.15 09:00:00,2020.06.15 11:09:30,buy,0.6,1.12415,1.12575,0.00,0.00,96.00,9 730.41
2020.06.16 13:45:00,2020.06.16 14:47:25,buy,0.62,1.13121,1.12966,0.00,0.00,-96.10,9 631.31
2020.06.18 15:15:00,2020.06.18 19:39:15,buy,0.43,1.12218,1.11998,0.00,0.00,-94.60,9 534.64
2020.06.22 11:45:00,2020.06.22 14:18:59,sell,0.62,1.12204,1.12048,0.00,0.00,96.72,9 628.37
2020.07.01 13:45:00,2020.07.01 16:35:17,buy,0.4,1.12047,1.12285,0.00,0.00,95.20,9 721.64
2020.07.06 14:15:00,2020.07.06 15:54:45,sell,0.6,1.13128,1.13289,0.00,0.00,-96.60,9 622.11
2020.07.09 10:45:00,2020.07.09 17:44:34,buy,0.35,1.13334,1.13064,0.00,0.00,-94.50,9 525.90
2020.07.23 16:00:00,2020.07.23 16:12:39,buy,0.58,1.15422,1.15584,0.00,0.00,93.96,9 616.98
2020.07.24 14:00:00,2020.07.24 15:03:46,buy,0.41,1.15838,1.16072,0.00,0.00,95.94,9 710.89
2020.07.27 12:15:00,2020.07.27 13:14:29,buy,0.39,1.16864,1.17112,0.00,0.00,96.72,9 805.67
2020.07.30 09:30:00,2020.07.30 12:08:38,buy,0.53,1.17542,1.17357,0.00,0.00,-98.05,9 704.97
2020.07.31 11:30:00,2020.07.31 11:47:35,buy,0.64,1.18683,1.18533,0.00,0.00,-96.00,9 605.75
2020.08.03 09:30:00,2020.08.03 11:08:37,buy,0.6,1.17546,1.17706,0.00,0.00,96.00,9 698.76
2020.08.06 09:15:00,2020.08.06 09:43:32,sell,0.56,1.18983,1.18811,0.00,0.00,96.32,9 792.26
2020.08.07 16:15:00,2020.08.07 16:19:42,buy,0.46,1.18046,1.17834,0.00,0.00,-97.52,9 692.42
2020.08.14 12:30:00,2020.08.14 13:07:32,buy,0.59,1.17867,1.18033,0.00,0.00,97.94,9 787.41
2020.08.31 11:30:00,2020.08.31 11:54:27,buy,0.56,1.18868,1.19040,0.00,0.00,96.32,9 880.85
2020.09.03 16:30:00,2020.09.03 18:15:40,sell,0.42,1.18463,1.18230,0.00,0.00,97.86,9 976.56
2020.09.21 10:45:00,2020.09.21 11:22:32,buy,0.65,1.18361,1.18209,0.00,0.00,-98.80,9 874.44
2020.09.30 11:45:00,2020.09.30 12:28:36,buy,0.53,1.17167,1.16981,0.00,0.00,-98.58,9 773.22
2020.10.02 09:30:00,2020.10.02 10:43:41,sell,0.53,1.17355,1.17171,0.00,0.00,97.52,9 868.08
2020.11.09 10:45:00,2020.11.09 11:30:39,buy,0.62,1.18686,1.18844,0.00,0.00,97.96,9 962.88
2020.11.18 10:15:00,2020.11.18 12:51:33,sell,0.59,1.18892,1.18725,0.00,0.00,98.53,10 058.39
2020.11.20 11:15:00,2020.11.20 14:01:36,buy,0.62,1.18612,1.18773,0.00,0.00,99.82,10 155.04
2020.12.02 10:30:00,2020.12.02 15:11:35,buy,0.6,1.20509,1.20677,0.00,0.00,100.80,10 252.74
