open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2018.01.29 18:02:00,2018.01.29 18:06:56,buy,0.75,1.40603,1.40471,-4.25,0.00,-103.25,9 896.75
2018.01.30 18:02:00,2018.01.30 18:32:00,buy,0.54,1.41205,1.41072,-3.06,0.00,-74.88,9 821.87
2018.01.31 18:02:00,2018.01.31 18:32:00,sell,0.28,1.42292,1.41988,-1.59,0.00,83.53,9 905.40
2018.03.29 18:02:00,2018.03.29 18:32:00,buy,0.43,1.40229,1.40305,-2.31,0.00,30.37,9 935.77
2018.04.30 18:02:00,2018.04.30 18:32:00,sell,0.59,1.37665,1.37613,-3.12,0.00,27.56,9 963.33
2018.05.29 18:02:00,2018.05.29 18:22:59,buy,0.99,1.32681,1.32581,-5.21,0.00,-104.21,9 859.12
2018.06.29 18:02:00,2018.06.29 18:32:00,sell,0.68,1.32007,1.31974,-3.52,0.00,18.92,9 878.04
2018.07.31 18:02:00,2018.07.31 18:10:17,sell,0.8,1.31163,1.31039,-4.16,0.00,95.04,9 973.08
2018.08.29 18:02:00,2018.08.29 18:03:38,buy,0.85,1.29824,1.29942,-4.34,0.00,95.96,10 069.04
2018.09.28 18:02:00,2018.09.28 18:32:00,sell,0.58,1.30450,1.30427,-2.94,0.00,10.40,10 079.44
2018.12.31 18:02:00,2018.12.31 18:32:00,buy,0.22,1.27330,1.27531,-1.08,0.00,43.14,10 122.58
2019.02.26 18:02:00,2019.02.26 18:05:29,sell,0.38,1.32379,1.32657,-1.91,0.00,-107.55,10 015.03
2019.04.30 18:02:00,2019.04.30 18:32:00,buy,0.75,1.30314,1.30285,-3.69,0.00,-25.44,9 989.59
2019.05.29 18:02:00,2019.05.29 18:32:00,buy,0.54,1.26229,1.26172,-2.61,0.00,-33.39,9 956.20
2019.05.31 18:02:00,2019.05.31 18:13:30,buy,0.64,1.25980,1.26135,-3.10,0.00,96.10,10 052.30
2019.09.30 18:02:00,2019.09.30 18:11:12,buy,0.81,1.23198,1.23073,-3.82,0.00,-105.07,9 947.23
2019.11.29 18:02:00,2019.11.29 18:04:20,sell,0.51,1.29366,1.29174,-2.41,0.00,95.51,10 042.74
2020.01.30 18:02:00,2020.01.30 18:32:00,sell,0.85,1.31055,1.30997,-3.99,0.00,45.31,10 088.05
2020.01.31 18:02:00,2020.01.31 18:32:00,sell,0.52,1.31881,1.31883,-2.44,0.00,-3.48,10 084.57
2020.02.28 18:02:00,2020.02.28 18:21:39,buy,0.51,1.27743,1.27547,-2.30,0.00,-102.26,9 982.31
2020.04.30 18:02:00,2020.04.30 18:32:00,sell,0.18,1.26403,1.26020,-0.83,0.00,68.11,10 050.42
2020.07.30 18:02:00,2020.07.30 18:32:00,buy,0.61,1.30353,1.30254,-3.05,0.00,-63.44,9 986.98
2020.07.31 18:02:00,2020.07.31 18:22:15,buy,0.36,1.31222,1.31494,-1.81,0.00,96.11,10 083.09
2020.08.31 18:02:00,2020.08.31 18:25:28,sell,0.51,1.33879,1.33682,-2.64,0.00,97.83,10 180.92
2020.12.31 18:02:00,2020.12.31 18:32:00,sell,0.32,1.36743,1.36536,-1.73,0.00,64.51,10 245.43
2021.02.26 18:02:00,2021.02.26 18:06:31,sell,0.55,1.39779,1.39594,-2.98,0.00,98.77,10 344.20
2021.05.31 18:02:00,2021.05.31 18:32:00,sell,0.38,1.42161,1.42079,-2.06,0.00,29.10,10 373.30
2021.06.28 18:02:00,2021.06.28 18:32:00,buy,0.73,1.38890,1.38831,-3.87,0.00,-46.94,10 326.36
2021.08.31 18:02:00,2021.08.31 18:05:03,buy,0.9,1.37642,1.37528,-4.61,0.00,-107.21,10 219.15
2021.11.30 18:02:00,2021.11.30 18:32:00,buy,0.13,1.32057,1.32361,-0.64,0.00,38.88,10 258.03
2022.01.31 18:02:00,2022.01.31 18:04:43,buy,0.53,1.34084,1.34277,-2.61,0.00,99.68,10 357.71
2022.03.31 18:02:00,2022.03.31 18:20:29,sell,0.48,1.31711,1.31499,-2.52,0.00,99.24,10 456.95
2022.04.28 18:02:00,2022.04.28 18:05:56,sell,1.08,1.24402,1.24498,-5.35,0.00,-109.03,10 347.92
2022.06.30 18:02:00,2022.06.30 18:17:38,buy,0.71,1.21386,1.21531,-3.42,0.00,99.53,10 447.45
2022.07.29 18:02:00,2022.07.29 18:32:00,sell,0.36,1.21769,1.21646,-1.76,0.00,42.52,10 489.97
2022.09.29 18:02:00,2022.09.29 18:05:14,sell,0.48,1.10394,1.10176,-2.18,0.00,102.46,10 592.43
2022.11.30 18:02:00,2022.11.30 18:09:05,buy,0.6,1.19038,1.19216,-2.81,0.00,103.99,10 696.42
