open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2018.01.31 18:02:00,2018.01.31 18:27:28,sell,0.85,109.148,109.276,0.00,0.00,-99.56,9 900.44
2018.02.27 18:02:00,2018.02.27 18:32:00,buy,0.76,107.538,107.450,0.00,0.00,-62.24,9 838.20
2018.03.29 18:02:00,2018.03.29 18:32:00,buy,1.01,106.328,106.329,0.00,0.00,0.95,9 839.15
2018.05.31 18:02:00,2018.05.31 18:32:00,sell,0.66,108.654,108.719,0.00,0.00,-39.46,9 799.69
2018.08.29 18:02:00,2018.08.29 18:32:00,sell,0.54,111.722,111.782,0.00,0.00,-28.98,9 770.71
2019.01.31 18:02:00,2019.01.31 18:32:00,sell,0.86,108.841,108.853,0.00,0.00,-9.48,9 761.23
2019.02.28 18:02:00,2019.02.28 18:25:56,buy,1.68,111.307,111.370,0.00,0.00,95.03,9 856.26
2019.03.29 18:02:00,2019.03.29 18:03:27,sell,2.11,110.883,110.935,0.00,0.00,-98.90,9 757.36
2019.05.31 18:02:00,2019.05.31 18:03:29,buy,1.56,108.571,108.640,0.00,0.00,99.08,9 856.44
2019.06.28 18:02:00,2019.06.28 18:32:00,sell,1.07,107.764,107.785,0.00,0.00,-20.85,9 835.59
2019.07.29 18:02:00,2019.07.29 18:32:01,sell,0.7,108.840,108.881,0.00,0.00,-26.36,9 809.23
2020.01.31 18:02:00,2020.01.31 18:32:00,buy,0.53,108.328,108.369,0.00,0.00,20.05,9 829.28
2020.02.27 18:02:00,2020.02.27 18:32:00,sell,0.54,110.052,110.035,0.00,0.00,8.34,9 837.62
2020.02.28 18:02:00,2020.02.28 18:11:30,buy,0.48,107.828,108.054,0.00,0.00,100.39,9 938.01
2020.03.30 18:02:00,2020.03.30 18:32:00,sell,0.56,108.088,108.043,0.00,0.00,23.32,9 961.33
2020.04.30 18:02:00,2020.04.30 18:20:13,buy,0.77,106.853,106.991,0.00,0.00,99.32,10 060.65
2020.05.29 18:02:00,2020.05.29 18:32:00,sell,1.19,107.754,107.748,0.00,0.00,6.63,10 067.28
2020.06.29 18:02:00,2020.06.29 18:32:00,buy,0.96,107.683,107.722,0.00,0.00,34.76,10 102.04
2020.06.30 18:02:00,2020.06.30 18:32:00,sell,0.5,107.927,107.771,0.00,0.00,72.38,10 174.42
2020.07.29 18:02:00,2020.07.29 18:32:00,sell,1.06,105.116,105.054,0.00,0.00,62.56,10 236.98
2020.07.31 18:02:00,2020.07.31 18:32:00,sell,0.59,105.818,105.718,0.00,0.00,55.81,10 292.79
2020.10.30 18:02:00,2020.10.30 18:27:35,buy,1.62,104.618,104.685,0.00,0.00,103.68,10 396.47
2021.01.29 18:02:00,2021.01.29 18:32:00,buy,1.2,104.677,104.674,0.00,0.00,-3.44,10 393.03
2021.03.31 18:02:00,2021.03.31 18:28:41,buy,1.02,110.504,110.610,0.00,0.00,97.75,10 490.78
2021.04.28 18:02:00,2021.04.28 18:29:34,sell,1.52,108.877,108.801,0.00,0.00,106.18,10 596.96
2021.04.30 18:02:00,2021.04.30 18:32:00,sell,1.32,109.286,109.309,0.00,0.00,-27.77,10 569.19
2021.05.31 18:02:00,2021.05.31 18:32:00,buy,0.67,109.391,109.466,0.00,0.00,45.90,10 615.09
2021.06.28 18:02:00,2021.06.28 18:10:27,buy,1.73,110.615,110.548,0.00,0.00,-104.85,10 510.24
2021.06.30 18:02:00,2021.06.30 18:32:00,sell,0.8,110.996,110.998,0.00,0.00,-1.44,10 508.80
2021.08.31 18:02:00,2021.08.31 18:14:27,sell,0.96,109.866,109.989,0.00,0.00,-107.36,10 401.44
2021.09.30 18:02:00,2021.09.30 18:18:30,buy,0.66,111.588,111.413,0.00,0.00,-103.67,10 297.77
2021.10.29 18:02:00,2021.10.29 18:32:00,sell,1.49,114.023,114.064,0.00,0.00,-53.56,10 244.21
2021.11.29 18:02:00,2021.11.29 18:08:15,sell,2.01,113.643,113.705,0.00,0.00,-109.60,10 134.61
2021.12.29 18:02:00,2021.12.29 18:32:00,sell,1.37,114.915,114.910,0.00,0.00,5.96,10 140.57
2021.12.31 18:02:00,2021.12.31 18:32:00,sell,0.74,115.188,115.141,0.00,0.00,30.21,10 170.78
2022.01.31 18:02:00,2022.01.31 18:32:00,buy,1.02,115.248,115.251,0.00,0.00,2.66,10 173.44
2022.02.28 18:02:00,2022.02.28 18:32:00,buy,0.74,115.192,115.242,0.00,0.00,32.11,10 205.55
2022.03.29 18:02:00,2022.03.29 18:06:42,sell,1.23,122.692,122.596,0.00,0.00,96.32,10 301.87
2022.03.30 18:02:00,2022.03.30 18:20:36,sell,1.12,122.028,121.915,0.00,0.00,103.81,10 405.68
2022.03.31 18:02:00,2022.03.31 18:02:42,buy,0.99,121.289,121.420,0.00,0.00,106.81,10 512.49
2022.04.28 18:02:00,2022.04.28 18:22:26,buy,1.11,130.989,130.874,0.00,0.00,-97.54,10 414.95
2022.04.29 18:02:00,2022.04.29 18:07:43,buy,0.55,129.486,129.731,0.00,0.00,103.87,10 518.82
2022.07.29 18:02:00,2022.07.29 18:16:42,buy,0.52,133.582,133.306,0.00,0.00,-107.66,10 411.16
2022.08.31 18:02:00,2022.08.31 18:13:57,sell,1.44,138.625,138.721,0.00,0.00,-99.65,10 311.51
2022.09.28 18:02:00,2022.09.28 18:15:04,sell,1.5,144.572,144.467,0.00,0.00,109.02,10 420.53
2022.11.30 18:02:00,2022.11.30 18:07:30,buy,1.03,139.529,139.382,0.00,0.00,-108.63,10 311.90
2022.12.30 18:02:00,2022.12.30 18:32:00,buy,0.44,131.860,131.867,0.00,0.00,2.34,10 314.24
