open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2018.01.29 18:02:00,2018.01.29 18:15:16,buy,0.86,1.23541,1.23424,-4.87,0.00,-105.49,9 894.51
2018.02.27 18:02:00,2018.02.27 18:32:00,sell,0.62,1.22413,1.22432,-3.39,0.00,-15.17,9 879.34
2018.03.29 18:02:00,2018.03.29 18:32:00,buy,0.65,1.22940,1.22937,-3.49,0.00,-5.44,9 873.90
2018.06.29 18:02:00,2018.06.29 18:32:00,sell,0.79,1.16745,1.16682,-4.09,0.00,45.68,9 919.58
2018.09.28 18:02:00,2018.09.28 18:16:39,sell,0.86,1.16167,1.16282,-4.36,0.00,-103.26,9 816.32
2019.01.31 18:02:00,2019.01.31 18:11:40,buy,0.72,1.14712,1.14576,-3.68,0.00,-101.60,9 714.72
2019.05.31 18:02:00,2019.05.31 18:32:00,buy,0.58,1.11391,1.11466,-2.81,0.00,40.69,9 755.41
2019.08.30 18:02:00,2019.08.30 18:32:00,buy,0.39,1.10083,1.09994,-1.84,0.00,-36.55,9 718.86
2019.11.29 18:02:00,2019.11.29 18:04:27,sell,1.27,1.10237,1.10161,-6.01,0.00,90.51,9 809.37
2020.01.31 18:02:00,2020.01.31 18:32:00,sell,0.43,1.10894,1.10853,-2.01,0.00,15.62,9 824.99
2020.02.27 18:02:00,2020.02.27 18:32:00,buy,0.92,1.09828,1.09804,-4.23,0.00,-26.31,9 798.68
2020.02.28 18:02:00,2020.02.28 18:32:00,sell,0.52,1.09862,1.10011,-2.34,0.00,-79.82,9 718.86
2020.04.28 18:02:00,2020.04.28 18:32:00,buy,0.46,1.08283,1.08342,-2.09,0.00,25.05,9 743.91
2020.04.30 18:02:00,2020.04.30 18:32:00,sell,0.19,1.09693,1.09437,-0.87,0.00,47.77,9 791.68
2020.07.31 18:02:00,2020.07.31 18:19:38,buy,0.53,1.18198,1.18380,-2.66,0.00,93.80,9 885.48
2020.11.30 18:02:00,2020.11.30 18:20:42,buy,0.56,1.19627,1.19450,-2.89,0.00,-102.01,9 783.47
2020.12.29 18:02:00,2020.12.29 18:32:00,buy,0.52,1.22390,1.22528,-2.77,0.00,68.99,9 852.46
2021.02.26 18:02:00,2021.02.26 18:06:42,sell,0.68,1.21389,1.21236,-3.68,0.00,100.36,9 952.82
2021.03.31 18:02:00,2021.03.31 18:07:12,sell,1.14,1.17518,1.17431,-6.08,0.00,93.10,10 045.92
2021.04.30 18:02:00,2021.04.30 18:20:39,buy,0.85,1.20376,1.20257,-4.59,0.00,-105.74,9 940.18
2021.05.31 18:02:00,2021.05.31 18:32:00,sell,0.97,1.22281,1.22259,-5.26,0.00,16.08,9 956.26
2021.06.30 18:02:00,2021.06.30 18:32:00,buy,0.93,1.18597,1.18551,-4.89,0.00,-47.67,9 908.59
2021.08.31 18:02:00,2021.08.31 18:32:00,buy,0.78,1.18063,1.18025,-3.99,0.00,-33.63,9 874.96
2021.09.28 18:02:00,2021.09.28 18:22:02,buy,1.23,1.16709,1.16789,-6.23,0.00,92.17,9 967.13
2021.10.29 18:02:00,2021.10.29 18:03:40,buy,1.4,1.15668,1.15739,-7.36,0.00,92.04,10 059.17
2021.11.30 18:02:00,2021.11.30 18:32:00,buy,0.23,1.12440,1.12734,-1.14,0.00,66.48,10 125.65
2021.12.29 18:02:00,2021.12.29 18:32:00,buy,0.71,1.13487,1.13491,-3.61,0.00,-0.77,10 124.88
2022.02.28 18:02:00,2022.02.28 18:32:00,sell,0.61,1.12313,1.12393,-3.10,0.00,-51.90,10 072.98
2022.03.29 18:02:00,2022.03.29 18:06:39,sell,1.25,1.11041,1.11121,-6.57,0.00,-106.57,9 966.41
2022.03.31 18:02:00,2022.03.31 18:30:41,sell,0.32,1.11291,1.10980,-1.68,0.00,97.84,10 064.25
2022.04.28 18:02:00,2022.04.28 18:32:00,sell,0.6,1.05157,1.05198,-2.97,0.00,-27.57,10 036.68
2022.07.29 18:02:00,2022.07.29 18:32:00,sell,0.59,1.02028,1.02009,-2.88,0.00,8.33,10 045.01
2022.09.30 18:02:00,2022.09.30 18:07:27,buy,0.96,0.97878,0.97983,-4.32,0.00,96.48,10 141.49
2022.11.30 18:02:00,2022.11.30 18:06:13,buy,0.94,1.02931,1.03039,-4.40,0.00,97.12,10 238.61
2022.12.30 18:02:00,2022.12.30 18:21:57,sell,0.73,1.06741,1.06880,-3.47,0.00,-104.94,10 133.67
