open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2017.08.04 15:40:00,2017.08.04 16:40:00,buy,0.16,1.18366,1.18369,-0.89,0.00,-0.41,9 999.59
2017.09.01 15:40:00,2017.09.01 15:55:04,sell,0.1,1.19627,1.18986,-0.56,0.00,63.54,10 063.13
2018.07.06 15:40:00,2018.07.06 16:40:00,sell,0.13,1.17516,1.17571,-0.68,0.00,-7.83,10 055.30
2018.09.07 15:40:00,2018.09.07 16:40:00,buy,0.14,1.15838,1.15833,-0.70,0.00,-1.40,10 053.90
2018.10.05 15:40:00,2018.10.05 15:46:37,buy,0.24,1.14852,1.15119,-1.19,0.00,62.89,10 116.79
2018.12.07 15:40:00,2018.12.07 16:40:00,sell,0.16,1.13986,1.13907,-0.81,0.00,11.83,10 128.62
2019.01.04 15:40:00,2019.01.04 16:40:00,buy,0.19,1.13762,1.13541,-0.94,0.00,-42.93,10 085.69
2019.06.07 15:40:00,2019.06.07 16:40:00,sell,0.09,1.13196,1.13120,-0.44,0.00,6.40,10 092.09
2019.07.05 15:40:00,2019.07.05 16:40:00,buy,0.19,1.12398,1.12218,-0.93,0.00,-35.13,10 056.96
2019.12.06 15:40:00,2019.12.06 16:40:00,buy,0.22,1.10742,1.10755,-1.05,0.00,1.81,10 058.77
2020.09.04 15:40:00,2020.09.04 16:40:00,buy,0.18,1.18186,1.18015,-0.92,0.00,-31.70,10 027.07
2021.02.05 15:40:00,2021.02.05 15:47:40,sell,0.25,1.20038,1.20239,-1.33,0.00,-51.58,9 975.49
2021.03.05 15:40:00,2021.03.05 16:16:28,buy,0.23,1.19141,1.19411,-1.23,0.00,60.87,10 036.36
2021.05.07 15:40:00,2021.05.07 16:40:00,sell,0.07,1.21299,1.21117,-0.38,0.00,12.36,10 048.72
2021.06.04 15:40:00,2021.06.04 15:55:42,sell,0.18,1.21419,1.21693,-0.97,0.00,-50.29,9 998.43
2021.07.02 15:40:00,2021.07.02 16:40:00,sell,0.21,1.18451,1.18323,-1.10,0.00,25.78,10 024.21
2021.12.03 15:40:00,2021.12.03 16:40:00,sell,0.19,1.13167,1.12979,-0.94,0.00,34.78,10 058.99
2022.02.04 15:40:00,2022.02.04 16:40:00,buy,0.2,1.14350,1.14359,-0.99,0.00,0.81,10 059.80
2022.06.03 15:40:00,2022.06.03 16:27:32,buy,0.26,1.07129,1.07372,-1.32,0.00,61.86,10 121.66
2022.08.05 15:40:00,2022.08.05 16:40:00,buy,0.09,1.01783,1.01561,-0.44,0.00,-20.42,10 101.24
2022.10.07 15:40:00,2022.10.07 16:40:00,buy,0.12,0.97605,0.97580,-0.54,0.00,-3.54,10 097.70
2022.12.02 15:40:00,2022.12.02 16:40:00,buy,0.06,1.04531,1.04855,-0.28,0.00,19.16,10 116.86
