open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2017.01.06 15:40:00,2017.01.06 15:45:17,sell,0.23,116.191,116.440,0.00,0.00,-49.18,9 950.82
2017.02.03 15:40:00,2017.02.03 15:43:41,buy,0.28,112.975,112.760,0.00,0.00,-53.39,9 897.43
2017.04.07 15:40:00,2017.04.07 15:53:40,buy,0.24,110.423,110.726,0.00,0.00,65.68,9 963.11
2017.06.02 15:40:00,2017.06.02 16:40:00,buy,0.08,110.828,110.574,0.00,0.00,-18.38,9 944.73
2017.09.01 15:40:00,2017.09.01 16:40:00,buy,0.15,109.729,109.979,0.00,0.00,34.10,9 978.83
2018.02.02 15:40:00,2018.02.02 16:40:00,sell,0.15,110.237,110.297,0.00,0.00,-8.16,9 970.67
2018.10.05 15:40:00,2018.10.05 15:57:29,sell,0.32,114.031,113.807,0.00,0.00,62.98,10 033.65
2019.01.04 15:40:00,2019.01.04 15:46:43,sell,0.35,108.293,108.457,0.00,0.00,-52.92,9 980.73
2019.03.08 15:40:00,2019.03.08 16:40:00,buy,0.25,110.885,110.992,0.00,0.00,24.10,10 004.83
2019.06.07 15:40:00,2019.06.07 16:40:00,buy,0.12,107.991,108.124,0.00,0.00,14.76,10 019.59
2019.07.05 15:40:00,2019.07.05 16:40:00,sell,0.15,108.389,108.446,0.00,0.00,-7.88,10 011.71
2019.12.06 15:40:00,2019.12.06 16:40:00,sell,0.15,108.867,108.810,0.00,0.00,7.86,10 019.57
2020.03.06 15:40:00,2020.03.06 16:17:16,sell,0.22,105.334,105.024,0.00,0.00,64.94,10 084.51
2020.05.08 15:40:00,2020.05.08 16:08:28,sell,0.24,106.508,106.725,0.00,0.00,-48.80,10 035.71
2020.06.05 15:40:00,2020.06.05 16:40:00,sell,0.21,109.470,109.599,0.00,0.00,-24.72,10 010.99
2021.02.05 15:40:00,2021.02.05 16:40:00,buy,0.27,105.546,105.534,0.00,0.00,-3.07,10 007.92
2021.03.05 15:40:00,2021.03.05 16:15:20,sell,0.26,108.506,108.251,0.00,0.00,61.25,10 069.17
2021.05.07 15:40:00,2021.05.07 16:40:00,buy,0.09,108.644,108.802,0.00,0.00,13.07,10 082.24
2021.06.04 15:40:00,2021.06.04 15:55:27,buy,0.29,109.944,109.758,0.00,0.00,-49.14,10 033.10
2021.10.08 15:40:00,2021.10.08 16:40:00,buy,0.2,111.532,111.864,0.00,0.00,59.36,10 092.46
2022.02.04 15:40:00,2022.02.04 16:40:00,sell,0.14,115.285,115.283,0.00,0.00,0.24,10 092.70
2022.06.03 15:40:00,2022.06.03 16:40:00,sell,0.14,130.519,130.526,0.00,0.00,-0.75,10 091.95
2022.07.08 15:40:00,2022.07.08 16:40:00,sell,0.12,136.322,136.228,0.00,0.00,8.28,10 100.23
2022.08.05 15:40:00,2022.08.05 16:40:00,sell,0.05,134.383,134.725,0.00,0.00,-12.69,10 087.54
2022.12.02 15:40:00,2022.12.02 16:40:00,sell,0.04,135.704,135.239,0.00,0.00,13.75,10 101.29
