open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2017.08.02 18:02:00,2017.08.02 18:32:00,sell,0.78,1.18606,1.18612,-4.35,0.00,-9.03,9 990.97
2017.08.16 18:02:00,2017.08.16 18:32:00,buy,0.75,1.17015,1.17049,-4.14,0.00,21.36,10 012.33
2017.08.29 18:02:00,2017.08.29 18:32:00,sell,0.72,1.20286,1.20331,-4.02,0.00,-36.42,9 975.91
2017.08.31 18:02:00,2017.08.31 18:32:00,sell,0.47,1.18931,1.18789,-2.61,0.00,64.13,10 040.04
2017.09.21 18:02:00,2017.09.21 18:32:00,sell,0.74,1.19277,1.19312,-4.12,0.00,-30.02,10 010.02
2017.09.27 18:02:00,2017.09.27 18:05:41,buy,0.71,1.17284,1.17429,-3.91,0.00,99.04,10 109.06
2017.10.02 18:02:00,2017.10.02 18:32:00,buy,0.77,1.17338,1.17390,-4.22,0.00,35.82,10 144.88
2017.10.27 18:02:00,2017.10.27 18:32:00,buy,0.51,1.15803,1.15789,-2.73,0.00,-9.87,10 135.01
2017.11.08 18:02:00,2017.11.08 18:32:00,buy,0.59,1.15824,1.15884,-3.17,0.00,32.23,10 167.24
2017.11.15 18:02:00,2017.11.15 18:32:00,buy,0.81,1.17988,1.17968,-4.30,0.00,-20.50,10 146.74
2017.11.28 18:02:00,2017.11.28 18:31:32,buy,0.73,1.18685,1.18830,-3.88,0.00,101.97,10 248.71
2017.11.30 18:02:00,2017.11.30 18:13:03,sell,0.55,1.19301,1.19115,-2.92,0.00,99.38,10 348.09
2017.12.18 18:02:00,2017.12.18 18:32:00,buy,0.86,1.18093,1.18044,-4.62,0.00,-46.76,10 301.33
2017.12.19 18:02:00,2017.12.19 18:32:00,buy,0.71,1.18074,1.18158,-3.80,0.00,55.84,10 357.17
2017.12.27 18:02:00,2017.12.27 18:32:00,buy,0.69,1.18919,1.18899,-3.75,0.00,-17.55,10 339.62
2018.01.02 18:02:00,2018.01.02 18:32:00,sell,0.86,1.20476,1.20474,-4.71,0.00,-2.99,10 336.63
2018.01.11 18:02:00,2018.01.11 18:32:00,buy,0.84,1.20436,1.20475,-4.63,0.00,28.13,10 364.76
2018.02.02 18:02:00,2018.02.02 18:32:00,sell,0.82,1.24400,1.24489,-4.56,0.00,-77.54,10 287.22
2018.02.06 18:02:00,2018.02.06 18:28:17,sell,0.74,1.23440,1.23581,-4.08,0.00,-108.42,10 178.80
2018.02.09 18:02:00,2018.02.09 18:16:42,buy,0.83,1.22449,1.22319,-4.53,0.00,-112.43,10 066.37
2018.02.14 18:02:00,2018.02.14 18:32:00,sell,0.37,1.24134,1.24011,-2.04,0.00,43.47,10 109.84
2018.02.27 18:02:00,2018.02.27 18:32:00,sell,0.63,1.22413,1.22432,-3.44,0.00,-15.41,10 094.43
2018.03.29 18:02:00,2018.03.29 18:32:00,buy,0.66,1.22940,1.22937,-3.54,0.00,-5.52,10 088.91
2018.04.02 18:02:00,2018.04.02 18:32:00,buy,0.59,1.23040,1.23012,-3.17,0.00,-19.69,10 069.22
2018.04.20 18:02:00,2018.04.20 18:32:00,sell,0.66,1.22797,1.22782,-3.55,0.00,6.35,10 075.57
2018.04.23 18:02:00,2018.04.23 18:32:00,buy,0.65,1.22186,1.22172,-3.47,0.00,-12.57,10 063.00
2018.05.09 18:02:00,2018.05.09 18:32:00,buy,0.79,1.18527,1.18599,-4.12,0.00,52.76,10 115.76
