open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2020.01.02 18:02:00,2020.01.02 18:32:00,sell,0.51,1.12025,1.11857,-2.50,0.00,83.18,10 083.18
2020.01.31 18:02:00,2020.01.31 18:32:00,sell,0.45,1.10894,1.10853,-2.11,0.00,16.34,10 099.52
2020.02.06 18:02:00,2020.02.06 18:32:00,sell,0.81,1.09778,1.09830,-3.82,0.00,-45.94,10 053.58
2020.02.28 18:02:00,2020.02.28 18:32:00,sell,0.54,1.09862,1.10011,-2.44,0.00,-82.90,9 970.68
2020.03.03 18:02:00,2020.03.03 18:11:31,buy,0.81,1.11754,1.11630,-3.75,0.00,-104.19,9 866.49
2020.03.04 18:02:00,2020.03.04 18:29:40,sell,0.58,1.11450,1.11277,-2.69,0.00,97.65,9 964.14
2020.03.18 18:02:00,2020.03.18 18:03:37,buy,0.73,1.08701,1.08565,-3.00,0.00,-102.28,9 861.86
2020.03.20 18:02:00,2020.03.20 18:03:31,buy,0.75,1.07241,1.07375,-3.09,0.00,97.41,9 959.27
2020.03.26 18:02:00,2020.03.26 18:32:00,sell,0.31,1.09951,1.10145,-1.31,0.00,-61.45,9 897.82
2020.03.31 18:02:00,2020.03.31 18:06:43,sell,0.81,1.09759,1.09888,-3.47,0.00,-107.96,9 789.86
2020.04.07 18:02:00,2020.04.07 18:21:04,buy,0.61,1.08782,1.08941,-2.64,0.00,94.35,9 884.21
2020.04.09 18:02:00,2020.04.09 18:32:00,sell,0.81,1.09333,1.09299,-3.58,0.00,23.96,9 908.17
2020.04.21 18:02:00,2020.04.21 18:32:00,sell,0.69,1.08635,1.08630,-3.04,0.00,0.41,9 908.58
2020.04.28 18:02:00,2020.04.28 18:32:00,buy,0.47,1.08283,1.08342,-2.13,0.00,25.60,9 934.18
2020.04.30 18:02:00,2020.04.30 18:32:00,sell,0.19,1.09693,1.09437,-0.87,0.00,47.77,9 981.95
2020.05.27 18:02:00,2020.05.27 18:32:00,buy,0.44,1.09683,1.09775,-2.03,0.00,38.45,10 020.40
2020.06.15 18:02:00,2020.06.15 18:24:05,buy,0.75,1.12736,1.12603,-3.60,0.00,-103.35,9 917.05
2020.06.17 18:02:00,2020.06.17 18:32:00,buy,0.69,1.12230,1.12184,-3.34,0.00,-35.08,9 881.97
2020.07.08 18:02:00,2020.07.08 18:32:00,buy,0.79,1.13244,1.13261,-3.85,0.00,9.58,9 891.55
2020.07.31 18:02:00,2020.07.31 18:19:38,buy,0.54,1.18198,1.18380,-2.71,0.00,95.57,9 987.12
2020.09.09 18:02:00,2020.09.09 18:17:15,buy,0.78,1.18070,1.18200,-3.97,0.00,97.43,10 084.55
2020.11.30 18:02:00,2020.11.30 18:20:42,buy,0.57,1.19627,1.19450,-2.94,0.00,-103.83,9 980.72
2020.12.07 18:02:00,2020.12.07 18:32:00,buy,0.79,1.21321,1.21370,-4.12,0.00,34.59,10 015.31
2020.12.22 18:02:00,2020.12.22 18:32:00,buy,0.36,1.21629,1.21744,-1.89,0.00,39.51,10 054.82
2020.12.29 18:02:00,2020.12.29 18:32:00,buy,0.53,1.22390,1.22528,-2.83,0.00,70.31,10 125.13
