open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2018.01.02 18:02:00,2018.01.02 18:32:00,sell,0.83,1.20476,1.20474,-4.55,0.00,-2.89,9 997.11
2018.01.05 18:02:00,2018.01.05 18:32:00,sell,0.95,1.20404,1.20327,-5.23,0.00,67.92,10 065.03
2018.01.11 18:02:00,2018.01.11 18:32:00,buy,0.81,1.20436,1.20475,-4.46,0.00,27.13,10 092.16
2018.01.29 18:02:00,2018.01.29 18:15:16,buy,0.87,1.23541,1.23424,-4.93,0.00,-106.72,9 985.44
2018.02.02 18:02:00,2018.02.02 18:32:00,sell,0.79,1.24400,1.24489,-4.39,0.00,-74.70,9 910.74
2018.02.06 18:02:00,2018.02.06 18:28:17,sell,0.71,1.23440,1.23581,-3.91,0.00,-104.02,9 806.72
2018.02.09 18:02:00,2018.02.09 18:16:42,buy,0.8,1.22449,1.22319,-4.37,0.00,-108.37,9 698.35
2018.02.14 18:02:00,2018.02.14 18:32:00,sell,0.36,1.24134,1.24011,-1.99,0.00,42.29,9 740.64
2018.02.27 18:02:00,2018.02.27 18:32:00,sell,0.61,1.22413,1.22432,-3.34,0.00,-14.93,9 725.71
2018.03.06 18:02:00,2018.03.06 18:07:59,sell,0.95,1.24055,1.24161,-5.20,0.00,-105.90,9 619.81
2018.03.29 18:02:00,2018.03.29 18:32:00,buy,0.63,1.22940,1.22937,-3.38,0.00,-5.27,9 614.54
2018.04.02 18:02:00,2018.04.02 18:32:00,buy,0.56,1.23040,1.23012,-3.00,0.00,-18.68,9 595.86
2018.04.20 18:02:00,2018.04.20 18:32:00,sell,0.63,1.22797,1.22782,-3.39,0.00,6.06,9 601.92
2018.04.23 18:02:00,2018.04.23 18:32:00,buy,0.62,1.22186,1.22172,-3.31,0.00,-11.99,9 589.93
2018.05.09 18:02:00,2018.05.09 18:32:00,buy,0.76,1.18527,1.18599,-3.97,0.00,50.75,9 640.68
2018.06.08 18:02:00,2018.06.08 18:32:00,sell,0.94,1.17666,1.17617,-5.00,0.00,41.06,9 681.74
2018.06.21 18:02:00,2018.06.21 18:32:00,buy,0.91,1.16044,1.16039,-4.70,0.00,-9.25,9 672.49
2018.06.27 18:02:00,2018.06.27 18:32:00,buy,0.79,1.15944,1.15946,-4.08,0.00,-2.50,9 669.99
2018.06.29 18:02:00,2018.06.29 18:32:00,sell,0.77,1.16745,1.16682,-3.98,0.00,44.53,9 714.52
2018.07.02 18:02:00,2018.07.02 18:15:31,buy,0.75,1.16056,1.15926,-3.85,0.00,-101.35,9 613.17
2018.08.14 18:02:00,2018.08.14 18:16:31,buy,0.81,1.13713,1.13595,-4.11,0.00,-99.69,9 513.48
2018.09.06 18:02:00,2018.09.06 18:06:17,buy,0.73,1.16284,1.16154,-3.68,0.00,-98.58,9 414.90
2018.09.07 18:02:00,2018.09.07 18:32:00,buy,0.84,1.15803,1.15784,-4.20,0.00,-20.16,9 394.74
2018.09.27 18:02:00,2018.09.27 18:32:00,buy,0.78,1.16769,1.16686,-3.94,0.00,-68.68,9 326.06
2018.09.28 18:02:00,2018.09.28 18:16:39,sell,0.81,1.16167,1.16282,-4.10,0.00,-97.25,9 228.81
2018.10.09 18:02:00,2018.10.09 18:24:37,buy,0.68,1.14649,1.14783,-3.37,0.00,87.75,9 316.56
2018.10.19 18:02:00,2018.10.19 18:32:00,sell,0.57,1.14957,1.14886,-2.85,0.00,37.62,9 354.18
2018.10.26 18:02:00,2018.10.26 18:10:28,buy,0.83,1.13692,1.13808,-4.11,0.00,92.17,9 446.35
