open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2017.08.01 18:02:00,2017.08.01 18:11:19,sell,0.61,1.32343,1.32180,-3.41,0.00,96.02,10 096.02
2017.08.02 18:02:00,2017.08.02 18:10:40,sell,1.24,1.32294,1.32375,-6.92,0.00,-107.36,9 988.66
2017.08.15 18:02:00,2017.08.15 18:32:00,buy,0.68,1.28497,1.28597,-3.72,0.00,64.28,10 052.94
2017.08.29 18:02:00,2017.08.29 18:09:41,sell,0.85,1.29511,1.29393,-4.75,0.00,95.55,10 148.49
2017.08.31 18:02:00,2017.08.31 18:08:47,sell,0.86,1.28851,1.28733,-4.78,0.00,96.70,10 245.19
2017.09.13 18:02:00,2017.09.13 18:28:29,buy,0.73,1.32284,1.32144,-4.09,0.00,-106.29,10 138.90
2017.09.18 18:02:00,2017.09.18 18:03:26,buy,0.68,1.35368,1.35221,-3.79,0.00,-103.75,10 035.15
2017.09.20 18:02:00,2017.09.20 18:29:38,buy,0.61,1.35631,1.35467,-3.45,0.00,-103.49,9 931.66
2017.09.21 18:02:00,2017.09.21 18:32:00,sell,0.35,1.35498,1.35550,-1.95,0.00,-20.15,9 911.51
2017.10.24 18:02:00,2017.10.24 18:32:00,buy,0.56,1.31153,1.31246,-3.05,0.00,49.03,9 960.54
2017.10.25 18:02:00,2017.10.25 18:17:41,sell,0.62,1.32536,1.32695,-3.34,0.00,-101.92,9 858.62
2017.10.27 18:02:00,2017.10.27 18:32:00,buy,0.66,1.31085,1.31158,-3.54,0.00,44.64,9 903.26
2017.11.21 18:02:00,2017.11.21 18:32:00,buy,0.56,1.32262,1.32350,-2.97,0.00,46.31,9 949.57
2017.11.28 18:02:00,2017.11.28 18:32:00,buy,0.54,1.32296,1.32386,-2.87,0.00,45.73,9 995.30
2017.12.27 18:02:00,2017.12.27 18:32:00,buy,0.53,1.33987,1.33942,-2.88,0.00,-26.73,9 968.57
2018.01.17 18:02:00,2018.01.17 18:32:00,sell,0.7,1.38339,1.38248,-3.91,0.00,59.79,10 028.36
2018.01.29 18:02:00,2018.01.29 18:06:56,buy,0.75,1.40603,1.40471,-4.25,0.00,-103.25,9 925.11
2018.01.30 18:02:00,2018.01.30 18:32:00,buy,0.54,1.41205,1.41072,-3.06,0.00,-74.88,9 850.23
2018.01.31 18:02:00,2018.01.31 18:32:00,sell,0.28,1.42292,1.41988,-1.59,0.00,83.53,9 933.76
2018.02.06 18:02:00,2018.02.06 18:31:43,sell,0.4,1.39124,1.39371,-2.20,0.00,-101.00,9 832.76
2018.03.29 18:02:00,2018.03.29 18:32:00,buy,0.42,1.40229,1.40305,-2.25,0.00,29.67,9 862.43
2018.04.26 18:02:00,2018.04.26 18:30:41,buy,0.47,1.39264,1.39057,-2.49,0.00,-99.78,9 762.65
2018.04.30 18:02:00,2018.04.30 18:32:00,sell,0.58,1.37665,1.37613,-3.06,0.00,27.10,9 789.75
2018.05.29 18:02:00,2018.05.29 18:22:59,buy,0.97,1.32681,1.32581,-5.10,0.00,-102.10,9 687.65
2018.06.07 18:02:00,2018.06.07 18:32:00,sell,0.64,1.34216,1.34351,-3.42,0.00,-89.82,9 597.83
2018.06.08 18:02:00,2018.06.08 18:32:00,sell,0.39,1.34064,1.33966,-2.07,0.00,36.15,9 633.98
2018.06.29 18:02:00,2018.06.29 18:32:00,sell,0.67,1.32007,1.31974,-3.47,0.00,18.64,9 652.62
2018.07.02 18:02:00,2018.07.02 18:32:00,buy,0.53,1.31244,1.31246,-2.72,0.00,-1.66,9 650.96
2018.07.16 18:02:00,2018.07.16 18:32:00,buy,0.64,1.32275,1.32250,-3.32,0.00,-19.32,9 631.64
2018.07.31 18:02:00,2018.07.31 18:10:17,sell,0.78,1.31163,1.31039,-4.06,0.00,92.66,9 724.30
2018.08.29 18:02:00,2018.08.29 18:03:38,buy,0.83,1.29824,1.29942,-4.24,0.00,93.70,9 818.00
2018.09.07 18:02:00,2018.09.07 18:06:36,buy,0.39,1.29491,1.29742,-1.95,0.00,95.94,9 913.94
2018.09.26 18:02:00,2018.09.26 18:32:00,buy,0.78,1.31798,1.31769,-3.96,0.00,-26.58,9 887.36
2018.09.27 18:02:00,2018.09.27 18:10:31,buy,0.72,1.31171,1.31031,-3.64,0.00,-104.44,9 782.92
2018.09.28 18:02:00,2018.09.28 18:32:00,sell,0.57,1.30450,1.30427,-2.89,0.00,10.22,9 793.14
2018.10.05 18:02:00,2018.10.05 18:32:00,sell,0.73,1.30843,1.30899,-3.61,0.00,-44.49,9 748.65
2018.11.07 18:02:00,2018.11.07 18:32:00,buy,0.45,1.31337,1.31514,-2.29,0.00,77.36,9 826.01
2018.11.12 18:02:00,2018.11.12 18:32:00,buy,0.5,1.28638,1.28522,-2.52,0.00,-60.52,9 765.49
2018.11.13 18:02:00,2018.11.13 18:25:17,sell,0.22,1.29934,1.30378,-1.11,0.00,-98.79,9 666.70
2018.12.10 18:02:00,2018.12.10 18:32:00,buy,0.24,1.25264,1.25296,-1.21,0.00,6.47,9 673.17
2018.12.11 18:02:00,2018.12.11 18:32:00,buy,0.23,1.25101,1.25231,-1.16,0.00,28.74,9 701.91
2018.12.31 18:02:00,2018.12.31 18:32:00,buy,0.21,1.27330,1.27531,-1.03,0.00,41.18,9 743.09
2019.02.15 18:02:00,2019.02.15 18:32:00,sell,0.51,1.28479,1.28513,-2.54,0.00,-19.88,9 723.21
2019.02.26 18:02:00,2019.02.26 18:05:29,sell,0.37,1.32379,1.32657,-1.86,0.00,-104.72,9 618.49
2019.03.07 18:02:00,2019.03.07 18:11:36,buy,0.54,1.31159,1.30980,-2.66,0.00,-99.32,9 519.17
2019.03.08 18:02:00,2019.03.08 18:32:00,buy,0.24,1.30163,1.30304,-1.18,0.00,32.66,9 551.83
2019.04.04 18:02:00,2019.04.04 18:32:00,buy,0.47,1.30749,1.30722,-2.34,0.00,-15.03,9 536.80
2019.04.30 18:02:00,2019.04.30 18:32:00,buy,0.72,1.30314,1.30285,-3.55,0.00,-24.43,9 512.37
2019.05.03 18:02:00,2019.05.03 18:04:37,sell,0.96,1.31204,1.31303,-4.72,0.00,-99.76,9 412.61
2019.05.15 18:02:00,2019.05.15 18:26:20,sell,1.16,1.28642,1.28723,-5.63,0.00,-99.59,9 313.02
2019.05.21 18:02:00,2019.05.21 18:32:00,sell,0.2,1.27730,1.27674,-0.96,0.00,10.24,9 323.26
2019.05.29 18:02:00,2019.05.29 18:32:00,buy,0.5,1.26229,1.26172,-2.42,0.00,-30.92,9 292.34
2019.05.31 18:02:00,2019.05.31 18:13:30,buy,0.6,1.25980,1.26135,-2.91,0.00,90.09,9 382.43
2019.06.17 18:02:00,2019.06.17 18:32:00,buy,0.39,1.25547,1.25599,-1.87,0.00,18.41,9 400.84
2019.07.09 18:02:00,2019.07.09 18:32:00,sell,0.64,1.24690,1.24575,-3.10,0.00,70.50,9 471.34
2019.08.05 18:02:00,2019.08.05 18:32:00,buy,0.35,1.21404,1.21449,-1.66,0.00,14.09,9 485.43
2019.08.14 18:02:00,2019.08.14 18:30:17,sell,0.76,1.20724,1.20599,-3.59,0.00,91.41,9 576.84
2019.09.02 18:02:00,2019.09.02 18:32:00,sell,0.7,1.20631,1.20626,-3.30,0.00,0.20,9 577.04
