open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2017.08.01 18:02:00,2017.08.01 18:11:28,sell,0.94,1.18119,1.18013,-5.26,0.00,94.38,10 094.38
2017.08.02 18:02:00,2017.08.02 18:32:00,sell,0.78,1.18606,1.18612,-4.35,0.00,-9.03,10 085.35
2017.08.03 18:02:00,2017.08.03 18:32:00,buy,1.14,1.18769,1.18825,-6.35,0.00,57.49,10 142.84
2017.08.04 18:02:00,2017.08.04 18:09:42,buy,1.98,1.17527,1.17578,-10.97,0.00,90.01,10 232.85
2017.08.16 18:02:00,2017.08.16 18:32:00,buy,0.77,1.17015,1.17049,-4.25,0.00,21.93,10 254.78
2017.08.24 18:02:00,2017.08.24 18:32:00,sell,1.23,1.18060,1.18035,-6.80,0.00,23.95,10 278.73
2017.08.29 18:02:00,2017.08.29 18:32:00,sell,0.73,1.20286,1.20331,-4.08,0.00,-36.93,10 241.80
2017.08.31 18:02:00,2017.08.31 18:32:00,sell,0.48,1.18931,1.18789,-2.67,0.00,65.49,10 307.29
2017.09.21 18:02:00,2017.09.21 18:32:00,sell,0.76,1.19277,1.19312,-4.23,0.00,-30.83,10 276.46
2017.09.27 18:02:00,2017.09.27 18:05:41,buy,0.73,1.17284,1.17429,-4.02,0.00,101.83,10 378.29
2017.10.02 18:02:00,2017.10.02 18:32:00,buy,0.79,1.17338,1.17390,-4.33,0.00,36.75,10 415.04
2017.10.27 18:02:00,2017.10.27 18:32:00,buy,0.53,1.15803,1.15789,-2.84,0.00,-10.26,10 404.78
2017.11.03 18:02:00,2017.11.03 18:21:40,buy,1.48,1.16072,1.16143,-7.92,0.00,97.16,10 501.94
2017.11.07 18:02:00,2017.11.07 18:20:41,buy,1.59,1.15751,1.15682,-8.50,0.00,-118.21,10 383.73
2017.11.08 18:02:00,2017.11.08 18:32:00,buy,0.61,1.15824,1.15884,-3.28,0.00,33.32,10 417.05
2017.11.15 18:02:00,2017.11.15 18:32:00,buy,0.84,1.17988,1.17968,-4.46,0.00,-21.26,10 395.79
2017.11.24 18:02:00,2017.11.24 18:32:00,sell,1.11,1.19397,1.19408,-5.92,0.00,-18.13,10 377.66
2017.11.28 18:02:00,2017.11.28 18:31:32,buy,0.75,1.18685,1.18830,-3.99,0.00,104.76,10 482.42
2017.11.30 18:02:00,2017.11.30 18:13:03,sell,0.56,1.19301,1.19115,-2.98,0.00,101.18,10 583.60
2017.12.07 18:02:00,2017.12.07 18:27:40,buy,1.12,1.17900,1.17994,-5.90,0.00,99.38,10 682.98
2017.12.08 18:02:00,2017.12.08 18:32:00,buy,0.9,1.17510,1.17569,-4.73,0.00,48.37,10 731.35
2017.12.18 18:02:00,2017.12.18 18:32:00,buy,0.89,1.18093,1.18044,-4.78,0.00,-48.39,10 682.96
2017.12.19 18:02:00,2017.12.19 18:32:00,buy,0.74,1.18074,1.18158,-3.96,0.00,58.20,10 741.16
2017.12.27 18:02:00,2017.12.27 18:32:00,buy,0.72,1.18919,1.18899,-3.91,0.00,-18.31,10 722.85
2018.01.02 18:02:00,2018.01.02 18:32:00,sell,0.89,1.20476,1.20474,-4.88,0.00,-3.10,10 719.75
2018.01.05 18:02:00,2018.01.05 18:32:00,sell,1.02,1.20404,1.20327,-5.61,0.00,72.93,10 792.68
2018.01.11 18:02:00,2018.01.11 18:32:00,buy,0.87,1.20436,1.20475,-4.79,0.00,29.14,10 821.82
2018.01.29 18:02:00,2018.01.29 18:15:16,buy,0.93,1.23541,1.23424,-5.27,0.00,-114.08,10 707.74
2018.02.02 18:02:00,2018.02.02 18:32:00,sell,0.85,1.24400,1.24489,-4.72,0.00,-80.37,10 627.37
2018.02.06 18:02:00,2018.02.06 18:28:17,sell,0.76,1.23440,1.23581,-4.19,0.00,-111.35,10 516.02
2018.02.09 18:02:00,2018.02.09 18:16:42,buy,0.86,1.22449,1.22319,-4.69,0.00,-116.49,10 399.53
2018.02.14 18:02:00,2018.02.14 18:32:00,sell,0.39,1.24134,1.24011,-2.15,0.00,45.82,10 445.35
2018.02.27 18:02:00,2018.02.27 18:32:00,sell,0.65,1.22413,1.22432,-3.55,0.00,-15.90,10 429.45
2018.03.06 18:02:00,2018.03.06 18:07:59,sell,1.02,1.24055,1.24161,-5.58,0.00,-113.70,10 315.75
2018.03.26 18:02:00,2018.03.26 18:32:00,buy,1.21,1.24404,1.24435,-6.53,0.00,30.98,10 346.73
2018.03.29 18:02:00,2018.03.29 18:32:00,buy,0.68,1.22940,1.22937,-3.65,0.00,-5.69,10 341.04
2018.04.02 18:02:00,2018.04.02 18:32:00,buy,0.6,1.23040,1.23012,-3.22,0.00,-20.02,10 321.02
2018.04.06 18:02:00,2018.04.06 18:10:15,buy,1.22,1.22620,1.22705,-6.56,0.00,97.14,10 418.16
2018.04.16 18:02:00,2018.04.16 18:32:00,buy,1.08,1.23655,1.23687,-5.88,0.00,28.68,10 446.84
2018.04.19 18:02:00,2018.04.19 18:24:43,buy,1.25,1.23625,1.23542,-6.80,0.00,-110.55,10 336.29
2018.04.20 18:02:00,2018.04.20 18:32:00,sell,0.68,1.22797,1.22782,-3.65,0.00,6.55,10 342.84
2018.04.23 18:02:00,2018.04.23 18:32:00,buy,0.67,1.22186,1.22172,-3.57,0.00,-12.95,10 329.89
2018.04.27 18:02:00,2018.04.27 18:12:40,buy,1.03,1.21002,1.21102,-5.46,0.00,97.54,10 427.43
2018.05.09 18:02:00,2018.05.09 18:32:00,buy,0.82,1.18527,1.18599,-4.28,0.00,54.76,10 482.19
2018.06.05 18:02:00,2018.06.05 18:10:29,sell,1.37,1.16699,1.16775,-7.29,0.00,-111.41,10 370.78
2018.06.06 18:02:00,2018.06.06 18:05:42,sell,1.48,1.17808,1.17735,-7.94,0.00,100.10,10 470.88
2018.06.08 18:02:00,2018.06.08 18:32:00,sell,1.02,1.17666,1.17617,-5.43,0.00,44.55,10 515.43
2018.06.19 18:02:00,2018.06.19 18:15:40,buy,1.61,1.15627,1.15692,-8.30,0.00,96.35,10 611.78
2018.06.21 18:02:00,2018.06.21 18:32:00,buy,1,1.16044,1.16039,-5.16,0.00,-10.16,10 601.62
2018.06.25 18:02:00,2018.06.25 18:27:42,sell,1.55,1.16877,1.16945,-8.03,0.00,-113.43,10 488.19
2018.06.27 18:02:00,2018.06.27 18:32:00,buy,0.86,1.15944,1.15946,-4.44,0.00,-2.72,10 485.47
2018.06.29 18:02:00,2018.06.29 18:32:00,sell,0.84,1.16745,1.16682,-4.34,0.00,48.58,10 534.05
2018.07.02 18:02:00,2018.07.02 18:15:31,buy,0.81,1.16056,1.15926,-4.15,0.00,-109.45,10 424.60
2018.07.25 18:02:00,2018.07.25 18:32:00,buy,1.25,1.16688,1.16720,-6.48,0.00,33.52,10 458.12
2018.08.03 18:02:00,2018.08.03 18:16:38,buy,1.43,1.15896,1.15969,-7.41,0.00,96.98,10 555.10
2018.08.08 18:02:00,2018.08.08 18:32:00,sell,1.44,1.16058,1.16039,-7.48,0.00,19.88,10 574.98
2018.08.10 18:02:00,2018.08.10 18:04:41,buy,1.82,1.14296,1.14237,-9.32,0.00,-116.70,10 458.28
2018.08.14 18:02:00,2018.08.14 18:16:31,buy,0.88,1.13713,1.13595,-4.47,0.00,-108.31,10 349.97
2018.08.27 18:02:00,2018.08.27 18:17:41,sell,1.45,1.16706,1.16779,-7.46,0.00,-113.31,10 236.66
2018.09.06 18:02:00,2018.09.06 18:06:17,buy,0.78,1.16284,1.16154,-3.94,0.00,-105.34,10 131.32
2018.09.07 18:02:00,2018.09.07 18:32:00,buy,0.91,1.15803,1.15784,-4.55,0.00,-21.84,10 109.48
2018.09.27 18:02:00,2018.09.27 18:32:00,buy,0.84,1.16769,1.16686,-4.24,0.00,-73.96,10 035.52
2018.09.28 18:02:00,2018.09.28 18:16:39,sell,0.87,1.16167,1.16282,-4.41,0.00,-104.46,9 931.06
