open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
2017.09.18 03:15:00,2017.09.18 09:59:05,sell,0.13,132.705,133.107,-0.73,0.00,-47.65,9 952.35
2017.09.19 03:15:00,2017.09.19 08:16:40,sell,0.13,133.406,133.806,-0.73,0.00,-47.28,9 905.07
2017.09.20 03:15:00,2017.09.20 12:00:00,sell,0.13,133.754,133.708,-0.73,0.00,4.64,9 909.71
2017.09.21 03:15:00,2017.09.21 09:50:32,sell,0.13,133.649,134.049,-0.73,0.00,-46.87,9 862.84
2017.09.22 03:15:00,2017.09.22 12:00:00,sell,0.13,134.340,134.341,-0.72,0.00,-0.84,9 862.00
2017.09.25 03:15:00,2017.09.25 12:00:00,sell,0.13,134.170,133.483,-0.72,0.00,78.94,9 940.94
2017.09.26 03:15:00,2017.09.26 12:00:00,sell,0.13,132.420,132.038,-0.72,0.00,43.73,9 984.67
2017.09.27 03:15:00,2017.09.27 12:00:00,sell,0.14,132.459,132.501,-0.77,0.00,-5.98,9 978.69
2017.09.28 03:15:00,2017.09.28 12:00:00,sell,0.14,132.529,132.709,-0.77,0.00,-23.11,9 955.58
2017.09.29 03:15:00,2017.09.29 12:00:00,sell,0.14,132.589,132.801,-0.77,0.00,-27.14,9 928.44
2018.03.19 03:15:00,2018.03.19 12:00:00,sell,0.13,130.236,130.065,-0.70,0.00,20.29,9 948.73
2018.03.20 03:15:00,2018.03.20 04:43:42,sell,0.13,130.803,131.207,-0.70,0.00,-50.14,9 898.59
2018.03.21 03:15:00,2018.03.21 12:00:00,sell,0.13,130.450,130.559,-0.70,0.00,-14.03,9 884.56
2018.03.22 03:15:00,2018.03.22 12:00:00,sell,0.13,130.935,130.689,-0.71,0.00,29.53,9 914.09
2018.03.23 03:15:00,2018.03.23 12:00:00,sell,0.13,129.332,129.403,-0.70,0.00,-9.50,9 904.59
2018.03.26 03:15:00,2018.03.26 03:55:42,sell,0.12,129.525,129.925,-0.65,0.00,-46.38,9 858.21
2018.03.27 03:15:00,2018.03.27 12:00:00,sell,0.13,131.423,131.218,-0.71,0.00,24.54,9 882.75
2018.03.28 03:15:00,2018.03.28 12:00:00,sell,0.13,131.007,130.844,-0.70,0.00,19.37,9 902.12
2018.03.29 03:15:00,2018.03.29 12:00:00,sell,0.13,131.445,131.242,-0.70,0.00,24.04,9 926.16
2018.03.30 03:15:00,2018.03.30 12:00:00,sell,0.13,130.946,130.890,-0.70,0.00,6.16,9 932.32
2018.09.17 03:15:00,2018.09.17 12:00:00,sell,0.13,130.207,130.472,-0.65,0.00,-31.42,9 900.90
2018.09.18 03:15:00,2018.09.18 06:00:40,sell,0.13,130.459,130.859,-0.65,0.00,-47.08,9 853.82
2018.09.19 03:15:00,2018.09.19 10:37:38,sell,0.13,131.066,131.466,-0.66,0.00,-46.96,9 806.86
2018.09.20 03:15:00,2018.09.20 11:16:15,sell,0.13,131.083,131.483,-0.66,0.00,-46.97,9 759.89
2018.09.21 03:15:00,2018.09.21 08:10:32,sell,0.13,132.499,132.899,-0.66,0.00,-46.77,9 713.12
2018.09.24 03:15:00,2018.09.24 12:00:00,sell,0.13,132.281,132.591,-0.66,0.00,-36.43,9 676.69
2019.03.18 03:15:00,2019.03.18 12:00:00,sell,0.13,126.259,126.523,-0.64,0.00,-31.41,9 645.28
2019.03.19 03:15:00,2019.03.19 12:00:00,sell,0.13,126.151,126.359,-0.65,0.00,-24.95,9 620.33
2019.03.20 03:15:00,2019.03.20 12:00:00,sell,0.13,126.626,126.619,-0.64,0.00,0.18,9 620.51
2019.03.21 03:15:00,2019.03.21 12:00:00,sell,0.13,126.464,125.902,-0.65,0.00,65.49,9 686.00
2019.03.22 03:15:00,2019.03.22 12:00:00,sell,0.13,126.067,124.922,-0.65,0.00,134.03,9 820.03
2019.03.25 03:15:00,2019.03.25 12:00:00,sell,0.13,124.328,124.502,-0.64,0.00,-21.18,9 798.85
2019.03.26 03:15:00,2019.03.26 12:00:00,sell,0.13,124.559,124.540,-0.65,0.00,1.59,9 800.44
2019.03.27 03:15:00,2019.03.27 12:00:00,sell,0.13,124.546,124.640,-0.65,0.00,-11.70,9 788.74
2019.03.28 03:15:00,2019.03.28 12:00:00,sell,0.13,124.136,124.098,-0.64,0.00,3.84,9 792.58
2019.03.29 03:15:00,2019.03.29 12:00:00,sell,0.13,124.240,124.385,-0.64,0.00,-17.66,9 774.92
2019.09.16 03:15:00,2019.09.16 12:00:00,sell,0.13,119.242,119.235,-0.63,0.00,0.21,9 775.13
2019.09.17 03:15:00,2019.09.17 12:00:00,sell,0.13,118.906,119.136,-0.62,0.00,-28.26,9 746.87
2019.09.18 03:15:00,2019.09.18 12:00:00,sell,0.13,119.736,119.494,-0.62,0.00,28.45,9 775.32
2019.09.19 03:15:00,2019.09.19 12:00:00,sell,0.13,119.596,119.447,-0.62,0.00,17.32,9 792.64
2019.09.20 03:15:00,2019.09.20 12:00:00,sell,0.13,119.315,119.240,-0.62,0.00,8.41,9 801.05
2019.09.23 03:15:00,2019.09.23 12:00:00,sell,0.13,118.623,117.857,-0.62,0.00,92.14,9 893.19
2019.09.24 03:15:00,2019.09.24 12:00:00,sell,0.13,118.329,118.337,-0.62,0.00,-1.59,9 891.60
2019.09.25 03:15:00,2019.09.25 12:00:00,sell,0.13,118.005,118.068,-0.62,0.00,-8.25,9 883.35
2019.09.26 03:15:00,2019.09.26 12:00:00,sell,0.13,117.876,117.724,-0.61,0.00,17.75,9 901.10
2019.09.27 03:15:00,2019.09.27 12:00:00,sell,0.13,117.671,117.888,-0.61,0.00,-26.75,9 874.35
2019.09.30 03:15:00,2019.09.30 12:00:00,sell,0.13,118.118,117.978,-0.62,0.00,16.25,9 890.60
2020.03.17 03:15:00,2020.03.17 03:54:41,sell,0.13,118.631,119.031,-0.55,0.00,-49.35,9 841.25
2020.03.18 03:15:00,2020.03.18 12:00:00,sell,0.13,118.369,118.046,-0.55,0.00,38.49,9 879.74
2020.03.19 03:15:00,2020.03.19 05:08:21,sell,0.13,118.532,118.948,-0.53,0.00,-50.13,9 829.61
2020.03.20 03:15:00,2020.03.20 12:00:00,sell,0.13,118.529,118.561,-0.52,0.00,-4.30,9 825.31
2020.03.23 03:15:00,2020.03.23 12:00:00,sell,0.13,118.060,117.981,-0.52,0.00,8.80,9 834.11
2020.03.24 03:15:00,2020.03.24 09:50:42,sell,0.13,119.397,119.805,-0.53,0.00,-48.64,9 785.47
2020.03.25 03:15:00,2020.03.25 08:00:05,sell,0.13,119.985,120.392,-0.54,0.00,-48.06,9 737.41
2020.03.26 03:15:00,2020.03.26 03:54:42,sell,0.13,120.641,121.041,-0.54,0.00,-47.50,9 689.91
2020.03.27 03:15:00,2020.03.27 12:00:00,sell,0.13,120.637,119.935,-0.55,0.00,83.24,9 773.15
2020.03.30 03:15:00,2020.03.30 12:00:00,sell,0.13,119.637,119.382,-0.56,0.00,30.24,9 803.39
2020.03.31 03:15:00,2020.03.31 03:55:39,sell,0.13,119.187,119.587,-0.56,0.00,-48.43,9 754.96
2020.09.16 03:15:00,2020.09.16 12:00:00,sell,0.12,124.609,124.823,-0.61,0.00,-25.02,9 729.94
2020.09.17 03:15:00,2020.09.17 12:00:00,sell,0.12,123.799,123.639,-0.61,0.00,17.72,9 747.66
2020.09.18 03:15:00,2020.09.18 12:00:00,sell,0.12,124.285,123.904,-0.62,0.00,43.14,9 790.80
2020.09.21 03:15:00,2020.09.21 12:00:00,sell,0.12,123.838,122.876,-0.61,0.00,110.26,9 901.06
2020.09.22 03:15:00,2020.09.22 12:00:00,sell,0.12,123.242,122.796,-0.61,0.00,50.58,9 951.64
2020.09.23 03:15:00,2020.09.23 12:00:00,sell,0.13,122.931,122.989,-0.65,0.00,-7.83,9 943.81
2020.09.24 03:15:00,2020.09.24 12:00:00,sell,0.13,122.979,122.802,-0.64,0.00,21.20,9 965.01
2020.09.25 03:15:00,2020.09.25 12:00:00,sell,0.13,123.107,122.898,-0.64,0.00,25.13,9 990.14
2020.09.28 03:15:00,2020.09.28 12:00:00,sell,0.13,122.676,122.617,-0.64,0.00,6.64,9 996.78
2020.09.29 03:15:00,2020.09.29 12:00:00,sell,0.13,123.104,123.461,-0.65,0.00,-44.57,9 952.21
2020.09.30 03:15:00,2020.09.30 12:00:00,sell,0.13,124.182,123.727,-0.65,0.00,55.33,10 007.54
2021.03.17 03:15:00,2021.03.17 12:00:00,sell,0.13,129.832,129.852,-0.70,0.00,-3.08,10 004.46
2021.03.18 03:15:00,2021.03.18 12:00:00,sell,0.13,130.528,130.347,-0.71,0.00,20.86,10 025.32
2021.03.19 03:15:00,2021.03.19 12:00:00,sell,0.13,129.862,129.539,-0.71,0.00,37.94,10 063.26
2021.03.22 03:15:00,2021.03.22 12:00:00,sell,0.13,129.395,129.345,-0.70,0.00,5.28,10 068.54
2021.03.23 03:15:00,2021.03.23 12:00:00,sell,0.13,129.877,129.406,-0.70,0.00,55.60,10 124.14
2021.03.24 03:15:00,2021.03.24 12:00:00,sell,0.13,128.573,128.481,-0.69,0.00,10.32,10 134.46
2021.03.25 03:15:00,2021.03.25 12:00:00,sell,0.13,128.594,128.826,-0.69,0.00,-28.33,10 106.13
2021.03.26 03:15:00,2021.03.26 11:42:37,sell,0.13,128.568,128.968,-0.69,0.00,-48.20,10 057.93
2021.03.29 03:15:00,2021.03.29 12:00:00,sell,0.13,129.295,129.004,-0.69,0.00,33.82,10 091.75
2021.03.30 03:15:00,2021.03.30 12:00:00,sell,0.13,129.213,129.503,-0.69,0.00,-34.88,10 056.87
2021.03.31 03:15:00,2021.03.31 06:07:40,sell,0.13,129.467,129.867,-0.69,0.00,-47.56,10 009.31
2021.09.16 03:15:00,2021.09.16 12:00:00,sell,0.13,129.287,128.773,-0.67,0.00,60.42,10 069.73
2021.09.17 03:15:00,2021.09.17 10:38:04,sell,0.13,129.063,129.464,-0.66,0.00,-48.09,10 021.64
2021.09.20 03:15:00,2021.09.20 12:00:00,sell,0.13,129.003,128.429,-0.66,0.00,67.37,10 089.01
2021.09.21 03:15:00,2021.09.21 12:00:00,sell,0.13,128.382,128.556,-0.66,0.00,-21.31,10 067.70
2021.09.22 03:15:00,2021.09.22 04:29:46,sell,0.13,127.976,128.377,-0.66,0.00,-48.28,10 019.42
2021.09.23 03:15:00,2021.09.23 10:05:41,sell,0.13,128.396,128.796,-0.66,0.00,-47.97,9 971.45
2021.09.24 03:15:00,2021.09.24 12:00:00,sell,0.13,129.592,129.593,-0.67,0.00,-0.79,9 970.66
2021.09.27 03:15:00,2021.09.27 12:00:00,sell,0.13,129.801,129.650,-0.66,0.00,17.04,9 987.70
2021.09.28 03:15:00,2021.09.28 12:00:00,sell,0.13,129.818,129.986,-0.66,0.00,-20.28,9 967.42
2021.09.29 03:15:00,2021.09.29 12:00:00,sell,0.13,130.381,129.841,-0.66,0.00,62.40,10 029.82
2021.09.30 03:15:00,2021.09.30 12:00:00,sell,0.14,129.801,129.905,-0.70,0.00,-13.71,10 016.11
2022.03.17 03:15:00,2022.03.17 12:00:00,sell,0.14,131.235,131.179,-0.72,0.00,5.89,10 022.00
2022.03.18 03:15:00,2022.03.18 12:00:00,sell,0.14,131.809,131.561,-0.72,0.00,28.49,10 050.49
2022.03.21 03:15:00,2022.03.21 12:00:00,sell,0.14,131.663,131.801,-0.73,0.00,-16.94,10 033.55
2022.03.22 03:15:00,2022.03.22 07:22:21,sell,0.15,131.760,132.165,-0.78,0.00,-51.28,9 982.27
2022.03.23 03:15:00,2022.03.23 12:00:00,sell,0.15,133.676,133.189,-0.78,0.00,59.64,10 041.91
2022.03.24 03:15:00,2022.03.24 12:00:00,sell,0.15,133.442,133.514,-0.79,0.00,-9.67,10 032.24
2022.03.25 03:15:00,2022.03.25 12:00:00,sell,0.15,134.289,133.853,-0.79,0.00,53.03,10 085.27
2022.03.28 03:15:00,2022.03.28 04:13:41,sell,0.15,134.149,134.549,-0.79,0.00,-49.72,10 035.55
2022.03.29 03:15:00,2022.03.29 03:53:37,sell,0.15,135.739,136.139,-0.79,0.00,-49.15,9 986.40
2022.03.30 03:15:00,2022.03.30 12:00:00,sell,0.15,136.203,135.677,-0.79,0.00,64.09,10 050.49
2022.03.31 03:15:00,2022.03.31 03:53:43,sell,0.15,136.353,136.773,-0.79,0.00,-52.25,9 998.24
2022.09.16 03:15:00,2022.09.16 10:01:44,sell,0.17,143.112,143.517,-0.80,0.00,-48.76,9 949.48
2022.09.19 03:15:00,2022.09.19 12:00:00,sell,0.17,143.084,143.130,-0.80,0.00,-6.25,9 943.23
2022.09.20 03:15:00,2022.09.20 12:00:00,sell,0.17,143.743,143.804,-0.80,0.00,-8.02,9 935.21
2022.09.21 03:15:00,2022.09.21 07:41:16,sell,0.17,143.107,143.509,-0.80,0.00,-48.26,9 886.95
2022.09.22 03:15:00,2022.09.22 05:51:08,sell,0.17,141.703,142.113,-0.79,0.00,-48.95,9 838.00
