metric,value
Total Net Profit,293.44
Balance Drawdown Absolute,143.13
Equity Drawdown Absolute,182.47
Balance Drawdown Maximal,401.63 (3.78%)
Equity Drawdown Maximal,724.15 (6.57%)
Balance Drawdown Relative,3.78% (401.63)
Equity Drawdown Relative,6.57% (724.15)
Profit Factor,1.12
Expected Payoff,2.67
Recovery Factor,0.41
Sharpe Ratio,0.94
Total Trades,110
Short Trades (won %),110 (47.27%)
Long Trades (won %),0 (0.00%)
Total Deals,220
Profit Trades (% of total),52 (47.27%)
Loss Trades (% of total),58 (52.73%)
Largest profit trade,182.79
Largest loss trade,-53.59
Average profit trade,53.26
Average loss trade,-41.34
Maximum consecutive wins ($),5 (328.79)
Maximum consecutive losses ($),7 (-328.34)
Maximal consecutive profit (count),328.79 (5)
Maximal consecutive loss (count),-328.34 (7)
Average consecutive wins,2
Average consecutive losses,2
