metric,value
Total Net Profit,-316.70
Balance Drawdown Absolute,316.70
Equity Drawdown Absolute,316.70
Balance Drawdown Maximal,528.73 (5.18%)
Equity Drawdown Maximal,544.46 (5.32%)
Balance Drawdown Relative,5.18% (528.73)
Equity Drawdown Relative,5.32% (544.46)
Profit Factor,0.83
Expected Payoff,-2.64
Recovery Factor,-0.58
Sharpe Ratio,-2.11
Total Trades,120
Short Trades (won %),120 (45.83%)
Long Trades (won %),0 (0.00%)
Total Deals,240
Profit Trades (% of total),55 (45.83%)
Loss Trades (% of total),65 (54.17%)
Largest profit trade,156.24
Largest loss trade,-50.13
Average profit trade,28.15
Average loss trade,-28.69
Maximum consecutive wins ($),7 (186.35)
Maximum consecutive losses ($),6 (-240.77)
Maximal consecutive profit (count),186.35 (7)
Maximal consecutive loss (count),-240.77 (6)
Average consecutive wins,2
Average consecutive losses,2
